date,exchange_rate
2025-07-19,24.485495
2025-07-20,24.485495
2025-07-21,24.555558
2025-07-22,24.516104
2025-07-23,24.471795
2025-07-24,24.498644
2025-07-25,24.469475
2025-07-26,24.496212
2025-07-27,24.496212
2025-07-28,24.320239
2025-07-29,24.767992
2025-07-30,24.790525
2025-07-31,24.682612
2025-08-01,25.035827
2025-08-02,24.506395
2025-08-03,24.506395
2025-08-04,24.48729
2025-08-05,24.437749
2025-08-06,24.878134
2025-08-07,24.560132
2025-08-08,24.736638
2025-08-09,24.507612
2025-08-10,24.495096
2025-08-11,24.510501
2025-08-12,24.496368
2025-08-13,24.917246
2025-08-14,24.875919
2025-08-15,24.992118
2025-08-16,24.934141
2025-08-17,24.934141
2025-08-18,24.440189
2025-08-19,24.866905
2025-08-20,24.856218
2025-08-21,24.486283
2025-08-22,24.454932
2025-08-23,24.756392
2025-08-24,24.494565
2025-08-25,24.51768
2025-08-26,24.434995
2025-08-27,24.404588
2025-08-28,24.92284
2025-08-29,24.506055
2025-08-30,24.888873
2025-08-31,24.494586
2025-09-01,24.554024
2025-09-02,24.381552
2025-09-03,24.888231
2025-09-04,24.478413
2025-09-05,24.75277
2025-09-06,24.498744
2025-09-07,24.498744
2025-09-08,24.554793
2025-09-09,24.490899
2025-09-10,24.503035
2025-09-11,24.497921
2025-09-12,24.496478
2025-09-13,24.498237
2025-09-14,24.498237
2025-09-15,24.509523
2025-09-16,24.997938
2025-09-17,24.469064
2025-09-18,24.492488
2025-09-19,24.487368
2025-09-20,24.476072
2025-09-21,24.498055
2025-09-22,24.559016
2025-09-23,24.9192
2025-09-24,25.021197
2025-09-25,24.477262
2025-09-26,24.502672
2025-09-27,24.92642
2025-09-28,24.495907
2025-09-29,24.483567
2025-09-30,24.550195
2025-10-01,24.914654
2025-10-02,25.005576
2025-10-03,24.966596
2025-10-04,25.008685
2025-10-05,24.501392
2025-10-06,24.478779
2025-10-07,24.417558
2025-10-08,24.907596
2025-10-09,24.432048
2025-10-10,24.527065
2025-10-11,24.487132
2025-10-12,24.487132
2025-10-13,24.432591
2025-10-14,24.461041
2025-10-15,24.554622
2025-10-16,24.888083
2025-10-17,24.495108
2025-10-18,24.509021
2025-10-19,24.512386
2025-10-20,24.491453
2025-10-21,24.436038
2025-10-22,24.473129
2025-10-23,24.493677
2025-10-24,24.484532
2025-10-25,24.822577
2025-10-26,24.822577
2025-10-27,24.50063
2025-10-28,24.956843
2025-10-29,24.463053
2025-10-30,24.789272
2025-10-31,24.478834
2025-11-01,24.500057
2025-11-02,24.500057
2025-11-03,24.496987
2025-11-04,24.785584
2025-11-05,24.710933
2025-11-06,24.687514
2025-11-07,24.489896
2025-11-08,24.514688
2025-11-09,24.514688
2025-11-10,24.491226
2025-11-11,24.510018
2025-11-12,24.517187
2025-11-13,24.890345
2025-11-14,24.961893
2025-11-15,24.853194
2025-11-16,24.503636
2025-11-17,24.512118
2025-11-18,24.512401
2025-11-19,24.536684
2025-11-20,24.488563
2025-11-21,24.509432
2025-11-22,24.49123
2025-11-23,24.49123
2025-11-24,24.516161
2025-11-25,24.528424
2025-11-26,24.51612
2025-11-27,24.460494
2025-11-28,24.488299
2025-11-29,24.493646
2025-11-30,24.493646
2025-12-01,24.507746
2025-12-02,24.512507
2025-12-03,24.524348
2025-12-04,24.490159
2025-12-05,24.526725
