date,exchange_rate
2024-02-14,9.386911
2024-02-15,9.419227
2024-02-16,9.436325
2024-02-17,9.433625
2024-02-18,9.431095
2024-02-19,9.43
2024-02-20,9.459215
2024-02-21,9.462806
2024-02-22,9.473035
2024-02-23,9.471671
2024-02-24,9.471503
2024-02-25,9.471508
2024-02-26,9.487766
2024-02-27,9.489346
2024-02-28,9.461718
2024-02-29,9.458951
2024-03-01,9.482194
2024-03-02,9.462639
2024-03-03,9.462688
2024-03-04,9.502774
2024-03-05,9.49856
2024-03-06,9.537517
2024-03-07,9.571471
2024-03-08,9.572458
2024-03-09,9.567093
2024-03-10,9.567157
2024-03-11,9.559087
2024-03-12,9.554287
2024-03-13,9.582561
2024-03-14,9.52934
2024-03-15,9.529217
2024-03-16,9.539075
2024-03-17,9.539076
2024-03-18,9.510154
2024-03-19,9.506971
2024-03-20,9.515513
2024-03-21,9.501706
2024-03-22,9.451641
2024-03-23,9.463227
2024-03-24,9.463245
2024-03-25,9.479419
2024-03-26,9.479492
2024-03-27,9.468859
2024-03-28,9.444501
2024-03-29,9.439963
2024-03-30,9.43744
2024-03-31,9.437441
2024-04-01,9.394783
2024-04-02,9.421387
2024-04-03,9.470775
2024-04-04,9.50044
2024-04-05,9.480177
2024-04-06,9.478468
2024-04-07,9.478471
2024-04-08,9.503692
2024-04-09,9.495468
2024-04-10,9.40921
2024-04-11,9.378313
2024-04-12,9.310417
2024-04-13,9.331869
2024-04-14,9.314383
2024-04-15,9.301528
2024-04-16,9.290809
2024-04-17,9.313445
2024-04-18,9.320739
2024-04-19,9.319804
2024-04-20,9.312613
2024-04-21,9.312613
2024-04-22,9.326211
2024-04-23,9.350585
2024-04-24,9.352621
2024-04-25,9.380093
2024-04-26,9.349712
2024-04-27,9.387985
2024-04-28,9.387985
2024-04-29,9.378345
2024-04-30,9.347807
2024-05-01,9.342303
2024-05-02,9.370161
2024-05-03,9.41655
2024-05-04,9.398512
2024-05-05,9.398512
2024-05-06,9.426233
2024-05-07,9.428295
2024-05-08,9.410449
2024-05-09,9.427003
2024-05-10,9.427677
2024-05-11,9.437841
2024-05-12,9.429705
2024-05-13,9.443675
2024-05-14,9.464641
2024-05-15,9.498969
2024-05-16,9.512398
2024-05-17,9.512471
2024-05-18,9.483029
2024-05-19,9.483029
2024-05-20,9.511752
2024-05-21,9.500108
2024-05-22,9.4866
2024-05-23,9.472763
2024-05-24,9.50065
2024-05-25,9.487147
2024-05-26,9.487147
2024-05-27,9.502249
2024-05-28,9.508425
2024-05-29,9.468454
2024-05-30,9.489362
2024-05-31,9.492232
2024-06-01,9.493157
2024-06-02,9.493157
2024-06-03,9.522217
2024-06-04,9.516761
2024-06-05,9.511517
2024-06-06,9.527606
2024-06-07,9.453491
2024-06-08,9.525155
2024-06-09,9.525155
2024-06-10,9.397316
2024-06-11,9.402971
2024-06-12,9.491803
2024-06-13,9.437878
2024-06-14,9.359082
2024-06-15,9.357798
2024-06-16,9.357798
2024-06-17,9.379649
2024-06-18,9.396836
2024-06-19,9.402382
2024-06-20,9.373422
2024-06-21,9.348944
2024-06-22,9.346234
2024-06-23,9.346234
2024-06-24,9.388196
2024-06-25,9.366973
2024-06-26,9.349397
2024-06-27,9.380177
2024-06-28,9.369594
2024-06-29,9.380742
2024-06-30,9.37129
2024-07-01,9.39494
2024-07-02,9.388194
2024-07-03,9.458917
2024-07-04,9.458279
2024-07-05,9.466229
2024-07-06,9.47299
2024-07-07,9.47299
2024-07-08,9.483568
2024-07-09,9.467664
2024-07-10,9.471929
2024-07-11,9.513315
2024-07-12,9.534544
2024-07-13,9.528178
2024-07-14,9.528178
2024-07-15,9.548687
2024-07-16,9.524224
2024-07-17,9.563721
2024-07-18,9.545049
2024-07-19,9.520555
2024-07-20,9.525004
2024-07-21,9.525004
2024-07-22,9.518769
2024-07-23,9.49289
2024-07-24,9.509271
2024-07-25,9.489106
2024-07-26,9.506028
2024-07-27,9.499013
2024-07-28,9.499013
2024-07-29,9.4658
2024-07-30,9.460948
2024-07-31,9.482369
2024-08-01,9.445787
2024-08-02,9.53289
2024-08-03,9.469183
2024-08-04,9.469183
2024-08-05,9.604534
2024-08-06,9.560815
2024-08-07,9.555225
2024-08-08,9.53022
