date,exchange_rate
2023-10-28,13753.655448
2023-10-30,13730.719042
2023-10-31,13772.78868
2023-11-01,13760.195688
2023-11-02,13801.703105
2023-11-03,13958.589684
2023-11-04,13958.688219
2023-11-05,13948.395764
2023-11-06,13938.5096
2023-11-07,13909.019478
2023-11-08,13924.227611
2023-11-09,13868.430475
2023-11-10,13930.809057
2023-11-12,13930.916765
2023-11-13,13894.435984
2023-11-14,14148.34316
2023-11-15,14106.277399
2023-11-16,14110.838147
2023-11-17,14193.062722
2023-11-18,14193.347758
2023-11-19,14184.096347
2023-11-20,14223.935552
2023-11-21,14187.492647
2023-11-22,14154.797077
2023-11-23,14178.904757
2023-11-24,14236.062092
2023-11-25,14236.061905
2023-11-26,14230.293158
2023-11-27,14243.166501
2023-11-28,14296.348019
2023-11-29,14266.731112
2023-11-30,14159.786288
2023-12-01,14161.522499
2023-12-02,14154.746817
2023-12-03,14158.248725
2023-12-04,14087.495242
2023-12-05,14037.162047
2023-12-06,13996.630587
2023-12-07,14036.347056
2023-12-08,13993.063065
2023-12-09,14007.508954
2023-12-10,13989.286952
2023-12-11,13993.292144
2023-12-12,14034.489963
2023-12-13,14138.213065
2023-12-14,14293.06206
2023-12-15,14164.032522
2023-12-16,14181.693569
2023-12-17,14175.818964
2023-12-18,14201.834236
2023-12-19,14277.371965
2023-12-20,14223.096425
2023-12-21,14308.584407
2023-12-22,14316.227838
2023-12-23,14334.330849
2023-12-24,14334.21996
2023-12-25,14312.138753
2023-12-26,14356.182669
2023-12-27,14439.61424
2023-12-28,14386.927586
2023-12-29,14352.180892
2023-12-30,14373.132671
2023-12-31,14373.014261
2024-01-01,14362.861275
2024-01-02,14226.703894
2024-01-03,14198.897026
2024-01-04,14231.606935
2024-01-05,14222.327919
2024-01-06,14243.056866
2024-01-07,14243.42023
2024-01-08,14242.911817
2024-01-09,14206.842792
2024-01-10,14254.102875
2024-01-11,14261.45586
2024-01-12,14243.033871
2024-01-13,14253.232921
2024-01-14,14253.198492
2024-01-15,14237.7157
2024-01-16,14134.767865
2024-01-17,14137.969298
2024-01-18,14124.723405
2024-01-19,14161.193576
2024-01-20,14190.988219
2024-01-21,14191.028564
2024-01-22,14150.174582
2024-01-23,14101.010773
2024-01-24,14156.071088
2024-01-25,14078.158267
2024-01-26,14118.041101
2024-01-27,14124.531963
2024-01-28,14124.704294
2024-01-29,14067.155998
2024-01-30,14101.028859
2024-01-31,14121.668484
2024-02-01,14136.546381
2024-02-02,14034.182509
2024-02-03,14050.939082
2024-02-04,14050.744783
2024-02-05,13962.562929
2024-02-06,13978.900198
2024-02-07,14007.255273
2024-02-08,14009.815299
2024-02-09,14024.730073
2024-02-10,14021.933506
2024-02-11,14021.369866
2024-02-12,14006.659659
2024-02-13,13919.664675
2024-02-14,13948.822829
2024-02-15,14001.381185
2024-02-16,14017.046408
2024-02-17,14012.887
2024-02-18,14012.890446
2024-02-19,14014.66583
2024-02-20,14053.851664
2024-02-21,14062.408292
2024-02-22,14071.512198
2024-02-23,14070.69179
2024-02-24,14085.76346
2024-02-25,14085.807194
2024-02-26,14101.470597
2024-02-27,14105.482506
2024-02-28,14088.289145
2024-02-29,14049.337229
2024-03-01,14095.661464
2024-03-02,14107.539336
2024-03-03,14107.925235
2024-03-04,14115.89862
2024-03-05,14110.118388
2024-03-06,14173.459584
2024-03-07,14227.271854
2024-03-08,14219.318303
2024-03-09,14229.800061
2024-03-10,14229.895324
2024-03-11,14201.304373
2024-03-12,14200.519158
2024-03-13,14242.411398
2024-03-14,14155.539772
2024-03-15,14158.721398
2024-03-16,14170.019349
2024-03-17,14170.138834
2024-03-18,14131.385874
2024-03-19,14125.649125
2024-03-20,14138.895614
2024-03-21,14119.398277
2024-03-22,14051.608781
2024-03-23,14124.699389
2024-03-24,14124.739181
2024-03-25,14087.946605
2024-03-26,14082.322154
2024-03-27,14067.460662
2024-03-28,14037.013351
2024-03-29,14027.144962
2024-03-30,14041.424472
2024-03-31,14041.634549
2024-04-01,13965.528379
2024-04-02,13999.303136
2024-04-03,14081.560877
2024-04-04,14120.558439
2024-04-05,14087.579714
2024-04-06,14104.085589
2024-04-07,14104.090294
2024-04-08,14115.725983
2024-04-09,14110.903671
2024-04-10,13968.438609
2024-04-11,13935.762308
2024-04-12,13841.9284
2024-04-13,2681.032117
2024-04-14,2681.03249
2024-04-15,2672.080921
2024-04-16,2669.0429
2024-04-17,2676.506543
2024-04-18,2676.734657
2024-04-19,2676.032693
2024-04-20,2680.020666
2024-04-21,2680.020666
2024-04-22,2675.76544
2024-04-23,2688.247679
2024-04-24,2685.130959
2024-04-25,2693.290566
2024-04-26,2686.249555
2024-04-27,2689.066458
2024-04-28,2689.066458
2024-04-29,2693.406053
2024-04-30,2683.137679
2024-05-01,2682.979663
2024-05-02,2689.790266
2024-05-03,2705.121494
2024-05-04,2706.446101
2024-05-05,2706.446101
2024-05-06,2706.47668
2024-05-07,2706.811785
2024-05-08,2701.705423
2024-05-09,2706.360113
2024-05-10,2707.352598
2024-05-11,2710.27114
2024-05-12,2710.27114
2024-05-13,2712.919656
2024-05-14,2717.98261
2024-05-15,2727.809511
2024-05-16,2731.575183
2024-05-17,2731.607243
2024-05-18,2737.246569
2024-05-19,2737.246569
2024-05-20,2729.239761
2024-05-21,2727.379148
2024-05-22,2722.517504
2024-05-23,2719.864408
2024-05-24,2726.668789
2024-05-25,2727.303897
2024-05-26,2727.303897
2024-05-27,2728.370403
2024-05-28,2732.46538
2024-05-29,2715.984589
2024-05-30,2724.849279
2024-05-31,2726.654743
2024-06-01,2727.737123
2024-06-02,2727.737123
2024-06-03,2736.155933
2024-06-04,2733.095811
2024-06-05,2729.972466
2024-06-06,2734.339522
2024-06-07,2714.810599
2024-06-08,2717.117668
2024-06-09,2717.117668
2024-06-10,2700.265838
2024-06-11,2696.151235
2024-06-12,2725.559387
2024-06-13,2704.11755
2024-06-14,2687.944503
2024-06-15,2693.39047
2024-06-16,2693.39047
2024-06-17,2693.969603
2024-06-18,2697.686113
2024-06-19,2698.976778
2024-06-20,2691.833956
2024-06-21,2684.944112
2024-06-22,2689.35435
2024-06-23,2689.35435
2024-06-24,2695.588809
2024-06-25,2688.35553
2024-06-26,2684.099518
2024-06-27,2692.149744
2024-06-28,2690.189853
2024-06-29,2693.39047
2024-06-30,2693.39047
2024-07-01,2697.641891
2024-07-02,2695.731624
2024-07-03,2716.396204
2024-07-04,2715.220326
2024-07-05,2717.80556
2024-07-06,2727.008505
2024-07-07,2727.008505
2024-07-08,2723.318957
2024-07-09,2717.659217
2024-07-10,2720.190444
2024-07-11,2732.168555
2024-07-12,2737.737412
2024-07-13,2743.823427
2024-07-14,2743.823427
2024-07-15,2742.457306
2024-07-16,2734.023376
2024-07-17,2747.49755
2024-07-18,2740.394103
2024-07-19,2734.666077
2024-07-20,2736.810877
2024-07-21,2736.810877
2024-07-22,2732.5409
2024-07-23,2727.099653
2024-07-24,2730.001906
2024-07-25,2724.290151
2024-07-26,2729.973179
2024-07-27,2731.752354
2024-07-28,2731.752354
2024-07-29,2717.410291
2024-07-30,2715.750389
2024-07-31,2723.75932
2024-08-01,2714.825599
2024-08-02,2738.900651
2024-08-03,2743.823427
2024-08-04,2743.823427
2024-08-05,2759.400099
2024-08-06,2744.466753
2024-08-07,2744.284524
2024-08-08,2736.751861
2024-08-09,2744.703742
2024-08-10,2744.284007
2024-08-11,2744.284007
2024-08-12,2745.063685
2024-08-13,2753.909796
2024-08-14,2773.394929
2024-08-15,2752.762185
2024-08-16,2763.817342
2024-08-17,2772.445831
2024-08-18,2772.445831
2024-08-19,2772.171841
2024-08-20,2789.917768
2024-08-21,2793.998068
2024-08-22,2798.50949
2024-08-23,2790.847456
2024-08-24,2815.947343
2024-08-25,2815.947343
2024-08-26,2802.595684
2024-08-27,2802.833694
2024-08-28,2792.330772
2024-08-29,2785.031612
2024-08-30,2779.808084
2024-08-31,2779.027533
2024-09-01,2779.027533
2024-09-02,2781.301239
2024-09-03,2778.502329
2024-09-04,2777.187449
2024-09-05,2789.793856
2024-09-06,2783.211421
2024-09-07,2787.04244
2024-09-08,2787.04244
2024-09-09,2775.234242
2024-09-10,2768.636755
2024-09-11,2768.354603
2024-09-12,2772.845811
2024-09-13,2787.3793
2024-09-14,2785.045471
2024-09-15,2785.045471
2024-09-16,2795.833146
2024-09-17,2799.351477
2024-09-18,2795.30271
2024-09-19,2803.548686
2024-09-20,2805.243019
2024-09-21,2807.596846
2024-09-22,2807.596846
2024-09-23,2792.149775
2024-09-24,2795.745012
2024-09-25,2809.650806
2024-09-26,2801.599823
2024-09-27,2805.320597
2024-09-28,2806.029064
2024-09-29,2806.029064
2024-09-30,2810.091204
2024-10-01,2785.525348
2024-10-02,2781.162959
2024-10-03,2772.446987
2024-10-04,2771.344993
2024-10-05,2759.190222
2024-10-06,2759.190222
2024-10-07,2755.465557
2024-10-08,2760.400059
2024-10-09,2755.148397
2024-10-10,2747.450709
2024-10-11,2746.669803
2024-10-12,2750.893728
2024-10-13,2750.894202
2024-10-14,2745.185037
2024-10-15,2740.095678
2024-10-16,2737.333807
2024-10-17,2729.224433
2024-10-18,2724.747204
2024-10-19,2732.186884
2024-10-20,2732.186884
2024-10-21,2725.559182
2024-10-22,2720.292617
2024-10-23,2708.70848
2024-10-24,2713.112132
2024-10-25,2720.322069
2024-10-26,2713.460915
2024-10-27,2713.460915
2024-10-28,2718.101077
2024-10-29,2718.261922
2024-10-30,2722.930997
2024-10-31,2730.818223
2024-11-01,2727.705301
2024-11-02,2733.832898
2024-11-03,2733.832898
2024-11-04,2737.751386
2024-11-05,2736.707678
2024-11-06,2701.659975
2024-11-07,2700.672627
2024-11-08,2707.686794
2024-11-09,2694.101668
2024-11-10,2694.101668
2024-11-11,2683.166224
2024-11-12,2668.77362
2024-11-14,2642.08447
2024-11-15,2653.693061
2024-11-16,2649.368641
2024-11-17,2649.368641
2024-11-18,2654.141582
