date,exchange_rate
2014-11-24,13.675
2014-11-25,13.7086
2014-11-26,13.7201
2014-11-27,13.6802
2014-11-28,13.7324
2014-12-01,13.7421
2014-12-02,13.7825
2014-12-03,13.8102
2014-12-04,13.9112
2014-12-05,13.952
2014-12-08,14.1749
2014-12-09,14.1264
2014-12-10,14.3815
2014-12-11,14.3604
2014-12-12,14.5083
2014-12-15,14.4937
2014-12-16,14.5752
2014-12-17,14.4062
2014-12-18,14.1888
2014-12-19,14.1591
2014-12-22,14.131
2014-12-23,14.1464
2014-12-24,14.2112
2014-12-25,14.2455
2014-12-26,14.1249
2014-12-29,14.1127
2014-12-30,14.0845
2014-12-31,13.9973
2015-01-01,14.0019
2015-01-02,14.0685
2015-01-05,13.9564
2015-01-06,13.8865
2015-01-07,13.8561
2015-01-08,13.6872
2015-01-09,13.6676
2015-01-12,13.6432
2015-01-13,13.5883
2015-01-14,13.5663
2015-01-15,13.3792
2015-01-16,13.3701
2015-01-19,13.5224
2015-01-20,13.4578
2015-01-21,13.4166
2015-01-22,13.0182
2015-01-23,12.8485
2015-01-26,12.9112
2015-01-27,13.1555
2015-01-28,13.012
2015-01-29,13.0802
2015-01-30,13.117
2015-02-02,13.1306
2015-02-03,13.1032
2015-02-04,12.9416
2015-02-05,13.0365
2015-02-06,12.9349
2015-02-09,13.1244
2015-02-10,13.2347
2015-02-11,13.4231
2015-02-12,13.3934
2015-02-13,13.3455
2015-02-16,13.2289
2015-02-17,13.2409
2015-02-18,13.3623
2015-02-19,13.2551
2015-02-20,13.2685
2015-02-23,13.2659
2015-02-24,13.1598
2015-02-25,13.0372
2015-02-26,12.8029
2015-02-27,13.082
2015-03-02,13.1022
2015-03-03,13.189
2015-03-04,13.0676
2015-03-05,12.9675
2015-03-06,12.9669
2015-03-09,13.144
2015-03-10,13.0989
2015-03-11,12.9162
2015-03-12,13.0272
2015-03-13,13.0942
2015-03-16,13.098
2015-03-17,13.1235
2015-03-18,13.4074
2015-03-19,13.0773
2015-03-20,13.1231
2015-03-23,13.1159
2015-03-24,12.9159
2015-03-25,12.9216
2015-03-26,12.9024
2015-03-27,13.0373
2015-03-30,13.1382
2015-03-31,13.0809
2015-04-01,12.9637
2015-04-02,13.0289
2015-04-03,12.9442
2015-04-06,12.8
2015-04-07,12.8223
2015-04-08,12.7487
2015-04-09,12.6297
2015-04-10,12.7599
2015-04-13,12.7865
2015-04-14,12.8051
2015-04-15,12.9395
2015-04-16,12.9475
2015-04-17,13.007
2015-04-20,13.0331
2015-04-21,13.0524
2015-04-22,13.0504
2015-04-23,13.2505
2015-04-24,13.201
2015-04-27,13.1473
2015-04-28,13.0731
2015-04-29,13.163
2015-04-30,13.3723
2015-05-01,13.5001
2015-05-04,13.422
2015-05-05,13.4228
2015-05-06,13.5695
2015-05-07,13.5333
2015-05-08,13.3584
2015-05-11,13.3443
2015-05-12,13.5877
2015-05-13,13.5063
2015-05-14,13.4588
2015-05-15,13.5785
2015-05-18,13.4098
2015-05-19,13.285
2015-05-20,13.2552
2015-05-21,13.1199
2015-05-22,13.0824
2015-05-25,13.0403
2015-05-26,13.147
2015-05-27,13.2569
2015-05-28,13.3578
2015-05-29,13.3703
2015-06-01,13.3739
2015-06-02,13.6394
2015-06-03,13.8374
2015-06-04,13.8399
2015-06-05,13.9361
2015-06-08,14.1549
2015-06-09,14.0654
2015-06-10,13.9956
2015-06-11,13.9461
2015-06-12,14.0121
2015-06-15,14.0166
2015-06-16,13.924
2015-06-17,14.092
2015-06-18,13.838
2015-06-19,13.8881
2015-06-22,13.7535
2015-06-23,13.6337
2015-06-24,13.6108
2015-06-25,13.548
2015-06-26,13.6371
2015-06-29,13.7934
2015-06-30,13.5574
2015-07-01,13.5052
2015-07-02,13.5953
2015-07-03,13.5843
2015-07-06,13.7319
2015-07-07,13.7678
2015-07-08,13.8693
2015-07-09,13.805
2015-07-10,13.8652
2015-07-13,13.7486
2015-07-14,13.602
2015-07-15,13.6285
2015-07-16,13.4846
2015-07-17,13.3756
2015-07-20,13.4836
2015-07-21,13.5576
2015-07-22,13.4971
2015-07-23,13.665
2015-07-24,13.8733
2015-07-27,13.9891
2015-07-28,13.905
2015-07-29,13.7469
2015-07-30,13.8868
2015-07-31,13.8928
2015-08-03,13.9101
2015-08-04,13.8021
2015-08-05,13.9014
2015-08-06,13.9621
2015-08-07,13.9893
2015-08-10,13.9338
2015-08-11,14.1233
2015-08-12,14.2316
2015-08-13,14.3094
2015-08-14,14.2429
2015-08-17,14.2772
2015-08-18,14.2882
2015-08-19,14.3883
2015-08-20,14.5145
2015-08-21,14.747
2015-08-24,15.1952
2015-08-25,15.0387
2015-08-26,14.8949
2015-08-27,14.7102
2015-08-28,14.8391
2015-08-31,14.9586
2015-09-01,15.1205
2015-09-02,15.0731
2015-09-03,15.124
2015-09-04,15.2783
2015-09-07,15.5878
2015-09-08,15.4589
2015-09-09,15.3601
2015-09-10,15.57
2015-09-11,15.4027
2015-09-14,15.3915
2015-09-15,15.2429
2015-09-16,15.0708
2015-09-17,15.1964
2015-09-18,14.9485
2015-09-21,14.9867
2015-09-22,15.2253
2015-09-23,15.366
2015-09-24,15.7
2015-09-25,15.4623
2015-09-28,15.7855
2015-09-29,15.7546
2015-09-30,15.4794
2015-10-01,15.4458
2015-10-02,15.6647
2015-10-05,15.2225
2015-10-06,15.3937
2015-10-07,15.0193
2015-10-08,15.2018
2015-10-09,15.0924
2015-10-12,15.1594
2015-10-13,15.3547
2015-10-14,15.314
2015-10-15,14.9614
2015-10-16,14.8708
2015-10-19,15.0588
2015-10-20,15.0686
2015-10-21,15.2834
2015-10-22,14.9044
2015-10-23,14.9612
2015-10-26,15.0103
2015-10-27,15.1749
2015-10-28,14.8458
2015-10-29,15.2071
2015-10-30,15.2435
2015-11-02,15.1708
2015-11-03,15.2295
2015-11-04,15.1793
2015-11-05,15.1372
2015-11-06,15.2434
2015-11-09,15.35
2015-11-10,15.3722
2015-11-11,15.2338
2015-11-12,15.4507
2015-11-13,15.4447
2015-11-16,15.3556
2015-11-17,15.1897
2015-11-18,15.1568
2015-11-19,15.1527
2015-11-20,14.8101
2015-11-23,14.9413
2015-11-24,14.9711
2015-11-25,15.0439
2015-11-26,15.0214
2015-11-27,14.9988
2015-11-30,15.2099
2015-12-01,15.3413
2015-12-02,15.2689
2015-12-03,15.5938
2015-12-04,15.6515
2015-12-07,15.7629
2015-12-08,15.9836
2015-12-09,16.0058
2015-12-10,16.6437
2015-12-11,17.4171
2015-12-14,16.8071
2015-12-15,16.3519
2015-12-16,16.4187
2015-12-17,16.3766
2015-12-18,16.3507
2015-12-21,16.4146
2015-12-22,16.5945
2015-12-23,16.6246
2015-12-24,16.7688
2015-12-25,16.7311
2015-12-28,16.7862
2015-12-29,16.7254
2015-12-30,16.935
2015-12-31,16.7674
2016-01-01,16.8283
2016-01-04,16.8866
2016-01-05,16.7825
2016-01-06,17.0963
2016-01-07,17.5675
2016-01-08,17.6011
2016-01-11,18.0363
2016-01-12,17.9812
2016-01-13,17.846
2016-01-14,17.9048
2016-01-15,18.2034
2016-01-18,18.37
2016-01-19,18.2502
2016-01-20,18.39
2016-01-21,18.1285
2016-01-22,17.7278
2016-01-25,17.8858
2016-01-26,17.896
2016-01-27,17.8565
2016-01-28,17.7527
2016-01-29,17.3094
2016-02-01,17.5005
2016-02-02,17.6148
2016-02-03,17.9082
2016-02-04,17.8494
2016-02-05,17.7636
2016-02-08,18.1267
2016-02-09,18.2331
2016-02-10,18.0499
2016-02-11,17.847
2016-02-12,17.8948
2016-02-15,17.5881
2016-02-16,17.5638
2016-02-17,17.5472
2016-02-18,17.5007
2016-02-19,17.5166
2016-02-22,16.7938
2016-02-23,16.6944
2016-02-24,17.2367
2016-02-25,17.1582
2016-02-26,17.2406
2016-02-29,17.5007
2016-03-01,17.4213
2016-03-02,17.0599
2016-03-03,17.1992
2016-03-04,17.172
2016-03-07,16.9833
2016-03-08,16.9019
2016-03-09,16.8645
2016-03-10,16.8806
2016-03-11,17.0421
2016-03-14,17.1178
2016-03-15,17.2692
2016-03-16,18.1138
2016-03-17,17.2939
2016-03-18,17.2648
2016-03-21,17.1956
2016-03-22,17.1947
2016-03-23,17.1667
2016-03-24,17.333
2016-03-25,17.312
2016-03-28,17.2527
2016-03-29,17.3989
2016-03-30,16.9346
2016-03-31,16.7847
2016-04-01,16.9261
2016-04-04,16.7749
2016-04-05,17.1212
2016-04-06,17.2278
2016-04-07,17.2417
2016-04-08,17.2837
2016-04-11,16.715
2016-04-12,16.7737
2016-04-13,16.5595
2016-04-14,16.3743
2016-04-15,16.4854
2016-04-18,16.5385
2016-04-19,16.4443
2016-04-20,16.1349
2016-04-21,16.0925
2016-04-22,16.1424
2016-04-25,16.3908
2016-04-26,16.2973
2016-04-27,16.3749
2016-04-28,16.3859
2016-04-29,16.2771
2016-05-02,16.373
2016-05-03,16.6722
2016-05-04,17.0591
2016-05-05,17.0168
2016-05-06,17.1532
2016-05-09,17.0786
2016-05-10,17.4183
2016-05-11,17.3409
2016-05-12,17.0545
2016-05-13,17.2005
2016-05-16,17.2104
2016-05-17,17.64
2016-05-18,17.8426
2016-05-19,17.7616
2016-05-20,17.6809
2016-05-23,17.6632
2016-05-24,17.5415
2016-05-25,17.4987
2016-05-26,17.4092
2016-05-27,17.3869
2016-05-30,17.4283
2016-05-31,17.5647
2016-06-01,17.5766
2016-06-02,17.4407
2016-06-03,17.6176
2016-06-06,16.9721
2016-06-07,16.9317
2016-06-08,16.7894
2016-06-09,16.8078
2016-06-10,16.9602
2016-06-13,17.1317
2016-06-14,17.1082
2016-06-15,17.1918
2016-06-16,17.3587
2016-06-17,17.1728
2016-06-20,16.7788
2016-06-21,16.5882
2016-06-22,16.6385
2016-06-23,16.4774
2016-06-24,16.7376
2016-06-27,16.8925
2016-06-28,16.8491
2016-06-29,16.6564
2016-06-30,16.3445
2016-07-01,16.3992
2016-07-04,16.4248
2016-07-05,16.3438
2016-07-06,16.48
2016-07-07,16.2195
2016-07-08,15.9965
2016-07-11,15.9836
2016-07-12,15.9072
2016-07-13,15.953
2016-07-14,15.8518
2016-07-15,15.8461
2016-07-18,15.9013
2016-07-19,15.8453
2016-07-20,15.764
2016-07-21,15.6785
2016-07-22,15.6657
2016-07-25,15.7545
2016-07-26,15.8219
2016-07-27,15.8128
2016-07-28,15.7808
2016-07-29,15.7702
2016-08-01,15.5367
2016-08-02,15.686
2016-08-03,15.6349
2016-08-04,15.3197
2016-08-05,15.2841
2016-08-08,15.1066
2016-08-09,14.9952
2016-08-10,14.8586
2016-08-11,14.9014
2016-08-12,14.9411
2016-08-15,15.0102
2016-08-16,15.0167
2016-08-17,15.1228
2016-08-18,15.1546
2016-08-19,15.3237
2016-08-22,15.4075
2016-08-23,15.244
2016-08-24,15.8876
2016-08-25,15.9597
2016-08-26,15.758
2016-08-29,15.8738
2016-08-30,15.8245
2016-08-31,15.8497
2016-09-01,16.4862
2016-09-02,16.2572
2016-09-05,15.5777
2016-09-06,15.9704
2016-09-07,15.7694
2016-09-08,15.7454
2016-09-09,16.1351
2016-09-12,16.1869
2016-09-13,16.2019
2016-09-14,16.1406
2016-09-15,16.0112
2016-09-16,15.8646
2016-09-19,15.6855
2016-09-20,15.4797
2016-09-21,15.4236
2016-09-22,15.1321
2016-09-23,15.2775
2016-09-26,15.3692
2016-09-27,15.2114
2016-09-28,15.3159
2016-09-29,15.5195
2016-09-30,15.5192
2016-10-03,15.2797
2016-10-04,15.299
2016-10-05,15.4252
2016-10-06,15.5289
2016-10-07,15.546
2016-10-10,15.4191
2016-10-11,15.7801
2016-10-12,15.8688
2016-10-13,15.8139
2016-10-14,15.5298
2016-10-17,15.5964
2016-10-18,15.3762
2016-10-19,15.1809
2016-10-20,15.236
2016-10-21,15.2906
2016-10-24,15.1168
2016-10-25,15.0755
2016-10-26,15.1408
2016-10-27,15.0799
2016-10-28,15.1928
2016-10-31,14.8518
2016-11-01,15.0427
2016-11-02,14.8653
2016-11-03,14.9732
2016-11-04,15.0962
2016-11-07,14.8797
2016-11-08,14.6964
2016-11-09,14.7739
2016-11-10,15.0595
2016-11-11,15.5166
2016-11-14,15.4734
2016-11-15,15.2111
2016-11-16,15.3398
2016-11-17,15.1882
2016-11-18,15.44
2016-11-21,15.0926
2016-11-22,14.9725
2016-11-23,15.0289
2016-11-24,15.0356
2016-11-25,14.9698
2016-11-28,14.7443
2016-11-29,14.8705
2016-11-30,14.8429
2016-12-01,14.9757
2016-12-02,15.0164
2016-12-05,14.9388
2016-12-06,14.6233
2016-12-07,14.5138
2016-12-08,14.5084
2016-12-09,14.6202
2016-12-12,14.5153
2016-12-13,14.4793
2016-12-14,14.691
2016-12-15,14.5739
2016-12-16,14.7341
2016-12-19,14.7534
2016-12-20,14.511
2016-12-21,14.5718
2016-12-22,14.6471
2016-12-23,14.643
2016-12-26,14.6735
2016-12-27,14.5726
2016-12-28,14.4313
2016-12-29,14.3158
2016-12-30,14.4564
2017-01-02,14.363
2017-01-03,14.3583
2017-01-04,14.3007
2017-01-05,14.4468
2017-01-06,14.4828
2017-01-09,14.4413
2017-01-10,14.5291
2017-01-11,14.555
2017-01-12,14.3735
2017-01-13,14.3933
2017-01-16,14.5241
2017-01-17,14.4388
2017-01-18,14.5189
2017-01-19,14.508
2017-01-20,14.5709
2017-01-23,14.5214
2017-01-24,14.3709
2017-01-25,14.2187
2017-01-26,14.2718
2017-01-27,14.4257
2017-01-30,14.4575
2017-01-31,14.564
2017-02-01,14.5164
2017-02-02,14.4261
2017-02-03,14.3245
2017-02-06,14.3214
2017-02-07,14.3698
2017-02-08,14.3178
2017-02-09,14.3471
2017-02-10,14.2369
2017-02-13,14.1384
2017-02-14,13.8604
2017-02-15,13.7064
2017-02-16,13.9105
2017-02-17,13.8895
2017-02-20,13.9275
2017-02-21,13.8307
2017-02-22,13.7477
2017-02-23,13.6321
2017-02-24,13.6609
2017-02-27,13.7857
2017-02-28,13.9079
2017-03-01,13.7278
2017-03-02,13.8424
2017-03-03,13.9306
2017-03-06,13.8005
2017-03-07,13.7286
2017-03-08,13.865
2017-03-09,14.1205
2017-03-10,14.0555
2017-03-13,14.0019
2017-03-14,13.9895
2017-03-15,13.9445
2017-03-16,13.6971
2017-03-17,13.6719
2017-03-20,13.6585
2017-03-21,13.6974
2017-03-22,13.63
2017-03-23,13.5028
2017-03-24,13.4585
2017-03-27,13.8526
2017-03-28,14.0417
2017-03-29,14.0647
2017-03-30,13.9115
2017-03-31,14.3241
2017-04-03,14.6287
2017-04-04,14.5518
2017-04-05,14.7542
2017-04-06,14.6917
2017-04-07,14.604
2017-04-10,14.7683
2017-04-11,14.6781
2017-04-12,14.414
2017-04-13,14.2899
2017-04-14,14.2673
2017-04-17,14.2143
2017-04-18,14.2626
2017-04-19,14.2462
2017-04-20,14.1571
2017-04-21,14.0874
2017-04-24,14.1648
2017-04-25,14.2893
2017-04-26,14.5339
