date,exchange_rate
2014-11-24,40.755
2014-11-25,40.899
2014-11-26,40.885
2014-11-27,40.765
2014-11-28,40.864
2014-12-01,40.81
2014-12-02,40.62
2014-12-03,40.4
2014-12-04,40.64
2014-12-05,40.514
2014-12-08,40.59
2014-12-09,40.605
2014-12-10,40.715
2014-12-11,40.655
2014-12-12,40.846
2014-12-15,40.98
2014-12-16,41.225
2014-12-17,40.545
2014-12-18,40.34
2014-12-19,40.152
2014-12-22,40.159
2014-12-23,40.01
2014-12-24,40.093
2014-12-25,40.179
2014-12-26,40.038
2014-12-29,39.98
2014-12-30,39.87
2014-12-31,39.746
2015-01-01,39.72
2015-01-02,39.497
2015-01-05,39.265
2015-01-06,38.95
2015-01-07,38.825
2015-01-08,38.71
2015-01-09,38.861
2015-01-12,38.81
2015-01-13,38.55
2015-01-14,38.591
2015-01-15,37.97
2015-01-16,37.674
2015-01-19,37.75
2015-01-20,37.72
2015-01-21,37.76
2015-01-22,37.01
2015-01-23,36.487
2015-01-26,36.515
2015-01-27,36.87
2015-01-28,36.62
2015-01-29,37.06
2015-01-30,36.966
2015-02-02,36.845
2015-02-03,37.31
2015-02-04,36.895
2015-02-05,37.33
2015-02-06,36.803
2015-02-09,36.862
2015-02-10,36.86
2015-02-11,36.93
2015-02-12,37.12
2015-02-13,37.081
2015-02-16,36.9
2015-02-17,37.11
2015-02-18,37.127
2015-02-19,36.925
2015-02-20,37.03
2015-02-23,36.83
2015-02-24,36.825
2015-02-25,36.88
2015-02-26,36.195
2015-02-27,36.156
2015-03-02,36.085
2015-03-03,36.105
2015-03-04,35.815
2015-03-05,35.71
2015-03-06,35.237
2015-03-09,35.27
2015-03-10,34.875
2015-03-11,34.635
2015-03-12,34.861
2015-03-13,34.5
2015-03-16,34.725
2015-03-17,34.85
2015-03-18,35.305
2015-03-19,34.916
2015-03-20,35.267
2015-03-23,35.54
2015-03-24,35.405
2015-03-25,35.595
2015-03-26,35.38
2015-03-27,35.426
2015-03-30,35.215
2015-03-31,34.885
2015-04-01,34.905
2015-04-02,35.25
2015-04-03,35.5
2015-04-06,35.379
2015-04-07,35.186
2015-04-08,35.042
2015-04-09,34.659
2015-04-10,34.449
2015-04-13,34.326
2015-04-14,34.486
2015-04-15,34.548
2015-04-16,34.778
2015-04-17,34.945
2015-04-20,34.721
2015-04-21,34.683
2015-04-22,34.647
2015-04-23,35.012
2015-04-24,35.359
2015-04-27,35.393
2015-04-28,35.721
2015-04-29,36.449
2015-04-30,36.967
2015-05-01,37.049
2015-05-04,37.075
2015-05-05,37.188
2015-05-06,37.659
2015-05-07,37.611
2015-05-08,37.462
2015-05-11,37.518
2015-05-12,37.756
2015-05-13,37.969
2015-05-14,38.093
2015-05-15,38.262
2015-05-18,37.73
2015-05-19,37.285
2015-05-20,37.216
2015-05-21,37.037
2015-05-22,36.804
2015-05-25,36.818
2015-05-26,36.644
2015-05-27,36.76
2015-05-28,36.998
2015-05-29,36.998
2015-06-01,36.716
2015-06-02,37.528
2015-06-03,37.848
2015-06-04,37.724
2015-06-05,37.621
2015-06-08,38.025
2015-06-09,37.933
2015-06-10,37.988
2015-06-11,37.808
2015-06-12,37.849
2015-06-15,37.904
2015-06-16,37.819
2015-06-17,38.045
2015-06-18,38.189
2015-06-19,38.207
2015-06-22,38.131
2015-06-23,37.647
2015-06-24,37.783
2015-06-25,37.746
2015-06-26,37.718
2015-06-29,37.885
2015-06-30,37.563
2015-07-01,37.338
2015-07-02,37.429
2015-07-03,37.555
2015-07-06,37.364
2015-07-07,37.356
2015-07-08,37.552
2015-07-09,37.513
2015-07-10,37.818
2015-07-13,37.395
2015-07-14,37.45
2015-07-15,37.357
2015-07-16,37.142
2015-07-17,37.014
2015-07-20,37.264
2015-07-21,37.654
2015-07-22,37.873
2015-07-23,38.186
2015-07-24,38.275
2015-07-27,38.618
2015-07-28,38.556
2015-07-29,38.374
2015-07-30,38.37
2015-07-31,38.562
2015-08-03,38.357
2015-08-04,38.161
2015-08-05,38.307
2015-08-06,38.351
2015-08-07,38.473
2015-08-10,38.614
2015-08-11,38.972
2015-08-12,39.303
2015-08-13,39.32
2015-08-14,39.103
2015-08-17,39.313
2015-08-18,39.232
2015-08-19,39.529
2015-08-20,39.972
2015-08-21,40.615
2015-08-24,41.341
2015-08-25,40.932
2015-08-26,40.384
2015-08-27,40.048
2015-08-28,40.012
2015-08-31,40.138
2015-09-01,40.345
2015-09-02,40.057
2015-09-03,39.826
2015-09-04,40.008
2015-09-07,40.309
2015-09-08,40.415
2015-09-09,40.425
2015-09-10,40.741
2015-09-11,40.916
2015-09-14,40.742
2015-09-15,40.477
2015-09-16,40.448
2015-09-17,40.802
2015-09-18,40.189
2015-09-21,40.05
2015-09-22,40.092
2015-09-23,40.441
2015-09-24,40.6
2015-09-25,40.439
2015-09-28,40.759
2015-09-29,40.96
2015-09-30,40.59
2015-10-01,40.796
2015-10-02,40.951
2015-10-05,40.631
2015-10-06,40.88
2015-10-07,40.306
2015-10-08,40.348
2015-10-09,40.299
2015-10-12,40.112
2015-10-13,40.485
2015-10-14,40.646
2015-10-15,40.056
2015-10-16,40.027
2015-10-19,40.115
2015-10-20,40.224
2015-10-21,40.384
2015-10-22,39.472
2015-10-23,39.025
2015-10-26,39.176
2015-10-27,39.146
2015-10-28,38.928
2015-10-29,39.151
2015-10-30,39.144
2015-11-02,39.184
2015-11-03,38.935
2015-11-04,38.575
2015-11-05,38.651
2015-11-06,38.4
2015-11-09,38.562
2015-11-10,38.419
2015-11-11,38.512
2015-11-12,38.777
2015-11-13,38.656
2015-11-16,38.388
2015-11-17,38.272
2015-11-18,38.297
2015-11-19,38.447
2015-11-20,37.979
2015-11-23,38.08
2015-11-24,37.996
2015-11-25,37.81
2015-11-26,37.856
2015-11-27,37.827
2015-11-30,37.818
2015-12-01,37.956
2015-12-02,37.954
2015-12-03,39.159
2015-12-04,38.883
2015-12-07,38.819
2015-12-08,39.134
2015-12-09,39.59
2015-12-10,39.36
2015-12-11,39.617
2015-12-14,39.689
2015-12-15,39.259
2015-12-16,39.071
2015-12-17,39.092
2015-12-18,39.198
2015-12-21,39.367
2015-12-22,39.46
2015-12-23,39.283
2015-12-24,39.478
2015-12-25,39.535
2015-12-28,39.615
2015-12-29,39.373
2015-12-30,39.368
2015-12-31,39.07
2016-01-01,39.059
2016-01-04,39.105
2016-01-05,38.81
2016-01-06,39.008
2016-01-07,39.588
2016-01-08,39.603
2016-01-11,39.348
2016-01-12,39.357
2016-01-13,39.402
2016-01-14,39.433
2016-01-15,39.635
2016-01-18,39.467
2016-01-19,39.542
2016-01-20,39.483
2016-01-21,39.349
2016-01-22,38.842
2016-01-25,38.983
2016-01-26,38.91
2016-01-27,38.994
2016-01-28,39.115
2016-01-29,38.615
2016-02-01,38.681
2016-02-02,39.104
2016-02-03,39.505
2016-02-04,39.837
2016-02-05,39.659
2016-02-08,39.758
2016-02-09,39.944
2016-02-10,39.778
2016-02-11,39.828
2016-02-12,40.014
2016-02-15,39.759
2016-02-16,39.644
