date,exchange_rate
2014-11-24,6.2869
2014-11-25,6.305
2014-11-26,6.3387
2014-11-27,6.3583
2014-11-28,6.334
2014-12-01,6.3252
2014-12-02,6.3369
2014-12-03,6.308
2014-12-04,6.2712
2014-12-05,6.3199
2014-12-08,6.2953
2014-12-09,6.3001
2014-12-10,6.3457
2014-12-11,6.3701
2014-12-12,6.3618
2014-12-15,6.465
2014-12-16,6.5072
2014-12-17,6.5452
2014-12-18,6.4593
2014-12-19,6.4368
2014-12-22,6.4226
2014-12-23,6.4311
2014-12-24,6.3992
2014-12-25,6.4234
2014-12-26,6.4468
2014-12-29,6.4322
2014-12-30,6.4098
2014-12-31,6.4556
2015-01-02,6.3995
2015-01-05,6.349
2015-01-06,6.3428
2015-01-07,6.305
2015-01-08,6.2897
2015-01-09,6.2879
2015-01-12,6.3194
2015-01-13,6.322
2015-01-14,6.2736
2015-01-15,6.3013
2015-01-16,6.2096
2015-01-19,6.1718
2015-01-20,6.2059
2015-01-21,6.197
2015-01-23,6.1083
2015-01-26,5.9971
2015-01-27,6.0466
2015-01-30,6.0893
2015-02-02,6.0813
2015-02-03,6.1032
2015-02-04,6.1661
2015-02-05,6.1101
2015-02-06,6.1799
2015-02-09,6.1133
2015-02-10,6.1106
2015-02-11,6.1063
2015-02-12,6.1098
2015-02-13,6.1486
2015-02-16,6.1656
2015-02-17,6.1511
2015-02-18,6.1776
2015-02-19,6.1817
2015-02-20,6.1644
2015-02-23,6.1684
2015-02-24,6.1704
2015-02-25,6.1727
2015-02-26,6.2009
2015-02-27,6.0972
2015-03-02,6.0825
2015-03-04,6.0913
2015-03-05,6.0338
2015-03-06,6.0226
2015-03-09,5.9242
2015-03-11,5.856
2015-03-12,5.7629
2015-03-13,5.8611
2015-03-16,5.8751
2015-03-17,5.9452
2015-03-18,5.9925
2015-03-19,6.151
2015-03-20,6.0883
2015-03-23,6.1731
2015-03-27,6.2236
2015-03-30,6.2516
2015-03-31,6.2804
2015-04-01,6.293
2015-04-02,6.3516
2015-04-03,6.4704
2015-04-06,6.55
2015-04-07,6.5097
2015-04-08,6.4725
2015-04-09,6.4514
2015-04-10,6.3905
2015-04-13,6.3524
2015-04-14,6.3669
2015-04-15,6.4137
2015-04-16,6.4824
2015-04-17,6.5372
2015-04-20,6.591
2015-04-21,6.5811
2015-04-22,6.6152
2015-04-23,6.6263
2015-04-24,6.7091
2015-04-27,6.7556
2015-04-28,6.7786
2015-04-29,6.8498
2015-04-30,6.9554
2015-05-01,7.0216
2015-05-05,6.9944
2015-05-06,7.0398
2015-05-07,7.1297
2015-05-08,7.0592
2015-05-11,7.0207
2015-05-13,7.0582
2015-05-14,7.1406
2015-05-15,7.1708
2015-05-18,7.1821
2015-05-19,7.1026
2015-05-20,6.9986
2015-05-21,6.9845
2015-05-22,6.9883
2015-05-25,6.8917
2015-05-26,6.8596
2015-05-27,6.8135
2015-05-28,6.8365
2015-05-29,6.8681
2015-06-01,6.8628
2015-06-02,6.8405
2015-06-03,6.9847
2015-06-04,7.0511
2015-06-05,7.0191
2015-06-08,6.9467
2015-06-09,7.083
2015-06-10,7.0671
2015-06-11,7.068
2015-06-12,7.0452
2015-06-15,7.0161
2015-06-16,7.0587
2015-06-17,7.0434
2015-06-18,7.1057
2015-06-19,7.1193
2015-06-22,7.1232
2015-06-23,7.0547
2015-06-24,6.9944
2015-06-25,7.0147
2015-06-26,7.0002
2015-06-29,6.8909
2015-07-01,6.972
2015-07-02,6.9304
2015-07-03,6.9456
2015-07-06,6.9122
2015-07-07,6.9089
2015-07-08,6.8827
2015-07-09,6.9302
2015-07-10,6.938
2015-07-13,6.9628
2015-07-14,6.8871
2015-07-15,6.8873
2015-07-16,6.8403
2015-07-17,6.8166
2015-07-21,6.7784
2015-07-22,6.8446
2015-07-24,6.8684
2015-08-05,6.7984
2015-08-19,6.9649
2015-09-08,7.1237
2015-09-09,7.1098
2015-09-11,7.1788
2015-09-14,7.2251
2015-09-15,7.221
2015-09-16,7.2043
2015-09-17,7.2299
2015-09-18,7.2982
2015-09-21,7.2468
2015-09-22,7.187
2015-09-23,7.1458
2015-09-24,7.192
2015-09-28,7.2073
2015-09-29,7.2537
2015-09-30,7.2634
2015-10-01,7.206
2015-10-02,7.2426
2015-10-05,7.2859
2015-10-06,7.2598
2015-10-07,7.321
2015-10-08,7.3239
2015-10-09,7.3487
2015-10-12,7.4194
2015-10-13,7.4199
2015-10-14,7.4514
2015-10-15,7.5214
2015-10-16,7.4618
2015-10-19,7.4536
2015-10-20,7.4463
2015-10-21,7.4735
2015-10-22,7.4745
2015-10-23,7.3291
2015-10-26,7.2899
2015-10-28,7.3025
2015-10-29,7.2346
2015-10-30,7.2667
2015-11-02,7.3007
2015-11-03,7.2905
2015-11-05,7.1981
2015-11-10,7.1274
2015-11-11,7.141
2015-11-12,7.1451
2015-11-13,7.1563
2015-11-16,7.1112
2015-11-17,7.0779
2015-11-18,7.068
2015-11-19,7.126
2015-11-20,7.145
2015-11-23,7.0797
2015-11-24,7.1069
2015-11-25,7.1425
2015-11-26,7.1162
2015-11-27,7.1236
2015-11-30,7.1116
2015-12-01,7.1282
2015-12-02,7.1604
2015-12-03,7.155
2015-12-04,7.3766
2015-12-07,7.3521
2015-12-08,7.3608
2015-12-09,7.4063
2015-12-10,7.4904
2015-12-11,7.447
2015-12-14,7.4823
2015-12-15,7.5219
2015-12-16,7.4841
2015-12-17,7.4342
2015-12-18,7.435
2015-12-21,7.4887
2015-12-22,7.5328
2015-12-23,7.5551
2015-12-24,7.5579
2015-12-25,7.5896
2015-12-28,7.6374
2015-12-29,7.6525
2015-12-30,7.6235
2015-12-31,7.6348
2016-01-01,7.7213
2016-01-05,7.7271
2016-01-06,7.7167
2016-01-07,7.7758
2016-01-08,7.8632
2016-01-11,7.9254
2016-01-12,7.9178
2016-01-13,7.9186
2016-01-14,7.9985
2016-01-15,8.0223
2016-01-18,8.116
2016-01-19,8.1739
2016-01-20,8.2509
2016-01-21,8.2579
2016-01-22,8.2814
2016-01-25,8.4019
2016-01-26,8.4122
2016-01-27,8.4736
2016-01-28,8.5208
2016-01-29,8.5743
2016-02-01,8.5048
2016-02-02,8.5419
2016-02-03,8.5645
2016-02-04,8.6891
2016-02-05,8.7792
2016-02-08,8.7313
2016-02-09,8.7822
2016-02-10,8.8562
2016-02-11,8.8655
2016-02-12,8.8816
2016-02-15,8.8272
2016-02-17,8.7675
2016-02-19,8.7543
2016-02-22,8.7471
2016-02-23,8.6874
2016-02-25,8.6738
2016-02-26,8.696
2016-02-29,8.6043
2016-03-01,8.566
2016-03-02,8.5482
2016-03-03,8.5546
2016-03-04,8.609
2016-03-07,8.6465
2016-03-08,8.6753
2016-03-10,8.6438
2016-03-11,8.7992
2016-03-14,8.7773
2016-03-15,8.7412
2016-03-16,8.7353
2016-03-17,8.8287
2016-03-18,8.9074
2016-03-21,8.8773
2016-03-28,8.7783
2016-03-29,8.8079
2016-03-30,8.8845
2016-03-31,8.9085
2016-04-01,8.9464
2016-04-04,8.9718
2016-04-05,8.9675
2016-04-06,8.9483
2016-04-07,8.974
2016-04-08,8.9421
2016-04-11,8.98
2016-04-12,8.9791
2016-04-13,8.9501
2016-04-14,8.8616
2016-04-15,8.8582
2016-04-18,8.878
2016-04-19,8.9042
2016-04-20,8.9426
2016-04-21,8.8906
2016-04-22,8.8981
2016-04-25,8.8472
2016-04-26,8.8709
2016-04-27,8.8994
2016-04-28,8.8959
2016-04-29,8.9569
2016-05-02,9.0256
2016-05-04,9.0369
2016-05-05,9.0385
2016-05-06,8.9743
2016-05-09,8.9679
2016-05-11,8.9599
2016-05-12,8.9891
2016-05-13,8.9482
2016-05-16,8.8996
2016-05-17,8.9075
2016-05-18,8.8873
2016-05-19,8.8271
2016-05-20,8.8183
2016-05-23,8.8368
2016-05-24,8.8182
2016-05-25,8.7682
2016-05-26,8.795
2016-05-27,8.8033
2016-05-30,8.7335
2016-05-31,8.77
2016-06-01,8.7482
2016-06-02,8.8197
2016-06-03,8.7734
2016-06-06,8.9253
2016-06-07,8.9305
2016-06-08,8.946
2016-06-09,8.9807
2016-06-10,8.8889
2016-06-13,8.8476
2016-06-14,8.8862
2016-06-15,8.8144
2016-06-16,8.8611
2016-06-17,8.8635
2016-06-20,8.9346
2016-06-21,8.918
2016-06-22,8.8531
2016-06-23,8.9178
2016-06-24,8.7772
2016-06-27,8.6464
2016-06-29,8.7004
2016-06-30,8.7452
2016-07-01,8.7333
2016-07-04,8.7648
2016-07-05,8.7565
2016-07-06,8.69
2016-07-08,8.7127
2016-07-11,8.6966
2016-07-12,8.7222
2016-07-13,8.7
2016-07-14,8.7396
2016-07-15,8.749
2016-07-18,8.7037
2016-07-19,8.7154
2016-07-20,8.6636
2016-07-21,8.681
2016-07-22,8.6737
2016-07-25,8.6269
2016-07-26,8.6459
2016-07-27,8.6478
2016-07-28,8.7065
2016-07-29,8.7189
2016-08-01,8.7915
2016-08-02,8.7845
2016-08-03,8.8197
2016-08-04,8.7731
2016-08-05,8.757
2016-08-08,8.7272
2016-08-09,8.7152
2016-08-10,8.7702
2016-08-11,8.7949
2016-08-12,8.7637
2016-08-15,8.7751
2016-08-16,8.7955
2016-08-17,8.8716
2016-08-18,8.9003
2016-08-19,8.9201
2016-08-22,8.8818
2016-08-23,8.9105
2016-08-24,8.8901
2016-08-25,8.868
2016-08-26,8.8838
2016-08-29,8.8105
2016-08-30,8.7914
2016-08-31,8.7764
2016-09-01,8.781
2016-09-02,8.8107
2016-09-05,8.7804
2016-09-06,8.77
2016-09-07,8.8501
2016-09-08,8.8535
2016-09-09,8.87
2016-09-14,8.8303
2016-09-15,8.8521
2016-09-16,8.8487
2016-09-19,8.7884
2016-09-20,8.7928
2016-09-21,8.778
2016-09-22,8.8063
2016-09-23,8.8138
2016-09-26,8.8435
2016-09-27,8.8521
2016-09-28,8.8201
2016-09-29,8.8421
2016-09-30,8.8282
2016-10-03,8.8432
2016-10-04,8.8137
2016-10-05,8.8326
2016-10-06,8.8166
2016-10-07,8.7636
2016-10-10,8.8116
2016-10-11,8.7561
2016-10-12,8.6987
2016-10-13,8.6791
2016-10-14,8.6952
2016-10-17,8.6407
2016-10-18,8.6741
2016-10-19,8.6542
2016-10-20,8.641
2016-10-21,8.586
2016-10-24,8.5538
2016-10-25,8.5651
2016-10-26,8.5725
2016-10-27,8.5805
2016-10-28,8.5886
2016-10-31,8.6322
2016-11-01,8.637
2016-11-02,8.7157
2016-11-03,8.751
2016-11-04,8.7349
2016-11-07,8.728
2016-11-10,8.6199
2016-11-11,8.5925
2016-11-14,8.5073
2016-11-15,8.4683
2016-11-16,8.4624
2016-11-17,8.4267
2016-11-18,8.3452
2016-11-21,8.3552
2016-11-22,8.3719
2016-11-23,8.3688
2016-11-24,8.2954
2016-11-25,8.31
2016-11-28,8.4039
2016-11-29,8.35
2016-11-30,8.3878
2016-12-01,8.3432
2016-12-02,8.4018
2016-12-05,8.3134
2016-12-06,8.4765
2016-12-07,8.4419
2016-12-08,8.4873
2016-12-09,8.346
2016-12-12,8.314
2016-12-13,8.3734
2016-12-14,8.3783
2016-12-15,8.2852
2016-12-16,8.2131
2016-12-19,8.2371
2016-12-20,8.1981
2016-12-21,8.2019
2016-12-22,8.2199
2016-12-23,8.2222
2016-12-26,8.2341
2016-12-27,8.2202
2016-12-28,8.246
2016-12-29,8.221
2016-12-30,8.2999
2017-01-02,8.2842
2017-01-03,8.2024
2017-01-04,8.1923
2017-01-05,8.2874
2017-01-06,8.3411
2017-01-09,8.3034
2017-01-10,8.3427
2017-01-11,8.3116
2017-01-12,8.3522
2017-01-13,8.3639
2017-01-17,8.3633
2017-01-18,8.4266
2017-01-19,8.3868
2017-01-20,8.416
2017-01-23,8.4718
2017-01-24,8.4889
2017-01-25,8.4641
2017-01-26,8.4848
2017-01-27,8.4304
2017-01-30,8.4777
2017-01-31,8.4522
2017-02-01,8.5266
2017-02-02,8.5174
2017-02-03,8.503
2017-02-06,8.5186
2017-02-07,8.4743
2017-02-08,8.4464
2017-02-09,8.4391
2017-02-10,8.4216
2017-02-13,8.3908
2017-02-14,8.3812
2017-02-15,8.3677
2017-02-16,8.4179
2017-02-17,8.4696
2017-02-20,8.4306
2017-02-21,8.4181
2017-02-22,8.3935
2017-02-23,8.4015
2017-02-24,8.4265
2017-02-27,8.4327
2017-02-28,8.4554
2017-03-01,8.4599
2017-03-02,8.4226
2017-03-03,8.4103
2017-03-06,8.4854
2017-03-07,8.4711
2017-03-08,8.4654
2017-03-10,8.561
2017-03-13,8.6524
2017-03-14,8.632
2017-03-15,8.6095
2017-03-16,8.7053
2017-03-17,8.753
2017-03-21,8.7661
2017-03-28,8.8559
2017-03-29,8.8257
2017-03-30,8.8041
2017-03-31,8.7858
2017-04-03,8.8295
2017-04-04,8.8639
2017-04-05,8.911
2017-04-06,8.9331
2017-04-07,8.9391
2017-04-10,8.8808
2017-04-11,8.9407
2017-04-12,9.0038
2017-04-13,9.0608
2017-04-14,9.0131
2017-04-17,9.0163
2017-04-18,9.0407
2017-04-19,9.099
2017-04-20,9.0927
2017-04-21,9.0857
2017-04-24,9.1773
2017-04-25,9.2027
2017-04-26,9.2695
2017-04-27,9.2526
2017-04-28,9.2145
2017-05-01,9.2608
2017-05-02,9.2727
2017-05-03,9.2923
2017-05-04,9.2569
2017-05-05,9.326
2017-05-08,9.3308
2017-05-09,9.2877
2017-05-11,9.2461
2017-05-12,9.2399
2017-05-15,9.2865
2017-05-16,9.3352
2017-05-17,9.43
2017-05-18,9.477
2017-05-19,9.4358
2017-05-22,9.5053
2017-05-23,9.5628
2017-05-25,9.9028
2017-05-26,9.8728
2017-05-29,9.8487
2017-05-30,9.8126
2017-05-31,9.8553
2017-06-01,9.9184
2017-06-02,9.8937
2017-06-05,9.9395
2017-06-06,9.9422
2017-06-07,9.9362
2017-06-08,9.9264
2017-06-09,9.8708
2017-06-12,9.8833
2017-06-13,9.8753
2017-06-14,9.8917
2017-06-15,9.8972
2017-06-16,9.8323
2017-06-19,9.8769
2017-06-20,9.8396
2017-06-21,9.8203
2017-06-22,9.8449
2017-06-23,9.8298
2017-06-26,9.8638
2017-06-29,10.0506
2017-06-30,10.0772
2017-07-03,10.0453
2017-07-04,10.0099
2017-07-05,10.0174
2017-07-06,9.9929
2017-07-07,10.0547
2017-07-10,10.0521
2017-07-11,10.0482
2017-07-12,10.1211
2017-07-13,10.0621
2017-07-14,10.0485
2017-07-17,10.0997
2017-07-18,10.159
2017-07-19,10.1687
2017-07-20,10.1461
2017-07-21,10.25
2017-07-24,10.2818
2017-07-25,10.269
2017-07-26,10.2607
2017-07-27,10.3458
2017-07-28,10.2934
2017-07-31,10.3298
2017-08-01,10.4172
2017-08-02,10.3919
2017-08-03,10.4265
2017-08-04,10.4619
2017-08-07,10.3916
2017-08-08,10.4089
2017-08-09,10.3295
2017-08-10,10.3398
2017-08-11,10.3651
2017-08-14,10.4145
2017-08-15,10.3781
2017-08-16,10.3437
2017-08-17,10.3603
2017-08-18,10.3328
2017-08-21,10.3567
2017-08-22,10.403
2017-08-23,10.3581
2017-08-24,10.3895
2017-08-25,10.3684
2017-08-28,10.5077
2017-08-29,10.5395
2017-08-30,10.5498
2017-08-31,10.46
2017-09-01,10.4896
2017-09-05,10.4796
2017-09-06,10.4865
2017-09-07,10.5015
2017-09-08,10.6136
2017-09-11,10.5788
2017-09-13,10.5539
2017-09-14,10.4584
2017-09-15,10.4945
2017-09-18,10.5157
2017-09-19,10.5307
2017-09-20,10.5623
2017-09-21,10.4486
2017-09-22,10.5157
2017-09-25,10.5002
2017-09-26,10.4349
2017-09-27,10.375
2017-09-28,10.3301
2017-09-29,10.3673
2017-10-02,10.3593
2017-10-03,10.2991
2017-10-04,10.3455
2017-10-05,10.3458
2017-10-06,10.3051
2017-10-09,10.3212
2017-10-10,10.3553
2017-10-11,10.3754
2017-10-12,10.44
2017-10-13,10.4254
2017-10-16,10.3773
2017-10-17,10.3643
2017-10-18,10.3646
2017-10-19,10.3862
2017-10-20,10.4087
2017-10-23,10.3409
2017-10-24,10.3511
2017-10-25,10.3498
2017-10-26,10.4083
2017-10-27,10.2426
2017-10-30,10.2153
2017-10-31,10.2374
2017-11-01,10.2415
2017-11-02,10.2629
2017-11-03,10.2636
2017-11-06,10.2231
2017-11-08,10.2095
2017-11-09,10.2118
2017-11-10,10.2437
2017-11-13,10.2606
2017-11-14,10.2732
2017-11-15,10.3865
2017-11-16,10.3791
2017-11-17,10.4136
2017-11-20,10.3432
2017-11-21,10.3431
2017-11-22,10.35
2017-11-23,10.4262
2017-11-24,10.4511
2017-11-27,10.5055
2017-11-28,10.4862
2017-11-29,10.4489
2017-11-30,10.4558
2017-12-01,10.5028
2017-12-04,10.4565
2017-12-05,10.4647
2017-12-06,10.4337
2017-12-07,10.4042
2017-12-08,10.385
2017-12-11,10.3905
2017-12-12,10.3818
2017-12-13,10.3637
2017-12-14,10.4475
2017-12-15,10.4013
2017-12-18,10.3731
2017-12-20,10.4466
2017-12-21,10.4696
2017-12-22,10.4492
2017-12-25,10.4546
2017-12-26,10.4692
2017-12-27,10.4651
2017-12-28,10.5046
2017-12-29,10.5345
2018-01-03,10.6188
2018-01-04,10.5893
2018-01-05,10.6543
2018-01-08,10.6261
2018-01-09,10.5544
