date,exchange_rate
2014-11-24,3.5413
2014-11-25,3.5529
2014-11-26,3.5648
2014-11-28,3.5469
2014-12-01,3.553
2014-12-02,3.5338
2014-12-03,3.5061
2014-12-04,3.5212
2014-12-05,3.499
2014-12-08,3.5086
2014-12-09,3.5254
2014-12-10,3.5456
2014-12-11,3.5293
2014-12-12,3.5496
2014-12-15,3.5428
2014-12-16,3.5632
2014-12-17,3.5152
2014-12-18,3.4985
2014-12-19,3.4845
2014-12-22,3.4831
2014-12-23,3.4668
2014-12-24,3.4733
2014-12-25,3.4743
2014-12-26,3.4672
2014-12-29,3.4634
2014-12-30,3.4627
2014-12-31,3.4477
2015-01-02,3.4186
2015-01-05,3.3983
2015-01-13,4.1662
2015-01-16,4.1155
2015-01-20,4.0991
2015-01-21,4.132
2015-01-22,4.0376
2015-01-23,3.986
2015-01-26,3.9926
2015-01-27,4.0371
2015-01-28,4.0153
2015-01-29,4.0133
2015-01-30,4.0103
2015-02-02,3.9955
2015-02-03,4.0749
2015-02-04,4.0326
2015-02-05,4.1325
2015-02-06,4.0739
2015-02-09,4.0745
2015-02-10,4.0711
2015-02-11,4.0663
2015-02-12,4.1053
2015-02-13,4.0988
2015-02-17,4.1165
2015-02-18,4.1011
2015-02-19,4.0647
2015-02-20,4.0446
2015-02-23,4.0254
2015-02-24,4.0353
2015-02-25,4.0372
2015-02-26,3.9842
2015-02-27,3.9819
2015-03-02,3.9679
2015-03-03,3.9705
2015-03-04,3.97
2015-03-05,3.9789
2015-03-06,3.8484
2015-03-09,3.8488
2015-03-10,3.7954
2015-03-11,3.8159
2015-03-12,3.7641
2015-03-13,3.7172
2015-03-16,3.7803
2015-03-17,3.8095
2015-03-18,3.9318
2015-03-19,3.8351
2015-03-20,3.9166
2015-03-23,3.9401
2015-03-24,3.8912
2015-03-25,4.0141
2015-03-26,3.9686
2015-03-27,3.9667
2015-03-30,3.7749
2015-03-31,3.7488
2015-04-01,3.7636
2015-04-02,3.7823
2015-04-03,3.8122
2015-04-06,3.7952
2015-04-07,3.7584
2015-04-08,3.7455
2015-04-09,3.706
2015-04-10,3.6815
2015-04-13,3.6991
2015-04-14,3.73
2015-04-15,3.7337
2015-04-16,3.7699
2015-04-17,3.7642
2015-04-20,3.7531
2015-04-21,3.7549
