date,exchange_rate
2014-11-07,2.2779
2014-11-10,2.2757
2014-11-11,2.2902
2014-11-12,2.278
2014-11-13,2.2881
2014-11-14,2.2983
2014-11-17,2.2764
2014-11-18,2.2913
2014-11-19,2.2905
2014-11-20,2.2916
2014-11-21,2.2802
2014-11-24,2.2904
2014-11-25,2.2981
2014-11-26,2.2949
2014-11-27,2.2882
2014-11-28,2.2882
2014-12-01,2.2925
2014-12-02,2.287
2014-12-03,2.2837
2014-12-04,2.2969
2014-12-05,2.2846
2014-12-08,2.2942
2014-12-09,2.2878
2014-12-10,2.3095
2014-12-11,2.2944
2014-12-12,2.3011
2014-12-15,2.3005
2014-12-16,2.2991
2014-12-17,2.2875
2014-12-18,2.2895
2014-12-19,2.2751
2014-12-22,2.281
2014-12-23,2.2713
2014-12-24,2.2731
2014-12-25,2.278
2014-12-26,2.27
2014-12-30,2.2589
2014-12-31,2.248
2015-01-01,2.2487
2015-01-02,2.2452
2015-01-05,2.2451
2015-01-06,2.2385
2015-01-07,2.2357
2015-01-08,2.2339
2015-01-09,2.243
2015-01-12,2.2364
2015-01-13,2.2344
2015-01-14,2.225
2015-01-15,2.2283
2015-01-16,2.2156
2015-01-19,2.215
2015-01-20,2.2142
2015-01-21,2.2244
2015-01-22,2.1997
2015-01-23,2.1727
2015-01-26,2.18
2015-01-27,2.1875
2015-01-28,2.1831
2015-01-29,2.1928
2015-01-30,2.1816
2015-02-02,2.1925
2015-02-03,2.1962
2015-02-04,2.1755
2015-02-05,2.1998
2015-02-06,2.1777
2015-02-09,2.192
2015-02-10,2.1861
2015-02-11,2.1885
2015-02-12,2.2005
2015-02-13,2.1868
2015-02-16,2.1794
2015-02-17,2.1915
2015-02-18,2.1983
2015-02-19,2.1897
2015-02-20,2.2048
2015-02-23,2.1945
2015-02-24,2.1909
2015-02-25,2.1891
2015-02-26,2.1685
2015-02-27,2.1728
2015-03-02,2.1765
2015-03-03,2.1818
2015-03-04,2.1664
2015-03-05,2.1554
2015-03-06,2.1474
2015-03-09,2.1397
2015-03-10,2.123
2015-03-11,2.1104
2015-03-12,2.119
2015-03-13,2.0794
2015-03-16,2.0795
2015-03-17,2.0719
2015-03-18,2.122
2015-03-19,2.0941
2015-03-20,2.0991
2015-03-23,2.1195
2015-03-24,2.0998
2015-03-25,2.1166
2015-03-26,2.1028
2015-03-27,2.1172
2015-03-30,2.109
2015-03-31,2.102
2015-04-01,2.1087
2015-04-02,2.1109
2015-04-03,2.1133
2015-04-06,2.1083
2015-04-07,2.1082
2015-04-08,2.1001
2015-04-09,2.0924
2015-04-10,2.0971
2015-04-13,2.0988
2015-04-14,2.0983
2015-04-15,2.107
2015-04-16,2.1125
2015-04-17,2.1124
2015-04-20,2.1046
2015-04-21,2.1099
2015-04-22,2.1017
2015-04-23,2.1149
2015-04-24,2.114
2015-04-27,2.1199
2015-04-28,2.1281
2015-04-29,2.1374
2015-04-30,2.1508
2015-05-01,2.1396
2015-05-04,2.132
2015-05-05,2.1477
2015-05-06,2.1616
2015-05-07,2.1428
2015-05-08,2.1461
2015-05-11,2.1518
2015-05-12,2.1558
2015-05-13,2.1671
2015-05-14,2.1777
2015-05-15,2.1945
2015-05-18,2.1572
2015-05-19,2.1571
2015-05-20,2.1602
2015-05-21,2.1564
2015-05-22,2.1484
2015-05-25,2.1415
2015-05-26,2.141
2015-05-27,2.1486
2015-05-28,2.1549
2015-05-29,2.1509
2015-06-01,2.1419
2015-06-02,2.1663
2015-06-03,2.1902
2015-06-04,2.1609
2015-06-05,2.1626
2015-06-08,2.1824
2015-06-09,2.1857
2015-06-10,2.1871
