date,exchange_rate
2014-11-24,2.4736
2014-11-25,2.3953
2014-11-26,2.5
2014-11-27,2.4927
2014-11-28,2.4844
2014-12-01,2.3893
2014-12-02,2.3812
2014-12-03,2.4506
2014-12-04,2.4646
2014-12-05,2.4455
2014-12-08,2.4519
2014-12-09,2.4691
2014-12-10,2.4836
2014-12-11,2.4693
2014-12-12,2.5087
2014-12-15,2.5047
2014-12-16,2.529
2014-12-17,2.4933
2014-12-18,2.4833
2014-12-19,2.4807
2014-12-22,2.4799
2014-12-23,2.4235
2014-12-24,2.4289
2014-12-25,2.4342
2014-12-26,2.4256
2014-12-29,2.4665
2014-12-30,2.4596
2014-12-31,2.4477
2015-01-01,2.4485
2015-01-02,2.4282
2015-01-05,2.3997
2015-01-06,2.402
2015-01-07,2.3947
2015-01-08,2.3846
2015-01-09,2.4037
2015-01-12,2.4024
2015-01-13,2.3908
2015-01-14,2.4033
2015-01-15,2.3709
2015-01-16,2.359
2015-01-19,2.3253
2015-01-20,2.3258
2015-01-21,2.3569
2015-01-22,2.3149
2015-01-23,2.2717
2015-01-26,2.3004
2015-01-27,2.3245
2015-01-28,2.2987
2015-01-29,2.3108
2015-01-30,2.3027
2015-02-02,2.3581
2015-02-03,2.3572
2015-02-04,2.3289
2015-02-05,2.3941
2015-02-06,2.3185
2015-02-09,2.3267
2015-02-10,2.3169
2015-02-11,2.3469
2015-02-12,2.3491
2015-02-13,2.3319
2015-02-16,2.3234
2015-02-17,2.3348
2015-02-18,2.3619
2015-02-19,2.3349
2015-02-20,2.3242
2015-02-23,2.3105
2015-02-24,2.3152
2015-02-25,2.3198
2015-02-26,2.2916
2015-02-27,2.2911
2015-03-02,2.2902
2015-03-03,2.2879
2015-03-04,2.2694
2015-03-05,2.2586
2015-03-06,2.2215
2015-03-09,2.2536
2015-03-10,2.2204
2015-03-11,2.1911
2015-03-12,2.2067
2015-03-13,2.1869
2015-03-16,2.2002
2015-03-17,2.2057
2015-03-18,2.255
2015-03-19,2.203
2015-03-20,2.2333
2015-03-23,2.2632
2015-03-24,2.2541
2015-03-25,2.2643
2015-03-26,2.244
2015-03-27,2.2502
2015-03-30,2.2365
2015-03-31,2.2171
2015-04-01,2.2241
2015-04-02,2.2459
2015-04-03,2.2667
2015-04-06,2.2573
2015-04-07,2.235
2015-04-08,2.227
2015-04-09,2.192
2015-04-10,2.1889
2015-04-13,2.1826
2015-04-14,2.1992
2015-04-15,2.2048
2015-04-16,2.2209
2015-04-17,2.2314
2015-04-20,2.217
2015-04-21,2.2174
2015-04-22,2.2134
2015-04-23,2.2332
2015-04-24,2.242
2015-04-27,2.2462
2015-04-28,2.2661
2015-04-29,2.2954
2015-04-30,2.3184
2015-05-01,2.3128
2015-05-04,2.3001
2015-05-05,2.3078
2015-05-06,2.3409
2015-05-07,2.3247
2015-05-08,2.3115
2015-05-11,2.3025
2015-05-12,2.3146
2015-05-13,2.345
2015-05-14,2.3547
2015-05-15,2.3647
2015-05-18,2.3366
2015-05-19,2.3011
2015-05-20,2.2915
2015-05-21,2.2932
2015-05-22,2.2751
2015-05-25,2.2677
2015-05-26,2.274
2015-05-27,2.2897
2015-05-28,2.2652
2015-05-29,2.2693
2015-06-01,2.2562
2015-06-02,2.3797
2015-06-03,2.3749
2015-06-04,2.3918
2015-06-05,2.3734
2015-06-08,2.4142
2015-06-09,2.3912
2015-06-10,2.4174
2015-06-11,2.4009
2015-06-12,2.4045
2015-06-15,2.4076
2015-06-16,2.4019
2015-06-17,2.4203
2015-06-18,2.4131
2015-06-19,2.4083
2015-06-22,2.4071
2015-06-23,2.3708
2015-06-24,2.4233
2015-06-25,2.4225
2015-06-26,2.415
2015-06-29,2.4247
2015-06-30,2.4092
2015-07-01,2.3906
2015-07-02,2.3975
2015-07-03,2.4046
2015-07-06,2.3905
2015-07-07,2.3799
2015-07-08,2.4362
2015-07-09,2.4076
2015-07-10,2.428
2015-07-13,2.4178
2015-07-14,2.3985
2015-07-15,2.3843
2015-07-16,2.3947
2015-07-17,2.3844
2015-07-20,2.4047
2015-07-21,2.4291
2015-07-22,2.427
2015-07-23,2.44
2015-07-24,2.4364
2015-07-27,2.4627
2015-07-28,2.4572
2015-07-29,2.4401
2015-07-30,2.4281
2015-07-31,2.4384
2015-08-03,2.4322
2015-08-04,2.4176
2015-08-05,2.4209
2015-08-06,2.4268
2015-08-07,2.433
2015-08-10,2.4473
2015-08-11,2.4519
2015-08-12,2.485
2015-08-13,2.4757
2015-08-14,2.4674
2015-08-17,2.4598
2015-08-18,2.448
2015-08-19,2.469
2015-08-20,2.4947
