date,exchange_rate
2014-11-24,2.7737
2014-11-25,2.7675
2014-11-26,2.765
2014-11-27,2.7494
2014-11-28,2.7636
2014-12-01,2.7609
2014-12-02,2.7616
2014-12-03,2.7558
2014-12-04,2.7646
2014-12-05,2.7762
2014-12-08,2.7932
2014-12-09,2.8033
2014-12-10,2.8209
2014-12-11,2.8262
2014-12-12,2.8639
2014-12-15,2.9335
2014-12-16,2.9527
2014-12-17,2.8819
2014-12-18,2.8515
2014-12-19,2.8273
2014-12-22,2.8313
2014-12-23,2.8254
2014-12-24,2.8258
2014-12-25,2.831
2014-12-26,2.8229
2014-12-29,2.8158
2014-12-30,2.8265
2014-12-31,2.8219
2015-01-01,2.8226
2015-01-02,2.8129
2015-01-05,2.7804
2015-01-06,2.7584
2015-01-07,2.7474
2015-01-08,2.7082
2015-01-09,2.714
2015-01-12,2.7016
2015-01-13,2.6857
2015-01-14,2.6899
2015-01-15,2.6768
2015-01-16,2.6899
2015-01-19,2.7029
2015-01-20,2.7092
2015-01-21,2.725
2015-01-22,2.6426
2015-01-23,2.6323
2015-01-26,2.6466
2015-01-27,2.6849
2015-01-28,2.6939
2015-01-29,2.7346
2015-01-30,2.7551
2015-02-02,2.7551
2015-02-03,2.7495
2015-02-04,2.7867
2015-02-05,2.7972
2015-02-06,2.7848
2015-02-09,2.801
2015-02-10,2.8243
2015-02-11,2.8287
2015-02-12,2.8093
2015-02-13,2.7954
2015-02-16,2.7864
2015-02-17,2.7957
2015-02-18,2.7873
2015-02-19,2.7831
2015-02-20,2.799
2015-02-23,2.8039
2015-02-24,2.7931
2015-02-25,2.827
2015-02-26,2.8033
2015-02-27,2.8055
2015-03-02,2.8121
2015-03-03,2.8295
2015-03-04,2.8386
2015-03-05,2.8724
2015-03-06,2.8455
2015-03-09,2.821
2015-03-10,2.8171
2015-03-11,2.7549
2015-03-12,2.7457
2015-03-13,2.7521
2015-03-16,2.7757
2015-03-17,2.7662
2015-03-18,2.7855
2015-03-19,2.7767
2015-03-20,2.7816
2015-03-23,2.7846
2015-03-24,2.7881
2015-03-25,2.8354
2015-03-26,2.8271
2015-03-27,2.8419
2015-03-30,2.819
2015-03-31,2.7918
2015-04-01,2.8005
2015-04-02,2.8167
2015-04-03,2.8197
2015-04-06,2.8115
2015-04-07,2.8159
2015-04-08,2.8025
2015-04-09,2.7921
2015-04-10,2.7852
2015-04-13,2.8218
2015-04-14,2.8618
2015-04-15,2.881
2015-04-16,2.8845
2015-04-17,2.8937
2015-04-20,2.8968
2015-04-21,2.8824
2015-04-22,2.9084
2015-04-23,2.9243
2015-04-24,2.9506
2015-04-27,2.9131
2015-04-28,2.9188
2015-04-29,2.9541
2015-04-30,2.9983
2015-05-01,3.0304
2015-05-04,3.0232
2015-05-05,3.0261
2015-05-06,3.0573
2015-05-07,3.0233
2015-05-08,2.9959
2015-05-11,3.0018
2015-05-12,2.9846
2015-05-13,2.988
2015-05-14,2.9549
2015-05-15,2.947
2015-05-18,2.9211
2015-05-19,2.8906
2015-05-20,2.863
2015-05-21,2.8774
2015-05-22,2.8598
2015-05-25,2.871
2015-05-26,2.8732
2015-05-27,2.8826
2015-05-28,2.9138
2015-05-29,2.9259
2015-06-01,2.9314
2015-06-02,2.9795
2015-06-03,3.0263
2015-06-04,2.987
2015-06-05,2.9676
2015-06-08,3.1028
2015-06-09,3.1024
2015-06-10,3.0961
2015-06-11,3.0347
2015-06-12,3.0559
2015-06-15,3.0849
2015-06-16,3.0731
2015-06-17,3.075
2015-06-18,3.0891
2015-06-19,3.0671
2015-06-22,3.024
2015-06-23,2.9873
2015-06-24,3.0015
2015-06-25,2.9731
2015-06-26,2.9743
2015-06-29,3.0316
2015-06-30,2.9832
2015-07-01,2.9725
2015-07-02,2.9744
2015-07-03,2.9917
2015-07-06,2.9625
2015-07-07,2.9537
2015-07-08,2.9741
2015-07-09,2.9602
2015-07-10,2.9675
2015-07-13,2.9116
2015-07-14,2.8983
2015-07-15,2.8999
2015-07-16,2.8912
2015-07-17,2.8715
2015-07-20,2.918
2015-07-21,2.9348
2015-07-22,2.9581
2015-07-23,3.0025
2015-07-24,3.0055
2015-07-27,3.0719
2015-07-28,3.0509
2015-07-29,3.0368
2015-07-30,3.041
2015-07-31,3.039
2015-08-03,3.0396
2015-08-04,3.0257
2015-08-05,3.0384
2015-08-06,3.0316
2015-08-07,3.0486
2015-08-10,3.0465
2015-08-11,3.0689
2015-08-12,3.0997
2015-08-13,3.1437
2015-08-14,3.1476
2015-08-17,3.1732
2015-08-18,3.1898
2015-08-19,3.2525
2015-08-20,3.2702
2015-08-21,3.3228
2015-08-24,3.4143
2015-08-25,3.3949
2015-08-26,3.3205
2015-08-27,3.2715
2015-08-28,3.2576
2015-08-31,3.2719
2015-09-01,3.3113
2015-09-02,3.3044
2015-09-03,3.3021
2015-09-04,3.3564
2015-09-07,3.3824
2015-09-08,3.3726
2015-09-09,3.418
2015-09-10,3.4055
2015-09-11,3.4698
2015-09-14,3.4577
2015-09-15,3.414
2015-09-16,3.3858
2015-09-17,3.4329
2015-09-18,3.399
2015-09-21,3.3594
2015-09-22,3.3727
2015-09-23,3.4007
2015-09-24,3.4064
2015-09-25,3.4056
2015-09-28,3.4284
2015-09-29,3.4194
2015-09-30,3.38
2015-10-01,3.384
2015-10-02,3.3578
2015-10-05,3.337
2015-10-06,3.3321
2015-10-07,3.306
2015-10-08,3.2648
2015-10-09,3.3135
2015-10-12,3.3247
2015-10-13,3.3707
2015-10-14,3.3438
2015-10-15,3.278
2015-10-16,3.2806
2015-10-19,3.2911
2015-10-20,3.2939
2015-10-21,3.2841
2015-10-22,3.1905
2015-10-23,3.2028
2015-10-26,3.1953
2015-10-27,3.2048
2015-10-28,3.1939
2015-10-29,3.2308
2015-10-30,3.2096
2015-11-02,3.1081
2015-11-03,3.1006
2015-11-04,3.1114
2015-11-05,3.1104
2015-11-06,3.1352
2015-11-09,3.1396
2015-11-10,3.1243
2015-11-11,3.0925
2015-11-12,3.0961
2015-11-13,3.0844
2015-11-16,3.0791
2015-11-17,3.0543
2015-11-18,3.0523
2015-11-19,3.0504
2015-11-20,3.0078
2015-11-23,3.031
2015-11-24,3.0627
2015-11-25,3.0654
2015-11-26,3.099
2015-11-27,3.0736
2015-11-30,3.0771
2015-12-01,3.069
2015-12-02,3.066
2015-12-03,3.1526
2015-12-04,3.141
2015-12-07,3.1532
2015-12-08,3.1659
2015-12-09,3.2086
2015-12-10,3.1985
2015-12-11,3.2732
2015-12-14,3.2812
2015-12-15,3.2387
2015-12-16,3.1945
2015-12-17,3.1673
2015-12-18,3.1567
2015-12-21,3.174
2015-12-22,3.2123
2015-12-23,3.1813
2015-12-24,3.2016
2015-12-25,3.2039
2015-12-28,3.1873
2015-12-29,3.1752
2015-12-30,3.1895
2015-12-31,3.1668
2016-01-01,3.1677
2016-01-04,3.211
2016-01-05,3.2098
2016-01-06,3.235
2016-01-07,3.2774
2016-01-08,3.2874
2016-01-11,3.2974
2016-01-12,3.2886
2016-01-13,3.2984
2016-01-14,3.2804
2016-01-15,3.3228
2016-01-18,3.3054
2016-01-19,3.3167
2016-01-20,3.3126
2016-01-21,3.2735
2016-01-22,3.2358
2016-01-25,3.2788
2016-01-26,3.2692
2016-01-27,3.2745
2016-01-28,3.2485
2016-01-29,3.2019
2016-02-01,3.2048
2016-02-02,3.2232
2016-02-03,3.231
2016-02-04,3.2616
2016-02-05,3.2478
2016-02-08,3.2989
2016-02-09,3.3175
2016-02-10,3.2944
2016-02-11,3.3161
2016-02-12,3.2967
2016-02-15,3.2898
2016-02-16,3.3145
2016-02-17,3.289
2016-02-18,3.2958
2016-02-19,3.2862
2016-02-22,3.2377
2016-02-23,3.2414
2016-02-24,3.2368
2016-02-25,3.2252
2016-02-26,3.2633
2016-02-29,3.2266
2016-03-01,3.1881
2016-03-02,3.1821
2016-03-03,3.186
2016-03-04,3.1969
2016-03-07,3.2118
2016-03-08,3.2046
2016-03-09,3.1806
2016-03-10,3.2311
2016-03-11,3.2018
2016-03-14,3.186
2016-03-15,3.2181
2016-03-16,3.2192
2016-03-17,3.2159
2016-03-18,3.2365
2016-03-21,3.216
2016-03-22,3.22
2016-03-23,3.2189
2016-03-24,3.2136
2016-03-25,3.21
2016-03-28,3.2121
2016-03-29,3.2046
2016-03-30,3.2139
2016-03-31,3.207
2016-04-01,3.2178
2016-04-04,3.2019
2016-04-05,3.2233
2016-04-06,3.2389
2016-04-07,3.2574
2016-04-08,3.2474
2016-04-11,3.2286
2016-04-12,3.2274
2016-04-13,3.2123
2016-04-14,3.2116
2016-04-15,3.2162
2016-04-18,3.2105
2016-04-19,3.2144
2016-04-20,3.1804
2016-04-21,3.1968
2016-04-22,3.1951
2016-04-25,3.2049
2016-04-26,3.1877
2016-04-27,3.194
2016-04-28,3.1941
2016-04-29,3.1965
2016-05-02,3.2324
2016-05-03,3.2734
2016-05-04,3.3962
2016-05-05,3.3385
2016-05-06,3.3461
2016-05-09,3.3472
2016-05-10,3.3546
2016-05-11,3.3759
2016-05-12,3.3708
2016-05-13,3.3581
2016-05-16,3.3674
2016-05-17,3.356
2016-05-18,3.3542
2016-05-19,3.349
2016-05-20,3.3437
2016-05-23,3.3597
2016-05-24,3.2851
2016-05-25,3.2824
2016-05-26,3.2857
2016-05-27,3.2882
2016-05-30,3.2917
2016-05-31,3.2805
2016-06-01,3.2929
2016-06-02,3.2888
2016-06-03,3.2985
2016-06-06,3.2994
2016-06-07,3.2888
