date,exchange_rate
2014-11-24,7.8968
2014-11-25,7.9184
2014-11-26,7.9441
2014-11-27,7.9209
2014-11-28,7.8946
2014-12-01,7.9072
2014-12-02,7.8743
2014-12-03,7.8341
2014-12-04,7.879
2014-12-05,7.8094
2014-12-08,7.8024
2014-12-09,7.8584
2014-12-10,7.9205
2014-12-11,7.8757
2014-12-12,7.9439
2014-12-15,7.9084
2014-12-16,7.953
2014-12-17,7.7994
2014-12-18,7.8249
2014-12-19,7.7714
2014-12-22,7.7549
2014-12-23,7.7466
2014-12-24,7.7839
2014-12-25,7.8007
2014-12-26,7.7733
2014-12-29,7.7658
2014-12-30,7.7361
2014-12-31,7.6989
2015-01-01,7.7014
2015-01-02,7.6648
2015-01-05,7.5462
2015-01-06,7.5459
2015-01-07,7.5009
2015-01-08,7.456
2015-01-09,7.5167
2015-01-12,7.533
2015-01-13,7.4965
2015-01-14,7.5191
2015-01-15,7.429
2015-01-16,7.3931
2015-01-19,7.3756
2015-01-20,7.3404
2015-01-21,7.3601
2015-01-22,7.1922
2015-01-23,7.0792
2015-01-26,7.1444
2015-01-27,7.2297
2015-01-28,7.1607
2015-01-29,7.1854
2015-01-30,7.1381
2015-02-02,7.1818
2015-02-03,7.2789
2015-02-04,7.1905
2015-02-05,7.2485
2015-02-06,7.1861
2015-02-09,7.1786
2015-02-10,7.1705
2015-02-11,7.1697
2015-02-12,7.2241
2015-02-13,7.2423
2015-02-16,7.2118
2015-02-17,7.2501
2015-02-18,7.244
2015-02-19,7.2205
2015-02-20,7.2126
2015-02-23,7.1843
2015-02-24,7.1706
2015-02-25,7.1963
2015-02-26,7.1064
2015-02-27,7.1051
2015-03-02,7.1049
2015-03-03,7.0628
2015-03-04,7.044
2015-03-05,6.984
2015-03-06,6.8831
2015-03-09,6.9014
2015-03-10,6.7525
2015-03-11,6.7077
2015-03-12,6.7631
2015-03-13,6.6751
2015-03-16,6.6963
2015-03-17,6.7203
2015-03-18,6.8812
2015-03-19,6.761
2015-03-20,6.8616
2015-03-23,6.9738
2015-03-24,6.9156
2015-03-25,6.9508
2015-03-26,6.9149
2015-03-27,6.9418
2015-03-30,6.9063
2015-03-31,6.8491
2015-04-01,6.8694
2015-04-02,6.8687
2015-04-03,6.9322
2015-04-06,6.9048
2015-04-07,6.8348
2015-04-08,6.8097
2015-04-09,6.7803
2015-04-10,6.7354
2015-04-13,6.7172
2015-04-14,6.7693
2015-04-15,6.7927
2015-04-16,6.8496
2015-04-17,6.8789
2015-04-20,6.8048
2015-04-21,6.7898
2015-04-22,6.7885
2015-04-23,6.8579
2015-04-24,6.8834
2015-04-27,6.8822
2015-04-28,6.9445
2015-04-29,7.0425
2015-04-30,7.1344
2015-05-01,7.1073
2015-05-04,7.0729
2015-05-05,7.0951
2015-05-06,7.1862
2015-05-07,7.1429
2015-05-08,7.1093
2015-05-11,7.0423
2015-05-12,7.0835
2015-05-13,7.1715
2015-05-14,7.2691
2015-05-15,7.2914
2015-05-18,7.1725
2015-05-19,7.064
2015-05-20,7.0584
2015-05-21,7.0648
2015-05-22,7.0045
2015-05-25,6.982
2015-05-26,6.8883
2015-05-27,6.9006
2015-05-28,6.9487
2015-05-29,6.9827
2015-06-01,6.9305
2015-06-02,7.072
2015-06-03,7.1491
2015-06-04,7.1073
2015-06-05,7.0472
2015-06-08,7.2151
2015-06-09,7.2097
2015-06-10,7.2172
2015-06-11,7.1605
2015-06-12,7.1766
2015-06-15,7.1876
2015-06-16,7.1793
2015-06-17,7.2466
2015-06-18,7.2703
2015-06-19,7.2585
2015-06-22,7.2521
2015-06-23,7.1524
2015-06-24,7.1726
2015-06-25,7.1733
2015-06-26,7.147
2015-06-29,7.1815
2015-06-30,7.12
2015-07-01,7.0664
2015-07-02,7.0743
2015-07-03,7.1078
2015-07-06,7.066
2015-07-07,7.0238
2015-07-08,7.0685
2015-07-09,7.0579
2015-07-10,7.1191
2015-07-13,7.0258
2015-07-14,7.0422
2015-07-15,7.013
2015-07-16,6.9761
2015-07-17,6.9355
2015-07-20,6.9316
2015-07-21,6.9923
2015-07-22,6.9747
2015-07-23,7.0126
2015-07-24,7.0065
2015-07-27,7.0776
2015-07-28,7.0597
2015-07-29,7.0118
2015-07-30,6.9198
2015-07-31,6.9732
2015-08-03,6.9572
2015-08-04,6.8849
2015-08-05,6.8898
2015-08-06,6.9053
2015-08-07,6.9253
2015-08-10,6.9619
2015-08-11,6.9904
2015-08-12,7.0806
2015-08-13,7.0641
2015-08-14,7.0614
2015-08-17,7.0388
2015-08-18,7.0066
2015-08-19,7.0285
2015-08-20,7.1042
2015-08-21,7.2179
2015-08-24,7.3106
2015-08-25,7.3042
2015-08-26,7.1759
2015-08-27,7.1224
2015-08-28,7.1025
2015-08-31,7.1215
2015-09-01,7.1805
2015-09-02,7.1255
2015-09-03,7.0642
2015-09-04,7.0832
2015-09-07,7.0951
2015-09-08,7.0842
2015-09-09,7.0912
2015-09-10,7.1362
2015-09-11,7.2002
2015-09-14,7.1811
2015-09-15,7.1392
2015-09-16,7.1539
2015-09-17,7.2501
2015-09-18,7.1841
2015-09-21,7.1048
2015-09-22,7.0402
2015-09-23,7.0787
