date,exchange_rate
2014-11-24,38.585
2014-11-25,38.637
2014-11-26,38.689
2014-11-27,38.576
2014-11-28,38.629
2014-12-01,38.76
2014-12-02,38.565
2014-12-03,38.358
2014-12-04,38.578
2014-12-05,38.42
2014-12-08,38.396
2014-12-09,38.606
2014-12-10,38.865
2014-12-11,38.736
2014-12-12,39.031
2014-12-15,38.987
2014-12-16,39.119
2014-12-17,38.658
2014-12-18,38.627
2014-12-19,38.527
2014-12-22,38.668
2014-12-23,38.658
2014-12-24,38.848
2014-12-25,38.932
2014-12-26,38.795
2014-12-29,38.679
2014-12-30,38.572
2014-12-31,38.386
2015-01-01,38.399
2015-01-02,38.151
2015-01-05,38.232
2015-01-06,38.008
2015-01-07,37.915
2015-01-08,37.749
2015-01-09,37.833
2015-01-12,37.774
2015-01-13,37.535
2015-01-14,37.502
2015-01-15,36.862
2015-01-16,36.473
2015-01-19,36.594
2015-01-20,36.618
2015-01-21,36.584
2015-01-22,35.629
2015-01-23,35.045
2015-01-26,35.187
2015-01-27,35.38
2015-01-28,35.197
2015-01-29,35.792
2015-01-30,35.803
2015-02-02,35.832
2015-02-03,36.185
2015-02-04,35.668
2015-02-05,36.213
2015-02-06,35.737
2015-02-09,35.801
2015-02-10,35.732
2015-02-11,35.839
2015-02-12,35.77
2015-02-13,35.719
2015-02-16,35.688
2015-02-17,36.043
2015-02-18,36.144
2015-02-19,36.032
2015-02-20,36.183
2015-02-23,36.006
2015-02-24,35.915
2015-02-25,35.799
2015-02-26,35.126
2015-02-27,35.119
2015-03-02,35.145
2015-03-03,35.02
2015-03-04,34.82
2015-03-05,34.734
2015-03-06,34.271
2015-03-09,34.223
2015-03-10,33.908
2015-03-11,33.428
2015-03-12,33.549
2015-03-13,33.288
2015-03-16,33.507
2015-03-17,33.442
2015-03-18,33.94
2015-03-19,33.599
2015-03-20,33.969
2015-03-23,34.369
2015-03-24,34.07
2015-03-25,34.297
2015-03-26,33.967
2015-03-27,33.992
2015-03-30,33.897
2015-03-31,33.584
2015-04-01,33.703
2015-04-02,33.807
2015-04-03,33.95
2015-04-06,33.834
2015-04-07,33.64
2015-04-08,33.525
2015-04-09,33.265
2015-04-10,33.114
2015-04-13,33.12
2015-04-14,33.265
2015-04-15,33.38
2015-04-16,33.52
2015-04-17,33.533
2015-04-20,33.397
2015-04-21,33.37
2015-04-22,33.297
2015-04-23,33.556
2015-04-24,33.447
2015-04-27,33.257
2015-04-28,33.492
2015-04-29,33.896
2015-04-30,34.439
2015-05-01,34.365
2015-05-04,34.26
2015-05-05,34.368
2015-05-06,34.75
2015-05-07,34.686
2015-05-08,34.365
2015-05-11,34.33
2015-05-12,34.537
2015-05-13,34.827
2015-05-14,34.831
2015-05-15,34.913
2015-05-18,34.494
2015-05-19,33.971
2015-05-20,33.939
2015-05-21,33.827
2015-05-22,33.566
2015-05-25,33.457
2015-05-26,33.408
2015-05-27,33.493
2015-05-28,33.654
2015-05-29,33.892
2015-06-01,33.694
2015-06-02,34.424
2015-06-03,34.778
2015-06-04,34.659
2015-06-05,34.548
2015-06-08,35.163
2015-06-09,35.061
2015-06-10,35.035
2015-06-11,34.821
2015-06-12,34.857
2015-06-15,34.922
2015-06-16,34.791
2015-06-17,35.093
2015-06-18,34.921
2015-06-19,34.958
2015-06-22,34.907
2015-06-23,34.524
2015-06-24,34.651
2015-06-25,34.704
2015-06-26,34.635
2015-06-29,34.699
2015-06-30,34.438
2015-07-01,34.207
2015-07-02,34.266
2015-07-03,34.407
2015-07-06,34.224
2015-07-07,34.23
2015-07-08,34.375
2015-07-09,34.335
2015-07-10,34.583
2015-07-13,34.353
2015-07-14,34.194
2015-07-15,34.043
2015-07-16,33.903
2015-07-17,33.721
2015-07-20,33.864
2015-07-21,34.152
2015-07-22,34.168
2015-07-23,34.293
2015-07-24,34.619
2015-07-27,35.066
2015-07-28,34.784
2015-07-29,34.561
2015-07-30,34.549
2015-07-31,34.701
2015-08-03,34.757
2015-08-04,34.426
2015-08-05,34.556
2015-08-06,34.608
2015-08-07,34.797
2015-08-10,34.856
2015-08-11,35.503
2015-08-12,35.896
2015-08-13,35.973
2015-08-14,35.73
2015-08-17,35.994
2015-08-18,35.819
2015-08-19,36.123
2015-08-20,36.667
2015-08-21,37.22
2015-08-24,38.262
2015-08-25,37.388
2015-08-26,36.791
2015-08-27,36.301
2015-08-28,36.192
2015-08-31,36.482
2015-09-01,36.705
2015-09-02,36.477
2015-09-03,36.216
2015-09-04,36.433
2015-09-07,36.494
2015-09-08,36.527
2015-09-09,36.506
2015-09-10,36.604
2015-09-11,36.916
2015-09-14,36.817
2015-09-15,36.659
2015-09-16,36.703
2015-09-17,37.07
2015-09-18,36.539
2015-09-21,36.549
2015-09-22,36.628
2015-09-23,36.85
2015-09-24,37.106
2015-09-25,36.965
2015-09-28,37.325
2015-09-29,37.204
2015-09-30,36.84
2015-10-01,36.739
2015-10-02,36.908
2015-10-05,36.371
2015-10-06,36.814
2015-10-07,36.409
2015-10-08,36.797
2015-10-09,36.645
2015-10-12,36.722
2015-10-13,36.993
2015-10-14,37.207
2015-10-15,36.441
2015-10-16,36.673
2015-10-19,36.72
