date,exchange_rate
2014-11-24,2156.5
2014-11-25,2164.89
2014-11-26,2174.11
2014-11-27,2167.78
2014-11-28,2164.83
2014-12-01,2170.79
2014-12-02,2159.08
2014-12-03,2148.25
2014-12-04,2160.58
2014-12-05,2141.37
2014-12-08,2140.79
2014-12-09,2162.65
2014-12-10,2163.73
2014-12-11,2152.27
2014-12-12,2145.21
2014-12-15,2139.29
2014-12-16,2147.55
2014-12-17,2110.68
2014-12-18,2098.94
2014-12-19,2064.71
2014-12-22,2070.56
2014-12-23,2080.7
2014-12-24,2096.37
2014-12-25,2100.89
2014-12-26,2093.52
2014-12-29,2107.6
2014-12-30,2110.85
2014-12-31,2100.68
2015-01-01,2101.37
2015-01-02,2077.55
2015-01-05,2062.44
2015-01-06,2056.74
2015-01-07,2053.98
2015-01-08,2055.23
2015-01-09,2064.12
2015-01-12,2060.65
2015-01-13,2058.91
2015-01-14,2061.3
2015-01-15,2056.75
2015-01-16,2051.81
2015-01-19,2076.2
2015-01-20,2072.05
2015-01-21,2111.11
2015-01-22,2066.03
2015-01-23,2043.26
2015-01-26,2047.86
2015-01-27,2068.05
2015-01-28,2045.58
2015-01-29,2020.03
2015-01-30,2001.62
2015-02-02,2004.34
2015-02-03,2074.04
2015-02-04,2057.0
2015-02-05,2092.14
2015-02-06,2068.5
2015-02-09,2070.77
2015-02-10,2055.97
2015-02-11,2073.83
2015-02-12,2078.52
2015-02-13,2075.25
2015-02-16,2064.14
2015-02-17,2080.8
2015-02-18,2096.2
2015-02-19,2089.37
2015-02-20,2086.96
2015-02-23,2070.94
2015-02-24,2053.91
2015-02-25,2054.6
2015-02-26,2047.04
2015-02-27,2046.65
2015-03-02,2044.57
2015-03-03,2049.39
2015-03-04,2034.88
2015-03-05,2028.2
2015-03-06,1989.08
2015-03-09,1983.05
2015-03-10,1959.98
2015-03-11,1931.19
2015-03-12,1954.94
2015-03-13,1944.55
2015-03-16,1952.5
2015-03-17,1968.67
2015-03-18,2007.22
2015-03-19,1977.29
2015-03-20,2004.48
2015-03-23,2018.19
2015-03-24,2005.97
2015-03-25,2015.8
2015-03-26,2001.15
2015-03-27,2008.78
2015-03-30,1996.14
2015-03-31,1979.59
2015-04-01,1996.23
2015-04-02,2015.77
2015-04-03,2032.23
2015-04-06,2026.45
2015-04-07,2005.99
2015-04-08,1998.78
2015-04-09,1976.78
2015-04-10,1964.69
2015-04-13,1966.77
2015-04-14,1993.91
2015-04-15,2010.93
2015-04-16,2015.7
2015-04-17,2040.59
2015-04-20,2033.21
2015-04-21,2043.89
2015-04-22,2062.04
2015-04-23,2070.56
2015-04-24,2105.4
2015-04-27,2146.61
2015-04-28,2177.0
2015-04-29,2204.66
2015-04-30,2236.19
2015-05-01,2230.32
2015-05-04,2210.61
2015-05-05,2211.97
2015-05-06,2246.36
2015-05-07,2236.22
2015-05-08,2218.36
2015-05-11,2222.65
2015-05-12,2246.94
2015-05-13,2284.06
2015-05-14,2292.92
2015-05-15,2303.25
2015-05-18,2289.55
2015-05-19,2260.78
2015-05-20,2258.67
2015-05-21,2269.7
2015-05-22,2258.05
2015-05-25,2250.78
2015-05-26,2246.41
2015-05-27,2271.9
2015-05-28,2296.4
2015-05-29,2290.02
2015-06-01,2309.1
2015-06-02,2384.26
2015-06-03,2421.27
2015-06-04,2412.7
2015-06-05,2409.25
2015-06-08,2450.46
2015-06-09,2454.06
2015-06-10,2472.47
2015-06-11,2463.56
2015-06-12,2481.26
2015-06-15,2490.7
2015-06-16,2500.61
2015-06-17,2531.63
2015-06-18,2585.21
2015-06-19,2598.24
2015-06-22,2592.34
2015-06-23,2600.75
2015-06-24,2608.07
2015-06-25,2557.93
2015-06-26,2415.57
2015-06-29,2213.19
2015-06-30,2219.93
2015-07-01,2203.24
2015-07-02,2231.33
2015-07-03,2216.15
2015-07-06,2457.87
2015-07-07,2446.47
2015-07-08,2481.94
2015-07-09,2472.69
2015-07-10,2423.87
2015-07-13,2235.84
2015-07-14,2234.23
2015-07-15,2347.44
2015-07-16,2342.33
2015-07-17,2348.58
2015-07-20,2320.56
2015-07-21,2333.23
2015-07-22,2307.15
2015-07-23,2277.77
2015-07-24,2275.89
2015-07-27,2307.76
2015-07-28,2315.37
2015-07-29,2316.33
2015-07-30,2309.27
2015-07-31,2332.2
2015-08-03,2325.73
2015-08-04,2301.43
2015-08-05,2298.09
2015-08-06,2299.34
2015-08-07,2299.58
2015-08-10,2317.61
2015-08-11,2322.51
2015-08-12,2365.5
2015-08-13,2373.46
2015-08-14,2353.25
2015-08-17,2335.49
2015-08-18,2335.87
2015-08-19,2360.36
2015-08-20,2391.09
2015-08-21,2430.57
2015-08-24,2470.48
2015-08-25,2465.59
2015-08-26,2434.96
2015-08-27,2409.45
2015-08-28,2390.72
2015-08-31,2402.78
2015-09-01,2424.93
2015-09-02,2409.86
2015-09-03,2389.33
2015-09-04,2392.21
2015-09-07,2396.22
2015-09-08,2432.47
2015-09-09,2432.85
2015-09-10,2440.58
2015-09-11,2458.95
2015-09-14,2461.66
2015-09-15,2461.01
2015-09-16,2465.21
2015-09-17,2482.49
2015-09-18,2452.67
2015-09-21,2427.86
2015-09-22,2407.49
2015-09-23,2420.66
2015-09-24,2417.64
2015-09-25,2415.78
2015-09-28,2424.84
2015-09-29,2428.65
2015-09-30,2411.46
2015-10-01,2423.31
2015-10-02,2430.76
2015-10-05,2431.98
2015-10-06,2446.65
2015-10-07,2437.17
2015-10-08,2447.01
2015-10-09,2466.26
2015-10-12,2465.9
2015-10-13,2479.71
2015-10-14,2498.97
2015-10-15,2483.79
2015-10-16,2477.8
2015-10-19,2488.17
2015-10-20,2512.84
2015-10-21,2504.04
2015-10-22,2418.64
2015-10-23,2389.13
2015-10-26,2397.67
2015-10-27,2404.85
2015-10-28,2379.66
2015-10-29,2393.68
2015-10-30,2387.61
2015-11-02,2388.05
2015-11-03,2374.64
2015-11-04,2342.15
2015-11-05,2344.24
2015-11-06,2301.69
2015-11-09,2297.46
2015-11-10,2304.26
2015-11-11,2314.41
2015-11-12,2327.33
2015-11-13,2314.67
2015-11-16,2299.13
2015-11-17,2290.53
2015-11-18,2295.12
2015-11-19,2316.11
2015-11-20,2302.9
2015-11-23,2300.82
2015-11-24,2305.34
2015-11-25,2298.0
2015-11-26,2294.57
2015-11-27,2291.11
2015-11-30,2286.27
2015-12-01,2296.48
2015-12-02,2289.68
2015-12-03,2364.41
2015-12-04,2349.7
2015-12-07,2341.42
2015-12-08,2352.67
2015-12-09,2379.4
2015-12-10,2360.08
2015-12-11,2371.96
2015-12-14,2373.86
2015-12-15,2359.7
2015-12-16,2354.42
2015-12-17,2333.25
2015-12-18,2320.42
2015-12-21,2323.16
2015-12-22,2328.7
2015-12-23,2332.14
2015-12-24,2344.55
2015-12-25,2347.09
2015-12-28,2352.12
2015-12-29,2351.95
2015-12-30,2355.9
2015-12-31,2342.83
2016-01-01,2341.05
2016-01-04,2340.75
2016-01-05,2342.63
2016-01-06,2353.68
2016-01-07,2389.92
2016-01-08,2390.22
2016-01-11,2359.61
2016-01-12,2359.93
2016-01-13,2362.88
2016-01-14,2362.31
2016-01-15,2373.56
2016-01-18,2373.71
2016-01-19,2382.37
2016-01-20,2377.74
2016-01-21,2379.73
2016-01-22,2362.56
2016-01-25,2373.29
2016-01-26,2377.31
2016-01-27,2384.18
2016-01-28,2391.7
2016-01-29,2366.55
2016-02-01,2377.84
2016-02-02,2382.51
2016-02-03,2419.72
2016-02-04,2445.48
2016-02-05,2435.98
2016-02-08,2445.27
2016-02-09,2465.02
2016-02-10,2462.84
2016-02-11,2470.37
2016-02-12,2457.35
2016-02-15,2440.4
2016-02-16,2436.11
2016-02-17,2431.62
2016-02-18,2428.68
