date,exchange_rate
2014-11-24,18.7415
2014-11-25,18.726
2014-11-26,18.7308
2014-11-27,18.6762
2014-11-28,18.6459
2014-12-01,18.7843
2014-12-02,18.7127
2014-12-03,18.6953
2014-12-04,18.8026
2014-12-05,18.938
2014-12-08,19.1236
2014-12-09,19.2843
2014-12-10,19.4802
2014-12-11,19.4418
2014-12-12,19.5834
2014-12-15,19.6136
2014-12-16,19.7411
2014-12-17,19.4646
2014-12-18,19.3775
2014-12-19,19.2878
2014-12-22,19.3929
2014-12-23,19.0685
2014-12-24,19.2435
2014-12-25,19.285
2014-12-26,19.2174
2014-12-29,19.1778
2014-12-30,19.1738
2014-12-31,19.0815
2015-01-01,19.0877
2015-01-02,18.9258
2015-01-05,18.8208
2015-01-06,18.7385
2015-01-07,18.681
2015-01-08,18.5783
2015-01-09,18.6509
2015-01-12,18.6487
2015-01-13,18.5729
2015-01-14,18.5981
2015-01-15,18.353
2015-01-16,18.2822
2015-01-19,18.356
2015-01-20,18.2682
2015-01-21,18.3401
2015-01-22,17.8701
2015-01-23,17.7006
2015-01-26,17.7802
2015-01-27,18.0869
2015-01-28,17.8956
2015-01-29,17.9793
2015-01-30,18.2413
2015-02-02,18.3053
2015-02-03,18.6319
2015-02-04,18.9802
2015-02-05,27.9406
2015-02-06,21.8416
2015-02-13,29.7323
2015-02-16,29.9836
2015-02-17,30.1428
2015-02-18,30.6996
2015-02-19,30.5996
2015-02-20,31.8884
2015-02-23,31.4928
2015-02-24,37.4453
2015-02-25,32.3847
2015-02-26,32.4018
2015-02-27,30.5185
2015-03-02,29.6488
2015-03-03,26.2842
2015-03-04,24.9585
2015-03-05,25.4011
2015-03-06,24.1655
2015-03-09,24.158
2015-03-10,23.0101
2015-03-11,22.6969
2015-03-12,22.8636
2015-03-13,22.4652
2015-03-16,23.1501
2015-03-17,23.7016
2015-03-18,25.3464
2015-03-19,24.3497
2015-03-20,23.4673
2015-03-23,23.6403
2015-03-24,23.7507
2015-03-26,25.4581
2015-03-27,25.5615
2015-03-30,25.4731
2015-03-31,24.9006
2015-04-01,24.9767
2015-04-02,25.5631
2015-04-03,24.724
2015-04-06,25.6111
2015-04-07,25.4067
2015-04-08,25.3585
2015-04-09,24.8234
2015-04-10,23.7705
2015-04-13,23.7061
2015-04-14,23.9301
2015-04-15,22.7145
2015-04-16,22.4057
2015-04-17,22.5563
2015-04-20,24.5309
2015-04-21,24.4013
2015-04-22,24.2548
2015-04-23,24.4823
2015-04-24,25.0619
2015-04-27,25.121
2015-04-28,24.9422
2015-04-29,22.9248
2015-04-30,23.7206
2015-05-01,23.6583
2015-05-04,23.5439
2015-05-05,23.2825
2015-05-06,23.8474
2015-05-07,23.2234
2015-05-08,23.0569
2015-05-11,22.9958
2015-05-12,23.4676
2015-05-13,23.5333
2015-05-14,23.4653
2015-05-15,24.1891
2015-05-18,24.8643
2015-05-19,23.6834
2015-05-20,23.1637
2015-05-21,23.1858
2015-05-22,22.9659
2015-05-25,22.892
2015-05-26,23.5528
2015-05-27,23.5914
2015-05-28,23.3918
2015-05-29,23.3288
2015-06-01,23.1347
2015-06-02,23.6252
2015-06-03,23.7506
2015-06-04,23.6564
2015-06-05,23.4814
2015-06-08,23.9516
2015-06-09,24.0219
2015-06-10,24.0
2015-06-11,23.77
2015-06-12,23.8216
2015-06-15,24.4446
2015-06-16,24.6012
2015-06-17,24.7382
2015-06-18,24.1918
2015-06-19,24.7789
2015-06-22,24.7551
2015-06-23,24.3767
2015-06-24,23.7733
2015-06-25,24.2014
2015-06-26,23.5215
2015-06-29,23.6628
2015-06-30,23.5245
2015-07-01,23.3366
2015-07-02,23.4049
2015-07-03,23.4734
2015-07-06,23.6224
2015-07-07,23.5074
2015-07-08,23.6512
2015-07-09,24.351
2015-07-10,24.3391
2015-07-13,24.4606
2015-07-14,24.4769
2015-07-15,24.5586
2015-07-16,24.1739
2015-07-17,24.3198
2015-07-20,23.9851
2015-07-21,24.2619
2015-07-22,24.208
2015-07-23,24.4146
2015-07-24,24.2847
2015-07-27,24.5522
2015-07-28,24.6026
2015-07-29,24.3278
2015-07-30,23.0927
2015-07-31,23.4428
2015-08-03,24.2322
2015-08-04,24.2558
2015-08-05,23.8965
2015-08-06,23.2337
2015-08-07,23.2807
2015-08-10,23.5507
2015-08-11,23.871
2015-08-12,23.9228
2015-08-13,24.1138
2015-08-14,24.3524
2015-08-17,24.8393
2015-08-18,24.5055
2015-08-19,23.6347
2015-08-20,25.023
2015-08-21,25.371
2015-08-24,26.2334
2015-08-25,26.0747
2015-08-26,25.2337
2015-08-27,23.7685
2015-08-28,23.7283
2015-08-31,24.8013
2015-09-01,24.8371
2015-09-02,24.9286
2015-09-03,24.6384
2015-09-04,24.7138
2015-09-07,24.7552
2015-09-08,25.3334
2015-09-09,24.8446
2015-09-10,24.53
2015-09-11,24.7256
2015-09-14,24.9559
2015-09-15,23.8098
2015-09-16,24.6408
2015-09-17,24.6764
2015-09-18,24.685
2015-09-21,24.3569
2015-09-22,24.3031
2015-09-23,23.7478
2015-09-24,24.1876
2015-09-25,24.2585
2015-09-28,24.2372
2015-09-29,24.2865
2015-09-30,23.8129
2015-10-01,23.6623
2015-10-02,23.8817
2015-10-05,23.8386
2015-10-06,24.5836
2015-10-07,24.0233
2015-10-08,24.098
2015-10-09,24.7876
2015-10-12,24.6703
2015-10-13,24.7538
2015-10-14,24.6284
2015-10-15,24.8834
2015-10-16,24.256
2015-10-19,24.5872
2015-10-20,25.3078
2015-10-21,25.2558
2015-10-22,24.897
2015-10-23,25.1473
2015-10-26,25.4584
2015-10-27,25.3733
2015-10-28,25.1628
2015-10-29,25.629
2015-10-30,25.6764
2015-11-02,25.4664
2015-11-03,25.5879
2015-11-04,25.1493
2015-11-05,24.7693
2015-11-06,24.3485
2015-11-09,24.7597
2015-11-10,24.3189
2015-11-11,24.6381
2015-11-12,24.9377
2015-11-13,25.0321
2015-11-16,25.1393
2015-11-17,25.0453
2015-11-18,25.4452
2015-11-19,25.5755
2015-11-20,25.6902
2015-11-23,25.5501
2015-11-24,25.4435
2015-11-25,25.3594
2015-11-26,25.3215
