date,exchange_rate
2014-11-07,3373.5
2014-11-10,3359.3999
2014-11-11,3385.3999
2014-11-12,3386.30005
2014-11-13,3429.69995
2014-11-14,3430.6001
2014-11-17,3397.5
2014-11-18,3426.0
2014-11-19,3443.0
2014-11-20,3441.80005
2014-11-21,3407.1001
2014-11-24,3420.0
2014-11-25,3423.1001
2014-11-26,3469.30005
2014-11-27,3459.19995
2014-11-28,3454.5
2014-12-01,3453.80005
2014-12-02,3416.80005
2014-12-03,3389.6001
2014-12-04,3409.1001
2014-12-05,3388.80005
2014-12-08,3397.6001
2014-12-09,3418.30005
2014-12-10,3427.80005
2014-12-11,3396.8999
2014-12-12,3450.69995
2014-12-15,3451.3999
2014-12-16,3483.30005
2014-12-17,3421.19995
2014-12-18,3414.30005
2014-12-19,3392.19995
2014-12-22,3373.5
2014-12-23,3352.19995
2014-12-24,3359.69995
2014-12-25,3367.0
2014-12-26,3355.19995
2014-12-30,3360.0
2014-12-31,3343.80005
2015-01-01,3344.8999
2015-01-02,3314.1001
2015-01-05,3339.8999
2015-01-06,3317.0
2015-01-07,3354.19995
2015-01-08,3362.1001
2015-01-09,3384.8999
2015-01-12,3389.0
2015-01-13,3372.6001
2015-01-14,3406.0
2015-01-15,3360.0
2015-01-16,3336.69995
2015-01-19,3359.6001
2015-01-20,3349.3999
2015-01-21,3370.8999
2015-01-22,3279.0
2015-01-23,3192.3999
2015-01-26,3214.3999
2015-01-27,3234.3999
2015-01-28,3217.5
2015-01-29,3238.19995
2015-01-30,3221.19995
2015-02-02,3251.69995
2015-02-03,3278.8999
2015-02-04,3248.6001
2015-02-05,3291.80005
2015-02-06,3234.30005
2015-02-09,3241.30005
2015-02-10,3239.8999
2015-02-11,3250.5
2015-02-12,3270.30005
2015-02-13,3265.19995
2015-02-16,3245.30005
2015-02-17,3262.5
2015-02-18,3265.5
2015-02-19,3249.19995
2015-02-20,3265.69995
2015-02-23,3258.69995
2015-02-24,3264.30005
2015-02-25,3270.8999
2015-02-26,3223.19995
2015-02-27,3233.69995
2015-03-02,3236.0
2015-03-03,3251.6001
2015-03-04,3245.5
2015-03-05,3247.80005
2015-03-06,3210.1001
2015-03-09,3223.19995
2015-03-10,3200.6001
2015-03-11,3209.69995
2015-03-12,3116.3999
2015-03-13,3060.3999
2015-03-16,3090.19995
2015-03-17,3070.8999
2015-03-18,3128.6001
2015-03-19,3103.30005
2015-03-20,3178.3999
2015-03-23,3246.19995
2015-03-24,3245.0
2015-03-25,3260.8999
2015-03-26,3233.6001
2015-03-27,3235.19995
2015-03-30,3209.3999
2015-03-31,3204.30005
2015-04-01,3219.19995
2015-04-02,3256.19995
2015-04-03,3291.80005
2015-04-06,3278.8999
2015-04-07,3234.8999
2015-04-08,3205.0
2015-04-09,3169.69995
2015-04-10,3152.3999
2015-04-13,3154.3999
2015-04-14,3200.5
2015-04-15,3207.19995
2015-04-16,3226.6001
2015-04-17,3237.30005
2015-04-20,3223.5
2015-04-21,3225.6001
2015-04-22,3221.5
2015-04-23,3245.19995
2015-04-24,3257.19995
2015-04-27,3262.1001
2015-04-28,3291.6001
2015-04-29,3322.30005
2015-04-30,3361.8999
2015-05-01,3353.1001
2015-05-04,3344.69995
2015-05-05,3347.3999
2015-05-06,3401.69995
2015-05-07,3381.69995
2015-05-08,3363.1001
2015-05-11,3343.80005
2015-05-12,3352.19995
2015-05-13,3394.1001
2015-05-14,3414.69995
2015-05-15,3424.8999
2015-05-18,3393.3999
2015-05-19,3342.5
2015-05-20,3311.19995
2015-05-21,3314.3999
2015-05-22,3308.1001
2015-05-25,3297.3999
2015-05-26,3286.6001
2015-05-27,3313.80005
2015-05-28,3344.5
2015-05-29,3362.19995
2015-06-01,3353.0
2015-06-02,3438.5
2015-06-03,3475.6001
2015-06-04,3444.0
2015-06-05,3420.8999
2015-06-08,3502.80005
2015-06-09,3499.8999
2015-06-10,3535.19995
2015-06-11,3551.19995
2015-06-12,3560.6001
2015-06-15,3588.6001
2015-06-16,3577.5
2015-06-17,3665.69995
2015-06-18,3725.19995
2015-06-19,3728.5
2015-06-22,3734.0
2015-06-23,3690.3999
2015-06-24,3678.30005
2015-06-25,3665.30005
2015-06-26,3622.0
2015-06-29,3688.6001
2015-06-30,3677.1001
2015-07-01,3646.19995
2015-07-02,3672.6001
2015-07-03,3667.5
2015-07-06,3796.0
2015-07-07,3822.4
2015-07-08,3935.3
2015-07-09,3824.4
2015-07-10,3612.2
2015-07-13,3601.2
2015-07-14,3644.6
2015-07-15,3640.3
2015-07-16,3610.1
2015-07-17,3597.9
2015-07-20,3562.9
2015-07-21,3600.2
2015-07-22,3593.8
2015-07-23,3649.3
2015-07-24,3670.5
2015-07-27,3735.3
2015-07-28,3764.8
2015-07-29,3739.6
2015-07-30,3729.9
2015-07-31,3766.1
2015-08-03,3777.5
2015-08-04,3780.8
2015-08-05,3806.0
2015-08-06,3837.2
2015-08-07,3861.7
2015-08-10,3891.6
2015-08-11,3907.5
2015-08-12,3953.6
2015-08-13,3951.9
2015-08-14,3936.8
2015-08-17,3920.1
2015-08-18,3913.2
2015-08-19,3956.0
2015-08-20,4012.7
2015-08-21,4111.6
2015-08-24,4217.4
2015-08-25,3978.5
2015-08-26,4022.3
2015-08-27,4015.3
2015-08-28,4073.9
2015-08-31,4107.3
2015-09-01,4149.2
2015-09-02,4115.4
2015-09-03,4080.3
2015-09-04,4085.4
2015-09-07,4092.2
2015-09-08,4100.7
2015-09-09,4105.1
2015-09-10,4134.9
2015-09-11,4152.6
2015-09-14,4147.5
2015-09-15,4124.1
2015-09-16,4123.3
2015-09-17,4170.1
2015-09-18,4127.3
2015-09-21,4081.7
2015-09-22,4066.2
2015-09-23,4086.2
2015-09-24,4077.7
2015-09-25,4095.2
2015-09-28,4116.2
2015-09-29,4145.2
2015-09-30,4124.8
2015-10-01,4133.9
2015-10-02,4129.6
2015-10-05,4120.0
2015-10-06,4147.5
2015-10-07,4138.3
2015-10-08,4147.8
2015-10-09,4180.8
2015-10-12,4177.9
2015-10-13,4179.8
2015-10-14,4208.8
2015-10-15,4177.1
2015-10-16,4140.9
2015-10-19,4116.6
2015-10-20,4085.8
2015-10-21,4103.4
2015-10-22,4018.0
2015-10-23,3937.7
2015-10-26,3929.7
2015-10-27,3893.5
2015-10-28,3862.2
2015-10-29,3905.1
2015-10-30,3913.2
2015-11-02,3897.4
2015-11-03,3864.8
2015-11-04,3753.1
2015-11-05,3707.3
2015-11-06,3639.1
2015-11-09,3660.5
2015-11-10,3709.8
2015-11-11,3760.5
2015-11-12,3786.9
2015-11-13,3740.6
2015-11-16,3691.0
2015-11-17,3677.2
2015-11-18,3572.4
2015-11-19,3609.6
2015-11-20,3570.1
2015-11-23,3588.2
2015-11-24,3581.2
2015-11-25,3567.8
2015-11-26,3562.5
2015-11-27,3557.1
2015-11-30,3539.0
2015-12-01,3542.2
2015-12-02,3523.9
2015-12-03,3632.7
2015-12-04,3605.8
2015-12-07,3589.9
2015-12-08,3605.0
2015-12-09,3646.0
2015-12-10,3685.4
2015-12-11,3771.4
2015-12-14,3815.2
2015-12-15,3721.3
2015-12-16,3707.6
2015-12-17,3693.6
2015-12-18,3674.9
2015-12-21,3655.3
2015-12-22,3648.9
2015-12-23,3657.7
2015-12-24,3671.7
2015-12-25,3675.7
2015-12-28,3702.4
2015-12-29,3682.8
2015-12-30,3696.5
2015-12-31,3676.0
2016-01-01,3673.2
2016-01-04,3673.3
2016-01-05,3647.6
2016-01-06,3647.8
2016-01-07,3711.9
2016-01-08,3728.7
2016-01-11,3719.4
2016-01-12,3739.4
2016-01-13,3778.0
2016-01-14,3784.5
2016-01-15,3789.9
2016-01-18,3779.9
2016-01-19,3788.3
2016-01-20,3777.6
2016-01-21,3766.7
2016-01-22,3744.9
2016-01-25,3766.9
2016-01-26,3768.3
2016-01-27,3790.3
2016-01-28,3797.9
2016-01-29,3758.6
2016-02-01,3781.1
2016-02-02,3792.0
2016-02-03,3836.6
2016-02-04,3876.3
2016-02-05,3832.9
2016-02-08,3844.6
2016-02-09,3908.4
2016-02-10,3899.3
2016-02-11,3907.9
2016-02-12,3840.0
2016-02-15,3807.2
2016-02-16,3797.1
2016-02-17,3807.4
2016-02-18,3803.3
2016-02-19,3819.5
2016-02-22,3783.7
2016-02-23,3751.3
2016-02-24,3744.4
2016-02-25,3705.9
2016-02-26,3664.9
2016-02-29,3638.3
2016-03-01,3628.3
2016-03-02,3631.6
2016-03-03,3686.5
2016-03-04,3710.8
2016-03-07,3715.7
2016-03-08,3702.6
2016-03-09,3696.8
2016-03-10,3743.0
2016-03-11,3740.9
2016-03-14,3726.5
2016-03-15,3731.0
2016-03-16,3783.8
2016-03-17,3815.8
2016-03-18,3799.3
2016-03-21,3790.1
2016-03-22,3772.8
2016-03-23,3773.4
2016-03-24,3766.1
2016-03-25,3761.5
2016-03-28,3753.3
2016-03-29,3799.4
2016-03-30,3819.9
2016-03-31,3837.2
2016-04-01,3839.5
2016-04-04,3834.5
2016-04-05,3828.7
2016-04-06,3828.1
2016-04-07,3819.8
2016-04-08,3813.7
2016-04-11,3813.1
2016-04-12,3807.4
2016-04-13,3769.6
2016-04-14,3764.2
2016-04-15,3767.9
2016-04-18,3768.4
2016-04-19,3782.9
2016-04-20,3750.4
2016-04-21,3729.5
2016-04-22,3715.7
2016-04-25,3754.4
2016-04-26,3783.2
2016-04-27,3784.5
2016-04-28,3782.6
2016-04-29,3799.5
2016-05-02,3822.3
2016-05-03,3821.8
2016-05-04,3824.8
2016-05-05,3801.5
2016-05-06,3799.1
2016-05-09,3787.1
2016-05-10,3778.4
2016-05-11,3791.4
2016-05-12,3779.6
2016-05-13,3758.7
2016-05-16,3760.8
2016-05-17,3782.7
2016-05-18,3762.3
2016-05-19,3757.3
2016-05-20,3780.6
2016-05-23,3784.6
2016-05-24,3778.6
2016-05-25,3780.4
2016-05-26,3766.8
2016-05-27,3737.8
2016-05-30,3746.7
2016-05-31,3738.8
2016-06-01,3756.7
2016-06-02,3746.0
2016-06-03,3822.3
2016-06-06,3814.1
2016-06-07,3808.9
2016-06-08,3813.9
2016-06-09,3789.5
2016-06-10,3759.0
2016-06-13,3785.9
2016-06-14,3745.7
2016-06-15,3772.3
2016-06-16,3754.3
2016-06-17,3768.4
2016-06-20,3797.3
2016-06-21,3786.1
2016-06-22,3808.8
2016-06-23,3831.4
2016-06-24,3789.9
2016-06-27,3766.9
2016-06-28,3769.7
2016-06-29,3786.5
2016-06-30,3775.8
2016-07-01,3779.5
2016-07-04,3785.4
2016-07-05,3752.4
2016-07-06,3763.8
2016-07-07,3752.2
2016-07-08,3739.0
2016-07-11,3729.0
2016-07-12,3726.9
2016-07-13,3744.6
2016-07-14,3748.2
2016-07-15,3720.7
2016-07-18,3722.3
2016-07-19,3704.0
2016-07-20,3707.2
2016-07-21,3715.0
2016-07-22,3707.9
2016-07-25,3705.6
2016-07-26,3714.8
2016-07-27,3733.4
2016-07-28,3742.3
2016-07-29,3775.7
2016-08-01,3781.2
2016-08-02,3795.1
2016-08-03,3759.2
2016-08-04,3746.6
2016-08-05,3734.1
2016-08-08,3744.6
2016-08-09,3745.1
2016-08-10,3770.8
2016-08-11,3755.3
2016-08-12,3764.2
2016-08-15,3765.6
2016-08-16,3794.4
2016-08-17,3799.4
2016-08-18,3824.5
2016-08-19,3814.0
2016-08-22,3813.6
2016-08-23,3805.8
2016-08-24,3797.2
2016-08-25,3805.0
2016-08-26,3775.8
2016-08-29,3772.4
2016-08-30,3754.2
2016-08-31,3764.8
2016-09-01,3775.5
2016-09-02,3760.2
2016-09-05,3768.9
2016-09-06,3800.0
2016-09-07,3804.4
2016-09-08,3808.2
2016-09-09,3796.1
2016-09-12,3798.7
2016-09-13,3792.7
2016-09-14,3800.3
2016-09-15,3798.5
2016-09-16,3764.6
2016-09-19,3773.6
2016-09-20,3768.4
2016-09-21,3784.7
2016-09-22,3796.9
2016-09-23,3797.5
2016-09-26,3811.1
2016-09-27,3801.1
2016-09-28,3798.0
2016-09-29,3795.6
2016-09-30,3808.6
2016-10-03,3799.7
2016-10-04,3808.5
2016-10-05,3809.5
2016-10-06,3799.2
2016-10-07,3807.8
2016-10-10,3790.8
2016-10-11,3779.1
2016-10-12,3768.8
2016-10-13,3800.6
2016-10-14,3786.3
2016-10-17,3814.0
2016-10-18,3800.0
2016-10-19,3776.3
2016-10-20,3756.3
2016-10-21,3743.6
