date,exchange_rate
2014-11-07,30.29
2014-11-10,30.19
2014-11-11,30.11
2014-11-12,29.92
2014-11-13,30.16
2014-11-14,30.25
2014-11-17,30.12
2014-11-18,30.14
2014-11-19,30.01
2014-11-20,30.02
2014-11-21,29.61
2014-11-24,29.56
2014-11-25,29.49
2014-11-26,29.47
2014-11-27,29.38
2014-11-28,29.34
2014-12-01,29.61
2014-12-02,29.65
2014-12-03,29.61
2014-12-04,29.78
2014-12-05,29.5
2014-12-08,29.48
2014-12-09,29.6
2014-12-10,29.79
2014-12-11,29.75
2014-12-12,30.02
2014-12-15,30.1
2014-12-16,30.54
2014-12-17,30.35
2014-12-18,29.9
2014-12-19,29.47
2014-12-22,29.36
2014-12-23,29.44
2014-12-24,29.45
2014-12-25,29.51
2014-12-26,29.41
2014-12-30,29.19
2014-12-31,29.05
2015-01-01,29.06
2015-01-02,29.25
2015-01-05,28.79
2015-01-06,28.72
2015-01-07,28.64
2015-01-08,28.58
2015-01-09,28.88
2015-01-12,28.98
2015-01-13,28.96
2015-01-14,29.17
2015-01-15,28.89
2015-01-16,28.75
2015-01-19,28.72
2015-01-20,28.34
2015-01-21,28.56
2015-01-22,27.76
2015-01-23,27.44
2015-01-26,27.61
2015-01-27,27.78
2015-01-28,27.36
2015-01-29,27.54
2015-01-30,27.49
2015-02-02,27.75
2015-02-03,28.02
2015-02-04,27.6
2015-02-05,27.94
2015-02-06,27.51
2015-02-09,27.75
2015-02-10,27.74
2015-02-11,27.89
2015-02-12,28.34
2015-02-13,28.19
2015-02-16,27.97
2015-02-17,28.12
2015-02-18,28.09
2015-02-19,27.83
2015-02-20,28.07
2015-02-23,28.01
2015-02-24,28.12
2015-02-25,28.05
2015-02-26,27.61
2015-02-27,27.52
2015-03-02,27.6
2015-03-03,27.45
2015-03-04,27.37
2015-03-05,27.36
2015-03-06,26.84
2015-03-09,26.98
2015-03-10,26.86
2015-03-11,26.55
2015-03-12,26.71
2015-03-13,26.44
2015-03-16,26.81
2015-03-17,26.86
2015-03-18,27.62
2015-03-19,27.26
2015-03-20,27.73
2015-03-23,27.99
2015-03-24,27.85
2015-03-25,27.92
2015-03-26,27.75
2015-03-27,28.0
2015-03-30,28.0
2015-03-31,27.77
2015-04-01,27.7
2015-04-02,27.96
2015-04-03,28.22
2015-04-06,28.12
2015-04-07,27.73
2015-04-08,27.81
2015-04-09,27.67
2015-04-10,27.71
2015-04-13,27.79
2015-04-14,28.01
2015-04-15,28.42
2015-04-16,28.88
2015-04-17,28.92
2015-04-20,28.66
2015-04-21,28.67
2015-04-22,28.72
2015-04-23,29.07
2015-04-24,29.02
2015-04-27,28.76
2015-04-28,28.72
2015-04-29,28.86
2015-04-30,29.58
2015-05-01,29.61
2015-05-04,29.45
2015-05-05,29.65
2015-05-06,30.08
2015-05-07,29.7
2015-05-08,29.6
2015-05-11,29.4
2015-05-12,29.68
2015-05-13,30.11
2015-05-14,30.25
2015-05-15,30.48
2015-05-18,30.09
