date,exchange_rate
2014-11-24,3009.17
2014-11-25,3028.6
2014-11-26,3034.46
2014-11-28,3021.48
2014-12-01,3023.7
2014-12-03,2992.04
2014-12-04,3005.28
2014-12-05,2978.71
2014-12-08,2986.35
2014-12-09,3003.68
2014-12-10,3021.04
2014-12-11,3010.67
2014-12-12,3030.96
2014-12-15,3028.31
2014-12-16,3052.32
2014-12-17,3011.21
2014-12-18,2998.22
2014-12-19,2984.07
2014-12-22,2981.05
2014-12-23,2969.78
2014-12-24,2973.26
2014-12-25,2975.87
2014-12-26,2968.14
2014-12-29,2966.62
2014-12-30,2972.38
2014-12-31,2953.21
2015-01-02,2929.4
2015-01-05,2911.37
2015-01-06,2903.13
2015-01-07,2892.26
2015-01-08,2880.45
2015-01-09,2896.2
2015-01-12,2889.29
2015-01-13,2877.17
2015-01-14,2871.79
2015-01-15,2833.48
2015-01-16,2822.87
2015-01-19,2814.12
2015-01-20,2821.89
2015-01-21,2839.78
2015-01-22,2780.55
2015-01-23,2742.34
2015-01-26,2762.16
2015-01-27,2800.28
2015-01-28,2770.59
2015-01-29,2765.13
2015-01-30,2769.31
2015-02-02,2784.3
2015-02-03,2822.24
2015-02-04,2782.48
2015-02-05,2817.42
2015-02-06,2786.22
2015-02-09,2790.36
2015-02-10,2791.19
2015-02-11,2783.65
2015-02-12,2811.42
2015-02-13,2801.28
2015-02-16,2801.53
2015-02-17,2813.75
2015-02-18,2821.13
2015-02-19,2811.78
2015-02-20,2811.31
2015-02-23,2796.71
2015-02-24,2790.9
2015-02-25,2793.48
2015-02-26,2766.02
2015-02-27,2759.87
2015-03-02,2756.78
2015-03-03,2749.14
2015-03-04,2726.34
2015-03-05,2713.49
2015-03-06,2668.9
2015-03-09,2676.96
2015-03-10,2663.07
2015-03-11,2625.65
2015-03-12,2640.24
2015-03-13,2603.15
2015-03-16,2639.92
2015-03-17,2644.58
2015-03-18,2687.58
2015-03-19,2658.48
2015-03-20,2699.43
2015-03-23,2730.62
2015-03-24,2722.92
2015-03-25,2739.58
2015-03-26,2718.7
2015-03-27,2725.8
2015-03-30,2705.15
2015-03-31,2681.7
2015-04-01,2681.84
2015-04-02,2712.85
2015-04-03,2733.06
2015-04-06,2717.82
2015-04-07,2692.0
2015-04-08,2683.31
2015-04-09,2650.37
2015-04-10,2642.7
2015-04-13,2638.04
2015-04-14,2660.04
2015-04-15,2668.6
2015-04-16,2695.44
2015-04-17,2703.33
2015-04-20,2687.22
2015-04-21,2687.83
2015-04-22,2685.29
2015-04-23,2707.94
2015-04-24,2715.74
2015-04-27,2726.37
2015-04-28,2752.32
2015-04-29,2794.85
2015-04-30,2812.84
2015-05-01,2805.6
2015-05-04,2792.11
2015-05-05,2807.96
2015-05-06,2852.01
2015-05-07,2826.66
2015-05-08,2816.85
2015-05-11,2809.05
2015-05-12,2820.82
2015-05-13,2851.0
2015-05-14,2869.16
2015-05-15,2875.91
2015-05-18,2844.58
2015-05-19,2800.28
2015-05-20,2801.01
2015-05-21,2805.4
2015-05-22,2785.75
2015-05-25,2780.22
2015-05-26,2751.76
2015-05-27,2755.75
2015-05-28,2765.23
2015-05-29,2782.11
2015-06-01,2770.74
2015-06-02,2826.72
2015-06-03,2850.28
2015-06-04,2848.38
2015-06-05,2818.24
2015-06-08,2862.62
2015-06-09,2859.3
2015-06-10,2870.78
2015-06-11,2861.43
2015-06-12,2863.43
2015-06-15,2868.14
2015-06-16,2861.14
2015-06-17,2876.13
2015-06-18,2896.4
2015-06-19,2889.03
2015-06-22,2891.27
2015-06-23,2843.39
2015-06-24,2858.41
2015-06-25,2851.87
2015-06-26,2838.0
2015-06-29,2868.26
2015-06-30,2846.1
2015-07-01,2826.17
2015-07-02,2834.16
2015-07-03,2836.08
2015-07-06,2831.32
2015-07-07,2818.92
2015-07-08,2832.78
2015-07-09,2822.58
2015-07-10,2852.13
2015-07-13,2817.35
2015-07-14,2823.39
2015-07-15,2805.72
2015-07-16,2791.57
2015-07-17,2778.03
2015-07-20,2771.98
2015-07-21,2811.13
2015-07-22,2808.14
2015-07-23,2828.31
2015-07-24,2822.14
2015-07-27,2851.26
2015-07-29,2849.42
2015-07-30,2809.07
2015-07-31,2826.94
2015-08-03,2822.41
2015-08-04,2807.21
2015-08-05,2812.76
