date,exchange_rate
2014-11-24,7.82
2014-11-25,7.84
2014-11-26,7.86
2014-11-27,7.84
2014-11-28,7.83
2014-12-01,7.84
2014-12-02,7.79
2014-12-03,7.74
2014-12-04,7.78
2014-12-05,7.72
2014-12-08,7.74
2014-12-09,7.78
2014-12-10,7.82
2014-12-11,7.8
2014-12-12,7.85
2014-12-15,7.82
2014-12-16,7.87
2014-12-17,7.75
2014-12-18,7.72
2014-12-19,7.69
2014-12-22,7.69
2014-12-23,7.65
2014-12-24,7.67
2014-12-25,7.69
2014-12-26,7.66
2014-12-29,7.64
2014-12-30,7.64
2014-12-31,7.61
2015-01-01,7.61
2015-01-02,7.56
2015-01-05,7.5
2015-01-06,7.46
2015-01-07,7.44
2015-01-08,7.41
2015-01-09,7.44
2015-01-12,7.44
2015-01-13,7.4
2015-01-14,7.41
2015-01-15,7.31
2015-01-16,7.27
2015-01-19,7.3
2015-01-20,7.26
2015-01-21,7.3
2015-01-22,7.12
2015-01-23,7.04
2015-01-26,7.07
2015-01-27,7.15
2015-01-28,7.09
2015-01-29,7.12
2015-01-30,7.1
2015-02-02,7.13
2015-02-03,7.21
2015-02-04,7.13
2015-02-05,7.21
2015-02-06,7.11
2015-02-09,7.12
2015-02-10,7.11
2015-02-11,7.12
2015-02-12,7.17
2015-02-13,7.15
2015-02-16,7.14
2015-02-17,7.17
2015-02-18,7.17
2015-02-19,7.14
2015-02-20,7.16
2015-02-23,7.13
2015-02-24,7.13
2015-02-25,7.16
2015-02-26,7.04
2015-02-27,7.05
2015-03-02,7.03
2015-03-03,7.03
2015-03-04,6.97
2015-03-05,6.94
2015-03-06,6.82
2015-03-09,6.82
2015-03-10,6.72
2015-03-11,6.64
2015-03-12,6.68
2015-03-13,6.6
2015-03-16,6.64
2015-03-17,6.66
2015-03-18,6.81
2015-03-19,6.71
2015-03-20,6.8
2015-03-23,6.89
2015-03-24,6.86
2015-03-25,6.89
2015-03-26,6.84
2015-03-27,6.85
2015-03-30,6.81
2015-03-31,6.75
2015-04-01,6.77
2015-04-02,6.84
2015-04-03,6.9
2015-04-06,6.87
2015-04-07,6.8
2015-04-08,6.78
