date,exchange_rate
2018-08-20,2.8496
2018-08-21,2.8707
2018-08-22,69.4981
2018-08-23,69.5037
2018-08-24,69.9715
2018-08-27,70.3083
2018-08-28,71.1366
2018-08-29,71.2047
2018-08-30,71.224
2018-08-31,70.8339
2018-09-03,70.9206
2018-09-04,70.6841
2018-09-05,70.8526
2018-09-06,70.8678
2018-09-07,70.4198
2018-09-10,70.6792
2018-09-11,70.7225
2018-09-12,70.9023
2018-09-13,72.336
2018-09-14,71.9197
2018-09-17,72.2179
2018-09-18,72.2593
2018-09-19,72.1968
2018-09-20,72.8653
2018-09-21,72.6831
2018-09-24,71.6118
2018-09-25,71.7341
2018-09-26,71.5975
2018-09-27,70.9349
2018-09-28,70.7636
2018-10-01,70.5743
2018-10-02,70.4052
2018-10-03,70.3165
2018-10-04,70.197
2018-10-05,71.6645
2018-10-08,70.9969
2018-10-09,71.1002
2018-10-10,72.3168
2018-10-11,72.7334
2018-10-12,72.5356
2018-10-15,72.7661
2018-10-16,72.7017
2018-10-17,72.2432
2018-10-18,71.9435
2018-10-19,72.3217
2018-10-22,72.017
2018-10-23,72.0597
2018-10-24,71.5946
2018-10-25,71.4429
2018-10-26,71.6169
2018-10-29,71.431
2018-10-30,71.2425
2018-10-31,72.817
2018-11-01,71.6382
2018-11-02,71.5321
2018-11-05,71.6741
2018-11-06,71.7259
2018-11-07,74.2236
2018-11-08,73.8109
2018-11-09,71.1989
2018-11-12,73.2052
2018-11-13,73.6819
2018-11-14,73.9419
2018-11-15,76.0444
2018-11-16,76.55
2018-11-19,83.1571
2018-11-20,82.5399
2018-11-21,82.762
2018-11-22,82.8787
2018-11-23,87.4177
2018-11-26,90.0233
2018-11-27,92.7719
2018-11-28,93.2735
2018-11-29,97.5729
2018-11-30,97.0495
2018-12-03,171.8312
2018-12-04,177.8393
2018-12-05,177.9271
2018-12-06,214.055
2018-12-07,214.0022
2018-12-10,240.9863
2018-12-11,286.5943
2018-12-12,287.7604
2018-12-13,341.6081
2018-12-14,339.9723
2018-12-17,401.7198
2018-12-18,441.0797
2018-12-19,442.4958
2018-12-20,512.3389
2018-12-21,507.726
2018-12-24,573.6848
2018-12-25,573.1313
2018-12-26,571.2394
2018-12-27,644.1274
2018-12-28,643.8268
2018-12-31,731.0814
2019-01-01,729.8783
