date,exchange_rate
2014-11-07,26481.0
2014-11-10,26314.0
2014-11-11,26526.0
2014-11-12,26435.0
2014-11-13,26555.0
2014-11-14,26659.0
2014-11-17,26524.0
2014-11-18,26754.0
2014-11-19,26695.0
2014-11-20,26704.0
2014-11-21,26449.0
2014-11-24,26474.0
2014-11-25,26652.0
2014-11-26,26732.0
2014-11-27,26654.0
2014-11-28,26519.0
2014-12-01,26673.0
2014-12-02,26459.0
2014-12-03,26259.0
2014-12-04,26410.0
2014-12-05,26168.0
2014-12-08,26224.0
2014-12-09,26405.0
2014-12-10,26555.0
2014-12-11,26460.0
2014-12-12,26595.0
2014-12-15,26582.0
2014-12-16,26719.0
2014-12-17,26349.0
2014-12-18,26249.0
2014-12-19,26127.0
2014-12-22,26117.0
2014-12-23,25999.0
2014-12-24,26064.0
2014-12-25,26120.0
2014-12-26,26029.0
2014-12-30,25984.0
2014-12-31,25859.0
2015-01-01,25867.0
2015-01-02,25636.0
2015-01-05,25494.0
2015-01-06,25424.0
2015-01-07,25346.0
2015-01-08,25174.0
2015-01-09,25259.0
2015-01-12,25216.0
2015-01-13,25094.0
2015-01-14,25117.0
2015-01-15,24790.0
2015-01-16,24655.0
2015-01-19,24756.0
2015-01-20,24638.0
2015-01-21,24794.0
2015-01-22,24162.0
2015-01-23,23884.0
2015-01-26,23964.0
2015-01-27,24240.0
2015-01-28,24030.0
2015-01-29,24091.0
2015-01-30,24005.0
2015-02-02,24077.0
2015-02-03,24342.0
2015-02-04,24172.0
2015-02-05,24409.0
2015-02-06,24064.0
2015-02-09,24076.0
2015-02-10,23931.0
2015-02-11,24093.0
2015-02-12,24245.0
2015-02-13,24235.0
2015-02-16,24172.0
2015-02-17,24300.0
2015-02-18,24280.0
2015-02-19,24201.0
2015-02-20,24239.0
2015-02-23,24145.0
2015-02-24,24134.0
2015-02-25,24286.0
2015-02-26,23879.0
2015-02-27,23908.0
2015-03-02,23834.0
2015-03-03,23825.0
2015-03-04,23634.0
2015-03-05,23547.0
2015-03-06,23124.0
2015-03-09,23122.0
2015-03-10,22785.0
2015-03-11,22527.0
2015-03-12,22656.0
2015-03-13,22428.0
2015-03-16,22663.0
2015-03-17,22716.0
2015-03-18,23250.0
2015-03-19,22882.0
2015-03-20,23208.0
2015-03-23,23546.0
2015-03-24,23453.0
2015-03-25,23540.0
2015-03-26,23355.0
2015-03-27,23422.0
2015-03-30,23291.0
2015-03-31,23103.0
2015-04-01,23182.0
2015-04-02,23442.0
2015-04-03,23664.0
2015-04-06,23572.0
2015-04-07,23344.0
2015-04-08,23266.0
2015-04-09,23010.0
2015-04-10,22869.0
2015-04-13,22807.0
2015-04-14,22980.0
2015-04-15,23034.0
2015-04-16,23236.0
2015-04-17,23291.0
2015-04-20,23140.0
2015-04-21,23139.0
2015-04-22,23133.0
2015-04-23,23324.0
2015-04-24,23416.0
2015-04-27,23435.0
2015-04-28,23647.0
2015-04-29,23947.0
2015-04-30,24192.0
2015-05-01,24129.0
2015-05-04,24068.0
2015-05-05,24166.0
2015-05-06,24517.0
2015-05-07,24360.0
2015-05-08,24227.0
2015-05-11,24166.0
2015-05-12,24309.0
2015-05-13,24641.0
2015-05-14,24828.0
2015-05-15,24882.0
2015-05-18,24621.0
2015-05-19,24268.0
2015-05-20,24173.0
2015-05-21,24191.0
2015-05-22,23968.0
2015-05-25,23891.0
2015-05-26,23721.0
2015-05-27,23744.0
2015-05-28,23891.0
2015-05-29,23939.0
2015-06-01,23801.0
2015-06-02,24288.0
2015-06-03,24551.0
2015-06-04,24407.0
2015-06-05,24198.0
2015-06-08,24584.0
2015-06-09,24552.0
2015-06-10,24651.0
2015-06-11,24444.0
2015-06-12,24497.0
2015-06-15,24552.0
2015-06-16,24483.0
2015-06-17,24665.0
2015-06-18,24766.0
2015-06-19,24722.0
2015-06-22,24698.0
2015-06-23,24321.0
2015-06-24,24378.0
2015-06-25,24434.0
2015-06-26,24350.0
2015-06-29,24459.0
2015-06-30,24279.0
2015-07-01,24066.0
2015-07-02,24131.0
2015-07-03,24207.0
2015-07-06,24090.0
2015-07-07,23976.0
2015-07-08,24147.0
2015-07-09,24108.0
2015-07-10,24289.0
2015-07-13,23997.0
2015-07-14,24013.0
2015-07-15,23876.0
2015-07-16,23717.0
2015-07-17,23619.0
2015-07-20,23614.0
2015-07-21,23849.0
2015-07-22,23836.0
2015-07-23,23953.0
2015-07-24,23935.0
2015-07-27,24182.0
2015-07-28,24124.0
2015-07-29,23962.0
2015-07-30,23842.0
2015-07-31,23951.0
2015-08-03,23880.0
2015-08-04,23747.0
2015-08-05,23771.0
2015-08-06,23815.0
2015-08-07,23896.0
2015-08-10,24029.0
2015-08-11,24086.0
2015-08-12,24559.0
2015-08-13,24620.0
2015-08-14,24541.0
2015-08-17,24465.0
2015-08-18,24345.0
2015-08-19,24855.0
2015-08-20,25119.0
2015-08-21,25551.0
2015-08-24,26092.0
2015-08-25,25994.0
2015-08-26,25533.0
2015-08-27,25241.0
2015-08-28,25103.0
2015-08-31,25194.0
2015-09-01,25397.0
2015-09-02,25203.0
2015-09-03,24972.0
2015-09-04,25048.0
2015-09-07,25090.0
2015-09-08,25248.0
2015-09-09,25204.0
2015-09-10,25433.0
2015-09-11,25472.0
2015-09-14,25424.0
2015-09-15,25295.0
2015-09-16,25375.0
2015-09-17,25687.0
2015-09-18,25398.0
2015-09-21,25118.0
2015-09-22,24983.0
2015-09-23,25135.0
2015-09-24,25121.0
2015-09-25,25154.0
2015-09-28,25240.0
2015-09-29,25253.0
2015-09-30,25103.0
2015-10-01,25144.0
2015-10-02,25182.0
2015-10-05,25142.0
2015-10-06,25310.0
2015-10-07,25245.0
2015-10-08,24966.0
2015-10-09,25208.0
2015-10-12,25352.0
2015-10-13,25478.0
2015-10-14,25678.0
2015-10-15,25361.0
2015-10-16,25232.0
2015-10-19,25256.0
2015-10-20,25407.0
2015-10-21,25262.0
2015-10-22,24730.0
2015-10-23,24569.0
2015-10-26,24658.0
2015-10-27,24620.0
2015-10-28,24376.0
2015-10-29,24508.0
2015-10-30,24562.0
2015-11-02,24558.0
2015-11-03,24456.0
2015-11-04,24231.0
2015-11-05,24262.0
2015-11-06,23978.0
2015-11-09,24103.0
2015-11-10,24007.0
2015-11-11,24046.0
2015-11-12,24197.0
2015-11-13,24143.0
2015-11-16,23963.0
2015-11-17,23874.0
2015-11-18,23899.0
2015-11-19,24105.0
2015-11-20,23907.0
2015-11-23,23906.0
2015-11-24,23913.0
2015-11-25,23903.0
2015-11-26,23868.0
2015-11-27,23832.0
2015-11-30,23760.0
2015-12-01,23886.0
2015-12-02,23856.0
2015-12-03,24562.0
2015-12-04,24421.0
2015-12-07,24337.0
2015-12-08,24463.0
2015-12-09,24741.0
2015-12-10,24574.0
2015-12-11,24708.0
2015-12-14,24739.0
2015-12-15,24624.0
2015-12-16,24555.0
2015-12-17,24371.0
2015-12-18,24488.0
2015-12-21,24601.0
2015-12-22,24683.0
2015-12-23,24550.0
2015-12-24,24681.0
2015-12-25,24708.0
2015-12-28,24657.0
2015-12-29,24535.0
2015-12-30,24531.0
2015-12-31,24395.0
2016-01-01,24377.0
2016-01-04,24301.0
2016-01-05,24168.0
2016-01-06,24210.0
2016-01-07,24486.0
2016-01-08,24535.0
2016-01-11,24437.0
2016-01-12,24346.0
2016-01-13,24385.0
2016-01-14,24379.0
2016-01-15,24461.0
2016-01-18,24363.0
2016-01-19,24445.0
2016-01-20,24402.0
2016-01-21,24306.0
2016-01-22,24191.0
2016-01-25,24251.0
2016-01-26,24172.0
2016-01-27,24299.0
2016-01-28,24294.0
2016-01-29,24031.0
2016-02-01,24257.0
2016-02-02,24333.0
2016-02-03,24640.0
2016-02-04,24957.0
2016-02-05,24862.0
2016-02-08,24895.0
2016-02-09,25073.0
2016-02-10,25075.0
2016-02-11,25151.0
2016-02-12,25055.0
2016-02-15,24917.0
2016-02-16,24894.0
2016-02-17,24892.0
2016-02-18,24807.0
2016-02-19,24798.0
2016-02-22,24667.0
2016-02-23,24574.0
2016-02-24,24575.0
2016-02-25,24586.0
2016-02-26,24392.0
2016-02-29,24253.0
2016-03-01,24223.0
2016-03-02,24237.0
2016-03-03,24353.0
2016-03-04,24518.0
2016-03-07,24542.0
2016-03-08,24536.0
2016-03-09,24516.0
2016-03-10,24876.0
2016-03-11,24846.0
2016-03-14,24745.0
2016-03-15,24743.0
2016-03-16,24991.0
2016-03-17,25217.0
2016-03-18,25118.0
2016-03-21,25028.0
2016-03-22,24997.0
2016-03-23,25008.0
2016-03-24,24948.0
2016-03-25,24918.0
2016-03-28,24975.0
2016-03-29,25174.0
2016-03-30,25232.0
2016-03-31,25370.0
2016-04-01,25402.0
2016-04-04,25384.0
2016-04-05,25345.0
2016-04-06,25368.0
2016-04-07,25315.0
2016-04-08,25398.0
2016-04-11,25420.0
2016-04-12,25327.0
2016-04-13,25147.0
2016-04-14,25055.0
2016-04-15,25161.0
2016-04-18,25194.0
2016-04-19,25313.0
2016-04-20,25153.0
2016-04-21,25153.0
2016-04-22,25022.0
2016-04-25,25118.0
2016-04-26,25183.0
2016-04-27,25207.0
2016-04-28,25310.0
2016-04-29,25465.0
2016-05-02,25634.0
2016-05-03,25568.0
2016-05-04,25601.0
2016-05-05,25338.0
2016-05-06,25403.0
2016-05-09,25309.0
2016-05-10,25350.0
2016-05-11,25462.0
2016-05-12,25365.0
2016-05-13,25221.0
2016-05-16,25236.0
2016-05-17,25225.0
2016-05-18,24974.0
2016-05-19,24990.0
2016-05-20,25035.0
2016-05-23,25030.0
2016-05-24,24809.0
2016-05-25,24925.0
2016-05-26,25036.0
2016-05-27,24874.0
2016-05-30,24934.0
2016-05-31,24914.0
2016-06-01,25056.0
2016-06-02,24984.0
2016-06-03,25457.0
2016-06-06,25395.0
2016-06-07,25339.0
2016-06-08,25424.0
2016-06-09,25247.0
2016-06-10,25106.0
2016-06-13,25190.0
2016-06-14,24993.0
2016-06-15,25137.0
2016-06-16,25012.0
2016-06-17,25128.0
2016-06-20,25221.0
2016-06-21,25091.0
2016-06-22,25211.0
2016-06-23,25411.0
2016-06-24,24740.0
2016-06-27,24601.0
2016-06-28,24676.0
2016-06-29,24777.0
2016-06-30,24722.0
2016-07-01,24827.0
2016-07-04,24866.0
2016-07-05,24669.0
2016-07-06,24739.0
2016-07-07,24662.0
2016-07-08,24630.0
2016-07-11,24649.0
2016-07-12,24636.0
2016-07-13,24743.0
2016-07-14,24780.0
2016-07-15,24673.0
2016-07-18,24691.0
2016-07-19,24529.0
2016-07-20,24514.0
2016-07-21,24586.0
2016-07-22,24476.0
2016-07-25,24507.0
2016-07-26,24488.0
2016-07-27,24655.0
2016-07-28,24699.0
2016-07-29,24907.0
2016-08-01,24862.0
2016-08-02,24976.0
2016-08-03,24855.0
2016-08-04,24764.0
2016-08-05,24705.0
2016-08-08,24638.0
2016-08-09,24778.0
2016-08-10,24929.0
2016-08-11,24829.0
2016-08-12,24885.0
2016-08-15,24934.0
2016-08-16,25147.0
2016-08-17,25165.0
2016-08-18,25263.0
2016-08-19,25221.0
2016-08-22,25178.0
2016-08-23,25200.0
2016-08-24,25111.0
2016-08-25,25158.0
2016-08-26,24970.0
2016-08-29,24909.0
2016-08-30,24786.0
2016-08-31,24877.0
2016-09-01,24957.0
2016-09-02,24839.0
2016-09-05,24804.0
2016-09-06,25070.0
2016-09-07,25063.0
2016-09-08,25078.0
2016-09-09,24998.0
2016-09-12,25016.0
2016-09-13,25002.0
2016-09-14,25041.0
2016-09-15,25083.0
2016-09-16,24887.0
2016-09-19,24898.0
2016-09-20,24886.0
2016-09-21,24971.0
2016-09-22,24998.0
2016-09-23,25046.0
2016-09-26,25099.0
2016-09-27,25006.0
2016-09-28,25022.0
2016-09-29,25023.0
2016-09-30,25066.0
2016-10-03,25001.0
2016-10-04,24986.0
2016-10-05,24959.0
2016-10-06,24851.0
2016-10-07,24948.0
2016-10-10,24823.0
2016-10-11,24643.0
2016-10-12,24543.0
2016-10-13,24645.0
2016-10-14,24404.0
2016-10-17,24542.0
2016-10-18,24478.0
2016-10-19,24466.0
2016-10-20,24372.0
2016-10-21,24277.0
2016-10-24,24259.0
2016-10-25,24317.0
2016-10-26,24349.0
2016-10-27,24315.0
2016-10-28,24509.0
2016-10-31,24484.0
2016-11-01,24671.0
2016-11-02,24765.0
2016-11-03,24786.0
2016-11-04,24881.0
2016-11-07,24653.0
2016-11-08,24591.0
2016-11-09,24362.0
2016-11-10,24269.0
2016-11-11,24220.0
2016-11-14,23986.0
2016-11-15,23954.0
2016-11-16,23951.0
2016-11-17,23805.0
2016-11-18,23814.0
2016-11-21,23981.0
2016-11-22,23938.0
2016-11-23,23838.0
2016-11-24,23849.0
2016-11-25,24069.0
2016-11-28,24082.0
2016-11-29,24135.0
2016-11-30,23974.0
2016-12-01,24171.0
2016-12-02,24170.0
2016-12-05,24435.0
2016-12-06,24349.0
2016-12-07,24385.0
2016-12-08,24004.0
2016-12-09,23843.0
2016-12-12,24051.0
2016-12-13,24069.0
2016-12-14,23907.0
2016-12-15,23691.0
2016-12-16,23762.0
2016-12-19,23661.0
2016-12-20,23637.0
2016-12-21,23731.0
2016-12-22,23745.0
2016-12-23,23768.0
2016-12-26,23795.0
2016-12-27,23797.0
2016-12-28,23693.0
2016-12-29,23877.0
2016-12-30,23942.0
2017-01-02,23822.0
2017-01-03,23659.0
2017-01-04,23828.0
2017-01-05,24036.0
2017-01-06,23747.0
2017-01-09,23892.0
2017-01-10,23822.0
2017-01-11,23876.0
2017-01-12,23944.0
2017-01-13,24002.0
2017-01-16,23913.0
2017-01-17,24167.0
2017-01-18,23992.0
2017-01-19,24046.0
2017-01-20,24148.0
2017-01-23,24277.0
2017-01-24,24213.0
2017-01-25,24271.0
2017-01-26,24117.0
2017-01-27,24160.0
2017-01-30,24151.0
2017-01-31,24373.0
2017-02-01,24313.0
2017-02-02,24359.0
2017-02-03,24378.0
2017-02-06,24260.0
2017-02-07,24120.0
2017-02-08,24186.0
2017-02-09,24144.0
2017-02-10,24081.0
2017-02-13,24012.0
2017-02-14,24045.0
2017-02-15,24136.0
2017-02-16,24283.0
2017-02-17,24146.0
2017-02-20,24204.0
2017-02-21,24042.0
2017-02-22,24091.0
2017-02-23,24105.0
2017-02-24,24071.0
2017-02-27,24106.0
2017-02-28,24046.0
2017-03-01,24028.0
2017-03-02,23961.0
2017-03-03,24251.0
2017-03-06,24114.0
2017-03-07,24086.0
2017-03-08,24024.0
2017-03-09,24117.0
2017-03-10,24284.0
2017-03-13,24280.0
2017-03-14,24178.0
2017-03-15,24489.0
2017-03-16,24523.0
2017-03-17,24452.0
2017-03-20,24465.0
2017-03-21,24610.0
2017-03-22,24580.0
2017-03-23,24562.0
2017-03-24,24595.0
2017-03-27,24727.0
2017-03-28,24617.0
2017-03-29,24509.0
2017-03-30,24308.0
2017-03-31,24256.0
2017-04-03,24238.0
2017-04-04,24222.0
2017-04-05,24198.0
2017-04-06,24088.0
2017-04-07,23942.0
2017-04-10,24030.0
2017-04-11,24015.0
2017-04-12,24174.0
2017-04-13,23969.0
2017-04-14,24054.0
2017-04-17,24123.0
2017-04-18,24292.0
2017-04-19,24354.0
2017-04-20,24302.0
2017-04-21,24286.0
2017-04-24,24680.0
2017-04-25,24868.0
2017-04-26,24764.0
2017-04-27,24705.0
2017-04-28,24767.0
2017-05-01,24759.0
2017-05-02,24807.0
2017-05-03,24755.0
2017-05-04,24961.0
2017-05-05,24987.0
2017-05-08,24786.0
2017-05-09,24735.0
2017-05-10,24701.0
2017-05-11,24679.0
2017-05-12,24790.0
2017-05-15,24894.0
2017-05-16,25122.0
2017-05-17,25256.0
2017-05-18,25184.0
2017-05-19,25318.0
2017-05-22,25404.0
2017-05-23,25361.0
2017-05-24,25345.0
2017-05-25,25364.0
2017-05-26,25343.0
2017-05-29,25376.0
2017-05-30,25362.0
2017-05-31,25516.0
2017-06-01,25460.0
2017-06-02,25572.0
2017-06-05,25543.0
2017-06-06,25593.0
2017-06-07,25547.0
2017-06-08,25410.0
2017-06-09,25378.0
2017-06-12,25405.0
2017-06-13,25424.0
2017-06-14,25429.0
2017-06-15,25262.0
2017-06-16,25368.0
2017-06-19,25301.0
2017-06-20,25283.0
2017-06-21,25310.0
2017-06-22,25276.0
2017-06-23,25409.0
2017-06-26,25381.0
2017-06-27,25743.0
2017-06-28,25848.0
2017-06-29,25995.0
2017-06-30,25938.0
2017-07-03,25830.0
2017-07-04,25791.0
2017-07-05,25805.0
2017-07-06,25956.0
2017-07-07,25885.0
2017-07-10,25867.0
2017-07-11,26012.0
2017-07-12,25912.0
2017-07-13,25869.0
2017-07-14,26032.0
2017-07-17,26065.0
2017-07-18,26232.0
2017-07-19,26192.0
2017-07-20,26422.0
2017-07-21,26465.0
2017-07-24,26412.0
2017-07-25,26460.0
2017-07-26,26649.0
2017-07-27,26504.0
2017-07-28,26704.0
2017-07-31,26891.0
2017-08-01,26816.0
2017-08-02,26909.0
2017-08-03,26977.0
2017-08-04,26751.0
2017-08-07,26806.0
2017-08-08,26720.0
2017-08-09,26724.0
2017-08-10,26737.0
2017-08-11,26863.0
2017-08-14,26756.0
2017-08-15,26667.0
2017-08-16,26747.0
2017-08-17,26647.0
2017-08-18,26727.0
2017-08-21,26844.0
2017-08-22,26727.0
2017-08-23,26825.0
2017-08-24,26811.0
2017-08-25,27102.0
2017-08-28,27208.0
2017-08-29,27205.0
2017-08-30,27015.0
2017-08-31,27058.0
2017-09-01,26943.0
2017-09-04,27030.0
2017-09-05,27079.0
2017-09-06,27083.0
2017-09-07,27300.0
2017-09-08,27343.0
2017-09-11,27161.0
2017-09-12,27176.0
2017-09-13,27013.0
2017-09-14,27066.0
2017-09-15,27136.0
2017-09-18,27158.0
2017-09-19,27246.0
2017-09-20,26999.0
2017-09-21,27125.0
2017-09-22,27122.0
2017-09-25,26934.0
2017-09-26,26778.0
2017-09-27,26668.0
2017-09-28,26758.0
2017-09-29,26850.0
2017-10-02,26658.0
2017-10-03,26671.0
2017-10-04,26713.0
2017-10-05,26593.0
2017-10-06,26648.0
2017-10-09,26676.0
2017-10-10,26822.0
2017-10-11,26940.0
2017-10-12,26884.0
2017-10-13,26839.0
2017-10-16,26770.0
2017-10-17,26726.0
2017-10-18,26786.0
2017-10-19,26898.0
2017-10-20,26765.0
2017-10-23,26690.0
2017-10-24,26722.0
2017-10-25,26834.0
2017-10-26,26448.0
2017-10-27,26345.0
2017-10-30,26423.0
2017-10-31,26438.0
2017-11-01,26379.0
2017-11-02,26458.0
2017-11-03,26341.0
2017-11-06,26359.0
2017-11-07,26303.0
2017-11-08,26305.0
2017-11-09,26419.0
2017-11-10,26474.0
2017-11-13,26469.0
2017-11-14,26786.0
2017-11-15,26716.0
2017-11-16,26713.0
2017-11-17,26757.0
2017-11-20,26625.0
2017-11-21,26643.0
2017-11-22,26837.0
2017-11-23,26920.0
2017-11-24,27103.0
2017-11-27,27017.0
2017-11-28,26890.0
2017-11-29,26915.0
2017-11-30,26986.0
2017-12-01,27002.0
2017-12-04,26930.0
2017-12-05,26842.0
2017-12-06,26791.0
2017-12-07,26724.0
2017-12-08,26726.0
2017-12-11,26705.0
2017-12-12,26640.0
2017-12-13,26833.0
2017-12-14,26732.0
2017-12-15,26664.0
2017-12-18,26743.0
2017-12-19,26872.0
2017-12-20,26946.0
2017-12-21,26936.0
2017-12-22,26921.0
2017-12-25,26961.0
2017-12-26,26904.0
2017-12-27,27012.0
2017-12-28,27103.0
2017-12-29,27225.0
2018-01-01,27266.0
2018-01-02,27363.0
2018-01-03,27272.0
2018-01-04,27404.0
2018-01-05,27298.0
2018-01-08,27162.0
2018-01-09,27102.0
2018-01-10,27119.0
2018-01-11,27298.0
2018-01-12,27701.0
2018-01-15,27848.0
2018-01-16,27841.0
2018-01-17,27620.0
2018-01-18,27784.0
2018-01-19,27737.0
2018-01-22,27825.0
2018-01-23,27922.0
2018-01-24,28143.0
2018-01-25,28089.0
2018-01-26,28211.0
2018-01-29,28104.0
2018-01-30,28150.0
2018-01-31,28170.0
2018-02-01,28388.0
2018-02-02,28288.0
2018-02-05,28073.0
2018-02-06,28091.0
2018-02-07,27805.0
2018-02-08,27797.0
2018-02-09,27798.0
2018-02-12,27893.0
2018-02-13,28026.0
2018-02-14,28258.0
2018-02-15,28365.0
2018-02-16,28166.0
2018-02-19,28156.0
2018-02-20,27983.0
2018-02-21,27881.0
2018-02-22,27991.0
2018-02-23,27947.0
2018-02-26,27985.0
2018-02-27,27813.0
2018-02-28,27743.0
2018-03-01,27917.0
2018-03-02,28022.0
2018-03-05,28070.0
2018-03-06,28240.0
2018-03-07,28237.0
2018-03-08,28010.0
2018-03-09,28002.0
2018-03-12,28062.0
2018-03-13,28201.0
2018-03-14,28146.0
2018-03-15,28008.0
2018-03-16,27964.0
2018-03-19,28073.0
2018-03-20,27880.0
2018-03-21,28098.0
2018-03-22,28038.0
2018-03-23,28172.0
2018-03-26,28391.0
2018-03-27,28299.0
2018-03-28,28088.0
2018-03-29,28051.0
2018-03-30,28084.0
2018-04-02,28026.0
2018-04-03,27983.0
2018-04-04,28009.0
2018-04-05,27924.0
2018-04-06,27998.0
2018-04-09,28079.0
2018-04-10,28157.0
2018-04-11,28180.0
2018-04-12,28085.0
2018-04-13,28087.0
2018-04-16,28191.0
2018-04-17,28159.0
2018-04-18,28190.0
2018-04-19,28114.0
2018-04-20,27973.0
2018-04-23,27793.0
2018-04-24,27843.0
2018-04-25,27679.0
2018-04-26,27556.0
2018-04-27,27598.0
2018-04-30,27489.0
2018-05-01,27292.0
2018-05-02,27206.0
2018-05-03,27278.0
2018-05-04,27222.0
2018-05-07,27138.0
2018-05-08,27010.0
2018-05-09,26988.0
2018-05-10,27127.0
2018-05-11,27184.0
2018-05-14,27154.0
2018-05-15,26955.0
2018-05-16,26895.0
2018-05-17,26855.0
2018-05-18,26812.0
2018-05-21,26839.0
2018-05-22,26810.0
2018-05-23,26630.0
2018-05-24,26694.0
2018-05-25,26532.0
2018-05-28,26516.0
2018-05-29,26344.0
2018-05-30,26648.0
2018-05-31,26685.0
2018-06-01,26572.0
2018-06-04,26693.0
2018-06-05,26738.0
2018-06-06,26861.0
2018-06-07,26899.0
2018-06-08,26813.0
2018-06-11,26855.0
2018-06-12,26780.0
2018-06-13,26885.0
2018-06-14,26398.0
2018-06-15,26471.0
2018-06-18,26533.0
2018-06-19,26475.0
2018-06-20,26462.0
2018-06-21,26550.0
2018-06-22,26678.0
2018-06-25,26785.0
2018-06-26,26693.0
2018-06-27,26511.0
2018-06-28,26511.0
2018-06-29,26816.0
2018-07-02,26701.0
2018-07-03,26867.0
2018-07-04,26854.0
2018-07-05,26926.0
2018-07-06,27040.0
2018-07-09,27060.0
2018-07-10,27028.0
2018-07-11,26897.0
2018-07-12,26866.0
2018-07-13,26927.0
2018-07-16,26987.0
2018-07-17,26865.0
2018-07-18,26818.0
2018-07-19,26837.0
2018-07-20,27011.0
2018-07-23,27142.0
2018-07-24,27151.0
2018-07-25,27223.0
2018-07-26,26979.0
2018-07-27,27077.0
2018-07-30,27220.0
2018-07-31,27203.0
2018-08-01,27155.0
2018-08-02,26959.0
2018-08-03,26944.0
2018-08-06,26919.0
2018-08-07,27019.0
2018-08-08,27028.0
2018-08-09,26821.0
2018-08-10,26513.0
2018-08-13,26558.0
2018-08-14,26443.0
2018-08-15,26446.0
2018-08-16,26507.0
2018-08-17,26634.0
2018-08-20,26728.0
2018-08-21,26922.0
2018-08-22,26981.0
2018-08-23,26867.0
2018-08-24,27069.0
2018-08-27,27200.0
2018-08-28,27234.0
2018-08-29,27266.0
2018-08-30,27173.0
2018-08-31,27025.0
2018-09-03,27058.0
2018-09-04,26993.0
2018-09-05,27089.0
2018-09-06,27094.0
2018-09-07,26923.0
2018-09-10,27022.0
2018-09-11,27039.0
2018-09-12,27108.0
2018-09-13,27206.0
2018-09-14,27050.0
2018-09-17,27162.0
2018-09-18,27178.0
2018-09-19,27154.0
2018-09-20,27406.0
2018-09-21,27337.0
2018-09-24,27379.0
2018-09-25,27426.0
2018-09-26,27373.0
2018-09-27,27120.0
2018-09-28,27054.0
2018-10-01,26982.0
2018-10-02,26917.0
2018-10-03,26892.0
2018-10-04,26838.0
2018-10-05,26872.0
2018-10-08,26703.0
2018-10-09,26742.0
2018-10-10,26823.0
2018-10-11,27034.0
2018-10-12,26977.0
2018-10-15,27033.0
2018-10-16,27009.0
2018-10-17,26839.0
2018-10-18,26727.0
2018-10-19,26868.0
2018-10-22,26755.0
2018-10-23,26771.0
2018-10-24,26598.0
2018-10-25,26541.0
2018-10-26,26606.0
2018-10-29,26537.0
2018-10-30,26467.0
2018-10-31,26409.0
2018-11-01,26623.0
2018-11-02,26539.0
2018-11-05,26561.0
2018-11-06,26618.0
2018-11-07,26756.0
2018-11-08,26563.0
2018-11-09,26420.0
2018-11-13,26269.0
2018-11-14,26305.0
2018-11-15,26405.0
2018-11-16,26595.0
2018-11-19,26685.0
2018-11-20,26607.0
2018-11-21,26609.0
2018-11-23,26476.0
2018-11-26,26434.0
2018-11-27,26358.0
2018-11-28,26511.0
2018-11-29,26556.0
2018-11-30,26360.0
2018-12-03,26457.0
2018-12-04,26383.0
2018-12-05,26455.0
2018-12-06,26517.0
2018-12-07,26511.0
2018-12-10,26460.0
2018-12-11,26363.0
2018-12-12,26470.0
2018-12-13,26449.0
2018-12-14,26325.0
2018-12-17,26425.0
2018-12-18,26500.0
2018-12-19,26507.0
2018-12-20,26620.0
2018-12-21,26512.0
2018-12-24,26560.0
2018-12-26,26421.0
2018-12-27,26556.0
2018-12-28,26532.0
2019-01-02,26293.0
2019-01-03,26425.0
2019-01-04,26398.0
2019-01-07,26612.0
2019-01-08,26526.0
2019-01-09,26695.0
2019-01-10,26717.0
2019-01-15,26446.0
2019-01-16,26434.0
2019-01-17,26413.0
2019-01-18,26361.0
2019-01-22,26342.0
2019-01-23,26397.0
2019-01-24,26209.0
2019-01-25,26451.0
2019-01-28,26503.0
2019-01-29,26489.0
2019-01-31,26547.0
2019-02-01,26567.0
2019-02-05,26450.0
2019-02-06,26407.0
2019-02-07,26335.0
2019-02-08,26264.0
2019-02-11,26166.0
2019-02-12,26310.0
2019-02-13,26206.0
2019-02-14,26187.0
2019-02-15,26199.0
2019-02-19,26252.0
2019-02-20,26338.0
2019-02-21,26289.0
2019-02-22,26308.0
2019-02-25,26332.0
2019-02-26,26410.0
2019-02-27,26370.0
2019-02-28,26413.0
2019-03-01,26353.0
2019-03-04,26285.0
2019-03-05,26216.0
2019-03-06,26225.0
2019-03-07,26040.0
2019-03-08,26070.0
2019-03-11,26062.0
2019-03-12,26158.0
2019-03-13,26268.0
2019-03-14,26212.0
