date,exchange_rate
2014-11-24,122.73
2014-11-25,123.44
2014-11-26,123.75
2014-11-27,123.39
2014-11-28,123.16
2014-12-01,123.38
2014-12-02,123.16
2014-12-03,122.4
2014-12-04,123.1
2014-12-05,123.13
2014-12-08,123.45
2014-12-09,124.05
2014-12-10,124.65
2014-12-11,124.18
2014-12-12,125.31
2014-12-15,125.48
2014-12-16,126.18
2014-12-17,124.38
2014-12-18,123.9
2014-12-19,123.32
2014-12-22,123.31
2014-12-23,122.75
2014-12-24,123.03
2014-12-25,123.29
2014-12-26,122.86
2014-12-29,122.62
2014-12-30,122.59
2014-12-31,122.0
2015-01-01,122.04
2015-01-02,120.95
2015-01-05,120.22
2015-01-06,119.61
2015-01-07,119.24
2015-01-08,118.76
2015-01-09,119.28
2015-01-12,119.21
2015-01-13,118.64
2015-01-14,118.77
2015-01-15,117.17
2015-01-16,116.56
2015-01-19,116.95
2015-01-20,119.8
2015-01-21,120.43
2015-01-22,117.49
2015-01-23,116.19
2015-01-26,116.53
2015-01-27,117.87
2015-01-28,116.84
2015-01-29,117.39
2015-01-30,116.98
2015-02-02,117.52
2015-02-03,118.98
2015-02-04,117.73
2015-02-05,119.09
2015-02-06,117.42
2015-02-09,117.55
2015-02-10,117.41
2015-02-11,117.59
2015-02-12,118.31
2015-02-13,118.13
2015-02-16,117.82
2015-02-17,118.44
2015-02-18,119.77
2015-02-19,119.38
2015-02-20,119.51
2015-02-23,118.99
2015-02-24,120.69
2015-02-25,120.93
2015-02-26,117.26
2015-02-27,117.24
2015-03-02,117.12
2015-03-03,117.02
2015-03-04,116.0
2015-03-05,115.5
2015-03-06,113.63
2015-03-09,113.59
2015-03-10,113.52
2015-03-11,112.02
2015-03-12,112.74
2015-03-13,111.31
2015-03-16,112.22
2015-03-17,112.52
2015-03-18,115.59
2015-03-19,111.95
2015-03-20,113.49
2015-03-23,114.96
2015-03-24,114.45
2015-03-25,115.01
2015-03-26,114.1
2015-03-27,114.35
2015-03-30,113.63
2015-03-31,112.69
2015-04-01,113.02
2015-04-02,114.07
2015-04-03,115.13
2015-04-06,114.68
2015-04-07,113.52
2015-04-08,113.17
2015-04-09,111.92
2015-04-10,111.21
2015-04-13,110.9
2015-04-14,111.8
2015-04-15,112.01
2015-04-16,112.91
2015-04-17,113.38
2015-04-20,112.68
2015-04-21,112.68
2015-04-22,112.5
2015-04-23,113.53
2015-04-24,113.94
2015-04-27,113.38
2015-04-28,114.41
2015-04-29,114.31
2015-04-30,115.76
2015-05-01,115.43
2015-05-04,114.84
2015-05-05,115.2
2015-05-06,116.82
2015-05-07,116.11
2015-05-08,115.47
2015-05-11,115.61
2015-05-12,116.18
2015-05-13,117.58
2015-05-14,118.03
2015-05-15,117.42
2015-05-18,116.37
2015-05-19,114.62
2015-05-20,115.34
2015-05-21,115.45
2015-05-22,114.46
2015-05-25,114.09
2015-05-26,113.15
2015-05-27,113.34
2015-05-28,115.5
2015-05-29,116.33
2015-06-01,115.8
2015-06-02,118.12
2015-06-03,118.32
2015-06-04,117.58
2015-06-05,116.52
2015-06-08,118.31
2015-06-09,118.22
2015-06-10,119.34
2015-06-11,118.25
2015-06-12,118.54
2015-06-15,118.86
2015-06-16,118.53
2015-06-17,119.46
2015-06-18,119.73
2015-06-19,119.38
2015-06-22,119.49
2015-06-23,118.02
2015-06-24,118.1
2015-06-25,118.0
2015-06-26,117.51
2015-06-29,118.31
2015-06-30,117.48
2015-07-01,116.48
2015-07-02,117.85
2015-07-03,117.16
2015-07-06,116.56
2015-07-07,117.7
2015-07-08,118.34
2015-07-09,118.98
2015-07-10,119.88
2015-07-13,117.51
2015-07-14,117.62
2015-07-15,116.92
2015-07-16,117.79
2015-07-17,117.34
2015-07-20,117.18
2015-07-21,118.41
2015-07-22,117.92
2015-07-23,118.5
2015-07-24,118.39
2015-07-27,119.57
2015-07-28,119.27
2015-07-29,118.39
2015-07-30,118.21
2015-07-31,118.69
2015-08-03,118.35
2015-08-04,118.19
2015-08-05,118.19
2015-08-06,118.61
2015-08-07,118.94
2015-08-10,119.54
2015-08-11,119.73
2015-08-12,121.31
2015-08-13,121.04
2015-08-14,120.52
2015-08-17,120.23
2015-08-18,119.68
2015-08-19,120.65
2015-08-20,121.94
2015-08-21,123.55
2015-08-24,125.61
2015-08-25,125.21
2015-08-26,122.96
2015-08-27,121.9
2015-08-28,121.18
2015-08-31,121.45
2015-09-01,122.4
2015-09-02,122.42
2015-09-03,121.38
2015-09-04,121.64
2015-09-07,121.84
2015-09-08,121.53
2015-09-09,124.36
2015-09-10,122.33
2015-09-11,125.75
2015-09-14,125.42
2015-09-15,124.99
2015-09-16,124.36
2015-09-17,125.4
2015-09-18,124.24
2015-09-21,122.76
2015-09-22,122.79
2015-09-23,123.4
2015-09-24,123.19
2015-09-25,124.39
2015-09-28,124.89
2015-09-29,126.63
2015-09-30,124.14
2015-10-01,124.12
2015-10-02,117.47
2015-10-05,123.97
2015-10-06,124.21
2015-10-07,126.07
2015-10-08,123.61
2015-10-09,124.47
2015-10-12,124.43
2015-10-13,126.63
2015-10-14,124.51
2015-10-15,123.45
2015-10-16,123.12
2015-10-19,122.85
2015-10-20,125.15
2015-10-21,123.13
2015-10-22,120.51
2015-10-23,119.53
2015-10-26,122.61
2015-10-27,122.45
2015-10-28,121.19
2015-10-29,119.15
2015-10-30,119.34
2015-11-02,119.37
2015-11-03,120.67
2015-11-04,119.13
2015-11-05,119.18
