date,exchange_rate
2023-10-28,2.970007
2023-10-30,2.971654
2023-10-31,2.9703
2023-11-01,2.928203
2023-11-02,2.979267
2023-11-03,3.006521
2023-11-04,2.950683
2023-11-05,2.878443
2023-11-06,2.876393
2023-11-07,2.961979
2023-11-08,2.968769
2023-11-09,2.934652
2023-11-10,2.984831
2023-11-12,2.990452
2023-11-13,2.985878
2023-11-14,3.04052
2023-11-15,2.993118
2023-11-16,3.004922
2023-11-17,3.018006
2023-11-18,3.025362
2023-11-19,3.015304
2023-11-20,3.023744
2023-11-21,2.995816
2023-11-22,2.983363
2023-11-23,3.007574
2023-11-24,3.023584
2023-11-25,2.995765
2023-11-26,2.936662
2023-11-27,2.939269
2023-11-28,3.026605
2023-11-29,3.01289
2023-11-30,2.984223
2023-12-01,2.977169
2023-12-02,2.982439
2023-12-03,2.921761
2023-12-04,2.907115
2023-12-05,2.936541
2023-12-06,2.934438
2023-12-07,2.966518
2023-12-08,2.954964
2023-12-09,2.958057
2023-12-10,2.886883
2023-12-11,2.887706
2023-12-12,2.965515
2023-12-13,2.98726
2023-12-14,3.008137
2023-12-15,2.953398
2023-12-16,2.963889
2023-12-17,2.925391
2023-12-18,2.930745
2023-12-19,2.978544
2023-12-20,2.963785
2023-12-21,2.980843
2023-12-22,2.982549
2023-12-23,2.984169
2023-12-24,2.958063
2023-12-25,2.953505
2023-12-26,2.990656
2023-12-27,3.007993
2023-12-28,2.9885
2023-12-29,2.980047
2023-12-30,2.985596
2023-12-31,2.966069
2024-01-01,2.96394
2024-01-02,2.952505
2024-01-03,2.946141
2024-01-04,2.971407
2024-01-05,2.968175
2024-01-06,2.969446
2024-01-07,2.938583
2024-01-08,2.938444
2024-01-09,2.963366
2024-01-10,2.970647
2024-01-11,2.97868
2024-01-12,2.975777
2024-01-13,2.979493
2024-01-14,2.940581
2024-01-15,2.937376
2024-01-16,2.952577
2024-01-17,2.958369
2024-01-18,2.966549
2024-01-19,2.997809
2024-01-20,3.00235
2024-01-21,2.927739
2024-01-22,2.919287
2024-01-23,2.979415
2024-01-24,2.994555
2024-01-25,2.982051
2024-01-26,2.98472
2024-01-27,2.983008
2024-01-28,2.914056
2024-01-29,2.902185
2024-01-30,2.980227
2024-01-31,2.983499
2024-02-01,2.991201
2024-02-02,2.964597
2024-02-03,2.967331
2024-02-04,2.956708
2024-02-05,2.938164
2024-02-06,2.965447
2024-02-07,2.976378
2024-02-08,2.970405
2024-02-09,2.969238
2024-02-10,2.975033
2024-02-11,2.964349
2024-02-12,2.961221
2024-02-13,2.940874
2024-02-14,2.946099
2024-02-15,2.957575
2024-02-16,2.971402
2024-02-17,2.967503
2024-02-18,2.890988
2024-02-19,2.891361
2024-02-20,2.97229
2024-02-21,2.969351
2024-02-22,2.966083
2024-02-23,2.968991
2024-02-24,2.968327
2024-02-25,2.958411
2024-02-26,2.961633
2024-02-27,2.954217
2024-02-28,2.969897
2024-02-29,2.962155
2024-03-01,2.986547
2024-03-02,2.954508
2024-03-03,2.910594
2024-03-04,2.912219
2024-03-05,2.987626
2024-03-06,3.004401
2024-03-07,3.015751
2024-03-08,3.000964
2024-03-09,2.983987
2024-03-10,2.984007
2024-03-11,2.929857
2024-03-12,2.988179
2024-03-13,3.000219
2024-03-14,2.983953
2024-03-15,2.982623
2024-03-16,2.970914
2024-03-17,2.923438
2024-03-18,2.915433
2024-03-19,2.988832
2024-03-20,2.992911
2024-03-21,2.993583
2024-03-22,2.974032
2024-03-23,2.996864
2024-03-24,2.986966
2024-03-25,2.97919
2024-03-26,2.996924
2024-03-27,2.992957
2024-03-28,2.984136
2024-03-29,2.98512
2024-03-30,2.965766
2024-03-31,2.897684
2024-04-01,2.881982
2024-04-02,2.978122
2024-04-03,2.995621
2024-04-04,3.003917
2024-04-05,2.996901
2024-04-06,3.000412
