date,exchange_rate
2023-10-28,0.045765
2023-10-30,0.045671
2023-10-31,0.045719
2023-11-01,0.045928
2023-11-02,0.046753
2023-11-03,0.046251
2023-11-04,0.046251
2023-11-05,0.046348
2023-11-06,0.046544
2023-11-07,0.047267
2023-11-08,0.047481
2023-11-09,0.04717
2023-11-10,0.048125
2023-11-12,0.048125
2023-11-13,0.048482
2023-11-14,0.047162
2023-11-15,0.046282
2023-11-16,0.045706
2023-11-17,0.04601
2023-11-18,0.04601
2023-11-19,0.04598
2023-11-20,0.046679
2023-11-21,0.045946
2023-11-22,0.046056
2023-11-23,0.045686
2023-11-24,0.045008
2023-11-25,0.045008
2023-11-26,0.044989
2023-11-27,0.04445
2023-11-28,0.043933
2023-11-29,0.043851
2023-11-30,0.043085
2023-12-01,0.042742
2023-12-02,0.042719
2023-12-03,0.04273
2023-12-04,0.044211
2023-12-05,0.044672
2023-12-06,0.045045
2023-12-07,0.045348
2023-12-08,0.046802
2023-12-09,0.046825
2023-12-10,0.046764
2023-12-11,0.047154
2023-12-12,0.047406
2023-12-13,0.045678
2023-12-14,0.045512
2023-12-15,0.04569
2023-12-16,0.045688
2023-12-17,0.045669
2023-12-18,0.045901
2023-12-19,0.045655
2023-12-20,0.045356
2023-12-21,0.045121
2023-12-22,0.045581
2023-12-23,0.045564
2023-12-24,0.045564
2023-12-25,0.045494
2023-12-26,0.04558
2023-12-27,0.045779
2023-12-28,0.046074
2023-12-29,0.046376
2023-12-30,0.046459
2023-12-31,0.04646
2024-01-01,0.046426
2024-01-02,0.04627
2024-01-03,0.047425
2024-01-04,0.047513
2024-01-05,0.047203
2024-01-06,0.047239
2024-01-07,0.047239
2024-01-08,0.047388
2024-01-09,0.04759
2024-01-10,0.047874
2024-01-11,0.048292
2024-01-12,0.047318
2024-01-13,0.04726
2024-01-14,0.04726
2024-01-15,0.047149
2024-01-16,0.047432
2024-01-17,0.048234
2024-01-18,0.047798
2024-01-19,0.048209
2024-01-20,0.048256
2024-01-21,0.048256
2024-01-22,0.049341
2024-01-23,0.048325
2024-01-24,0.048025
2024-01-25,0.047374
2024-01-26,0.047687
2024-01-27,0.047643
2024-01-28,0.047643
2024-01-29,0.046795
2024-01-30,0.046819
2024-01-31,0.0467
2024-02-01,0.046907
2024-02-02,0.047541
2024-02-03,0.04767
2024-02-04,0.04767
2024-02-05,0.048078
2024-02-06,0.047921
2024-02-07,0.048469
2024-02-08,0.04774
2024-02-09,0.047781
2024-02-10,0.047688
2024-02-11,0.047688
2024-02-12,0.047453
2024-02-13,0.048593
2024-02-14,0.04802
2024-02-15,0.046975
2024-02-16,0.045951
2024-02-17,0.046033
2024-02-18,0.046033
2024-02-19,0.046874
2024-02-20,0.046861
2024-02-21,0.047261
2024-02-22,0.047534
2024-02-23,0.047069
2024-02-24,0.047222
2024-02-25,0.047222
2024-02-26,0.048268
2024-02-27,0.048179
2024-02-28,0.048359
2024-02-29,0.047634
2024-03-01,0.046617
2024-03-02,0.046847
2024-03-03,0.046847
2024-03-04,0.04562
2024-03-05,0.045769
2024-03-06,0.045038
2024-03-07,0.044995
2024-03-08,0.044973
2024-03-09,0.045019
2024-03-10,0.04502
2024-03-11,0.044775
