date,exchange_rate
2023-10-28,0.000527
2023-10-30,0.000532
2023-10-31,0.000532
2023-11-01,0.000533
2023-11-02,0.000535
2023-11-03,0.000539
2023-11-04,0.000539
2023-11-05,0.000539
2023-11-06,0.000542
2023-11-07,0.000543
2023-11-08,0.000549
2023-11-09,0.000545
2023-11-10,0.000553
2023-11-12,0.000553
2023-11-13,0.000552
2023-11-14,0.000554
2023-11-15,0.000554
2023-11-16,0.000548
2023-11-17,0.000551
2023-11-18,0.000551
2023-11-19,0.000551
2023-11-20,0.000553
2023-11-21,0.000546
2023-11-22,0.000547
2023-11-23,0.000547
2023-11-24,0.000547
2023-11-25,0.000547
2023-11-26,0.000547
2023-11-27,0.000544
2023-11-28,0.000539
2023-11-29,0.000537
2023-11-30,0.000535
2023-12-01,0.000526
2023-12-02,0.000525
2023-12-03,0.000526
2023-12-04,0.000534
2023-12-05,0.000535
2023-12-06,0.000532
2023-12-07,0.000532
2023-12-08,0.000537
2023-12-09,0.000537
2023-12-10,0.000537
2023-12-11,0.000543
2023-12-12,0.000545
2023-12-13,0.000536
2023-12-14,0.00054
2023-12-15,0.00054
2023-12-16,0.00054
2023-12-17,0.00054
2023-12-18,0.000539
2023-12-19,0.000538
2023-12-20,0.000539
2023-12-21,0.000538
2023-12-22,0.000536
2023-12-23,0.000537
2023-12-24,0.000537
2023-12-25,0.000536
2023-12-26,0.000534
2023-12-27,0.000535
2023-12-28,0.000535
2023-12-29,0.000535
2023-12-30,0.000536
2023-12-31,0.000536
2024-01-01,0.000535
2024-01-02,0.000531
2024-01-03,0.000535
2024-01-04,0.000535
2024-01-05,0.000535
2024-01-06,0.000536
2024-01-07,0.000536
2024-01-08,0.00054
2024-01-09,0.000538
2024-01-10,0.000542
2024-01-11,0.000541
2024-01-12,0.000535
2024-01-13,0.000535
2024-01-14,0.000535
2024-01-15,0.000533
2024-01-16,0.000536
2024-01-17,0.000542
2024-01-18,0.000538
2024-01-19,0.000537
2024-01-20,0.000538
2024-01-21,0.000538
2024-01-22,0.000539
2024-01-23,0.000535
2024-01-24,0.000541
2024-01-25,0.000537
2024-01-26,0.000538
2024-01-27,0.000538
2024-01-28,0.000538
2024-01-29,0.000534
2024-01-30,0.000533
2024-01-31,0.00053
2024-02-01,0.000529
2024-02-02,0.00053
2024-02-03,0.00053
2024-02-04,0.00053
2024-02-05,0.00053
2024-02-06,0.000528
2024-02-07,0.000529
2024-02-08,0.00053
2024-02-09,0.000533
2024-02-10,0.000533
2024-02-11,0.000533
2024-02-12,0.000533
2024-02-13,0.000537
2024-02-14,0.000539
2024-02-15,0.000537
2024-02-16,0.000536
2024-02-17,0.000535
2024-02-18,0.000535
2024-02-19,0.000534
2024-02-20,0.000533
2024-02-21,0.000534
2024-02-22,0.000535
2024-02-23,0.000531
2024-02-24,0.000532
2024-02-25,0.000532
2024-02-26,0.000534
2024-02-27,0.000534
2024-02-28,0.000533
2024-02-29,0.000528
2024-03-01,0.00052
2024-03-02,0.000521
2024-03-03,0.000521
2024-03-04,0.000514
2024-03-05,0.000509
2024-03-06,0.000507
2024-03-07,0.000507
2024-03-08,0.000502
2024-03-09,0.000503
2024-03-10,0.000503
2024-03-11,0.000502
2024-03-12,0.000507
2024-03-13,0.000503
2024-03-14,0.000504
2024-03-15,0.000504
2024-03-16,0.000506
2024-03-17,0.000506
2024-03-18,0.000503
2024-03-19,0.000504
2024-03-20,0.000502
2024-03-21,0.000498
2024-03-22,0.000499
2024-03-23,0.000502
2024-03-24,0.000502
2024-03-25,0.000499
2024-03-26,0.000498
2024-03-27,0.000494
2024-03-28,0.000486
2024-03-29,0.000483
2024-03-30,0.000483
2024-03-31,0.000483
2024-04-01,0.00048
2024-04-02,0.000476
2024-04-03,0.000472
2024-04-04,0.000474
2024-04-05,0.000466
2024-04-06,0.000466
2024-04-07,0.000466
2024-04-08,0.000466
2024-04-09,0.000463
2024-04-10,0.000461
2024-04-11,0.000456
2024-04-12,0.000451
2024-04-13,0.000455
2024-04-14,0.000455
2024-04-15,0.000451
2024-04-16,0.000443
2024-04-17,0.00045
2024-04-18,0.000446
2024-04-19,0.000444
2024-04-20,0.000446
2024-04-21,0.000446
2024-04-22,0.000457
2024-04-23,0.00046
2024-04-24,0.00046
2024-04-25,0.00046
