date,exchange_rate
2014-11-24,3.3416
2014-11-25,3.3547
2014-11-26,3.3678
2014-11-27,3.3755
2014-11-28,3.361
2014-12-01,3.3551
2014-12-02,3.3667
2014-12-03,3.3436
2014-12-04,3.3235
2014-12-05,3.3431
2014-12-08,3.3166
2014-12-09,3.3217
2014-12-10,3.3428
2014-12-11,3.3699
2014-12-12,3.3465
2014-12-15,3.3635
2014-12-16,3.3584
2014-12-17,3.3745
2014-12-18,3.3273
2014-12-19,3.3142
2014-12-22,3.2999
2014-12-23,3.3
2014-12-24,3.2876
2014-12-25,3.2917
2014-12-26,3.2961
2014-12-29,3.2877
2014-12-30,3.2818
2014-12-31,3.2824
2015-01-02,3.262
2015-01-05,3.2295
2015-01-06,3.2214
2015-01-07,3.2047
2015-01-08,3.1958
2015-01-09,3.1826
2015-01-12,3.2034
2015-01-13,3.1921
2015-01-14,3.1799
2015-01-15,3.1794
2015-01-16,3.1356
2015-01-19,3.1198
2015-01-20,3.1284
2015-01-21,3.1167
2015-01-22,3.1309
2015-01-23,3.0649
2015-01-26,3.0172
2015-01-27,3.0339
2015-01-28,3.0654
2015-01-29,3.0459
2015-01-30,3.0567
2015-02-02,3.0521
2015-02-03,3.0609
2015-02-04,3.0937
2015-02-05,3.0612
2015-02-06,3.0952
2015-02-09,3.0559
2015-02-10,3.0584
2015-02-11,3.055
2015-02-12,3.056
2015-02-13,3.0778
2015-02-16,3.0798
2015-02-17,3.0591
2015-02-18,3.0776
2015-02-19,3.0767
2015-02-20,3.0659
2015-02-23,3.067
2015-02-24,3.0592
2015-02-25,3.0624
2015-02-26,3.0669
2015-02-27,3.0251
2015-03-02,3.0137
2015-03-03,3.0178
2015-03-04,3.0171
2015-03-05,2.9897
2015-03-06,2.9766
2015-03-09,2.9295
2015-03-10,2.9222
2015-03-11,2.8899
2015-03-12,2.8441
2015-03-13,2.8646
2015-03-16,2.8326
2015-03-17,2.8516
2015-03-18,2.8602
2015-03-19,2.9441
2015-03-20,2.877
2015-03-23,2.9181
2015-03-24,2.9533
2015-03-25,2.9449
2015-03-26,2.9588
2015-03-27,2.9364
2015-03-30,2.9326
2015-03-31,2.9245
2015-04-01,2.9028
2015-04-02,2.9039
2015-04-03,2.9324
2015-04-06,2.9661
2015-04-07,2.9519
2015-04-08,2.9231
2015-04-09,2.9068
2015-04-10,2.8797
2015-04-13,2.8643
2015-04-14,2.8557
2015-04-15,2.869
2015-04-16,2.8963
2015-04-17,2.9096
2015-04-20,2.9179
2015-04-21,2.8976
2015-04-22,2.8948
2015-04-23,2.8916
2015-04-24,2.9173
2015-04-27,2.9354
2015-04-28,2.935
2015-04-29,2.9604
2015-04-30,3.0008
2015-05-01,3.0267
2015-05-04,3.017
2015-05-05,3.0078
2015-05-06,3.0186
2015-05-07,3.0606
2015-05-08,3.0363
2015-05-11,3.023
2015-05-12,3.0086
2015-05-13,3.0308
2015-05-14,3.0621
2015-05-15,3.0792
2015-05-18,3.0867
2015-05-19,3.0544
2015-05-20,3.0049
2015-05-21,2.9982
2015-05-22,3.0007
2015-05-25,2.9635
2015-05-26,2.9594
2015-05-27,2.938
2015-05-28,2.9407
2015-05-29,2.9585
2015-06-01,2.9536
2015-06-02,2.9488
2015-06-03,3.0061
2015-06-04,3.0389
2015-06-05,3.0251
2015-06-08,2.998
2015-06-09,3.0435
2015-06-10,3.0502
2015-06-11,3.0501
2015-06-12,3.0347
2015-06-15,3.0274
2015-06-16,3.0424
2015-06-17,3.0343
2015-06-18,3.0678
2015-06-19,3.0702
2015-06-22,3.0674
2015-06-23,3.0611
2015-06-24,3.0162
2015-06-25,3.0242
2015-06-26,3.022
2015-06-29,2.9754
2015-06-30,3.0258
2015-07-01,3.0054
2015-07-02,2.9793
2015-07-03,2.9951
2015-07-06,2.9751
2015-07-07,2.9821
2015-07-08,2.969
2015-07-09,2.9882
2015-07-10,2.9864
2015-07-13,3.0054
2015-07-14,2.9652
2015-07-15,2.968
2015-07-16,2.9517
2015-07-17,2.9367
2015-07-20,2.923
2015-07-21,2.9235
2015-07-22,2.9546
2015-07-23,2.9488
2015-07-24,2.9653
2015-07-27,2.9629
2015-07-28,2.9943
2015-07-30,2.9593
2015-07-31,2.9528
2015-08-03,2.9614
2015-08-04,2.9518
2015-08-05,2.9362
2015-08-07,2.9498
2015-08-10,2.9562
2015-08-11,2.9743
2015-08-12,2.9807
2015-08-13,3.01
2015-08-14,3.0115
2015-08-17,2.994
2015-08-18,2.9888
2015-08-19,2.9777
2015-08-20,3.0087
2015-08-21,3.0325
2015-08-24,3.0711
2015-08-25,3.1219
2015-08-26,3.1114
2015-08-27,3.0592
2015-08-28,3.0342
2015-08-31,3.0291
2015-09-01,3.0347
2015-09-02,3.0436
2015-09-03,3.0252
2015-09-04,3.0039
2015-09-07,3.0137
2015-09-08,3.0124
2015-09-09,3.0199
2015-09-10,3.0321
2015-09-11,3.0437
2015-09-14,3.0618
2015-09-15,3.0515
2015-09-16,3.0441
2015-09-17,3.0495
2015-09-18,3.0799
2015-09-21,3.0506
2015-09-22,3.0201
2015-09-23,2.9978
2015-09-24,3.0176
2015-09-25,3.0152
2015-09-28,3.0252
2015-09-29,3.0355
2015-09-30,3.0376
2015-10-01,3.0151
2015-10-02,3.0184
2015-10-05,3.0282
2015-10-06,3.0197
2015-10-07,3.0413
2015-10-08,3.0346
2015-10-09,3.0451
2015-10-12,3.0699
2015-10-13,3.0622
2015-10-14,3.0751
2015-10-15,3.0975
2015-10-16,3.0674
2015-10-19,3.0673
2015-10-20,3.0572
2015-10-21,3.0646
2015-10-22,3.0612
2015-10-23,2.9924
2015-10-26,2.9768
2015-10-27,2.9826
2015-10-28,2.9767
2015-10-29,2.9476
2015-10-30,2.9648
2015-11-02,2.9741
2015-11-03,2.9724
2015-11-04,2.958
2015-11-05,2.9326
2015-11-06,2.9379
