date,exchange_rate
2025-07-19,2.096558
2025-07-20,2.096558
2025-07-21,2.102648
2025-07-22,2.10035
2025-07-23,2.106438
2025-07-24,2.113183
2025-07-25,2.114844
2025-07-26,2.113373
2025-07-27,2.113373
2025-07-28,2.098209
2025-07-29,2.086373
2025-07-30,2.084764
2025-07-31,2.062631
2025-08-01,2.057152
2025-08-02,2.057337
2025-08-03,2.057337
2025-08-04,2.055591
2025-08-05,2.080618
2025-08-06,2.087587
2025-08-07,2.097016
2025-08-08,2.100543
2025-08-09,2.097752
2025-08-10,2.09668
2025-08-11,2.097351
2025-08-12,2.09878
2025-08-13,2.111661
2025-08-14,2.106115
2025-08-15,2.105512
2025-08-16,2.109013
2025-08-17,2.109013
2025-08-18,2.100958
2025-08-19,2.103309
2025-08-20,2.09858
2025-08-21,2.097934
2025-08-22,2.095728
2025-08-23,2.111771
2025-08-24,2.089436
2025-08-25,2.091417
2025-08-26,2.100757
2025-08-27,2.090509
2025-08-28,2.098176
2025-08-29,2.10402
2025-08-30,2.106329
2025-08-31,2.102535
2025-09-01,2.107619
2025-09-02,2.101889
2025-09-03,2.098241
2025-09-04,2.09656
2025-09-05,2.104911
2025-09-06,2.106992
2025-09-07,2.106992
2025-09-08,2.111794
2025-09-09,2.112515
2025-09-10,2.118653
2025-09-11,2.108548
2025-09-12,2.105306
2025-09-13,2.114648
2025-09-14,2.114648
2025-09-15,2.115568
2025-09-16,2.124421
2025-09-17,2.125547
2025-09-18,2.132672
2025-09-19,2.132128
2025-09-20,2.11753
2025-09-21,2.119432
2025-09-22,2.124805
2025-09-23,2.125256
2025-09-24,2.122715
2025-09-25,2.116007
2025-09-26,2.117258
2025-09-27,2.102664
2025-09-28,2.101649
2025-09-29,2.100196
2025-09-30,2.116645
2025-10-01,2.119614
2025-10-02,2.116622
2025-10-03,2.11254
2025-10-04,2.11688
2025-10-05,2.11532
2025-10-06,2.113332
2025-10-07,2.094909
2025-10-08,2.097444
2025-10-09,2.090966
2025-10-10,2.096304
2025-10-11,2.084505
2025-10-12,2.084505
2025-10-13,2.079862
2025-10-14,2.084308
2025-10-15,2.08696
2025-10-16,2.100104
2025-10-17,2.100163
2025-10-18,2.107404
2025-10-19,2.107865
2025-10-20,2.106056
2025-10-21,2.095652
2025-10-22,2.091558
2025-10-23,2.08747
2025-10-24,2.087081
2025-10-25,2.095369
2025-10-26,2.095369
2025-10-27,2.092945
2025-10-28,2.103152
2025-10-29,2.098131
2025-10-30,2.092565
2025-10-31,2.088394
2025-11-01,2.084705
2025-11-02,2.084705
2025-11-03,2.084453
2025-11-04,2.077369
2025-11-05,2.071667
2025-11-06,2.073585
2025-11-07,2.075344
2025-11-08,2.084249
2025-11-09,2.084249
2025-11-10,2.082254
2025-11-11,2.084934
2025-11-12,2.087063
2025-11-13,2.09142
2025-11-14,2.096312
2025-11-15,2.094357
2025-11-16,2.094411
2025-11-17,2.095172
2025-11-18,2.091849
2025-11-19,2.091026
2025-11-20,2.087243
2025-11-21,2.075999
2025-11-22,2.072958
2025-11-23,2.072958
2025-11-24,2.075068
2025-11-25,2.083214
2025-11-26,2.078749
2025-11-27,2.082928
2025-11-28,2.087103
2025-11-29,2.083859
2025-11-30,2.083859
2025-12-01,2.085059
2025-12-02,2.09667
2025-12-03,2.094789
2025-12-04,2.101556
2025-12-05,2.107324
