date,exchange_rate
2014-11-24,0.8492
2014-11-25,0.8495
2014-11-26,0.852
2014-12-01,0.852
2014-12-02,0.8498
2014-12-03,0.8467
2014-12-04,0.8458
2014-12-05,0.8486
2014-12-08,0.8441
2014-12-09,0.8491
2014-12-15,0.8503
2014-12-16,0.853
2014-12-17,0.8497
2014-12-18,0.8434
2014-12-19,0.8448
2014-12-22,0.8437
2014-12-23,0.8419
2014-12-24,0.8432
2014-12-29,0.8419
2014-12-30,0.8396
2014-12-31,0.838
2015-01-05,0.8312
2015-01-06,0.8314
2015-01-07,0.8277
2015-01-08,0.8251
2015-01-09,0.8266
2015-01-12,0.8262
2015-01-13,0.8245
2015-01-14,0.8238
2015-01-15,0.8202
2015-01-16,0.8146
2015-01-20,0.8154
2015-01-21,0.8161
2015-01-22,0.8164
2015-01-23,0.7992
2015-01-26,0.801
2015-01-27,0.8037
2015-01-28,0.8035
2015-01-29,0.8031
2015-01-30,0.8019
2015-02-02,0.8028
2015-02-03,0.8069
2015-02-04,0.8081
2015-02-05,0.806
2015-02-06,0.8076
2015-02-09,0.7999
2015-02-10,0.8026
2015-02-11,0.8031
2015-02-12,0.8028
2015-02-13,0.804
2015-02-17,0.8058
2015-02-18,0.8045
2015-02-19,0.8046
2015-02-20,0.8005
2015-02-23,0.8009
2015-02-24,0.8025
2015-02-25,0.8026
2015-02-26,0.8003
2015-02-27,0.7986
2015-03-02,0.798
2015-03-03,0.7957
2015-03-04,0.7934
2015-03-05,0.7922
2015-03-06,0.7876
2015-03-09,0.783
2015-03-10,0.7778
2015-03-11,0.7692
2015-03-12,0.7711
2015-03-13,0.7712
2015-03-16,0.771
2015-03-17,0.7749
2015-03-18,0.7727
2015-03-19,0.7747
2015-03-20,0.7825
2015-03-23,0.7865
2015-03-24,0.787
2015-03-25,0.7893
2015-03-26,0.7879
2015-03-27,0.7831
2015-03-30,0.7839
2015-03-31,0.7799
2015-04-01,0.7795
2015-04-02,0.7831
2015-04-03,0.778
2015-04-07,0.7829
2015-04-08,0.7832
2015-04-09,0.7803
2015-04-10,0.7712
2015-04-13,0.7716
2015-04-14,0.7705
2015-04-15,0.7707
2015-04-16,0.776
2015-04-17,0.78
2015-04-20,0.7765
2015-04-21,0.7763
2015-04-22,0.7764
2015-04-23,0.7796
2015-04-27,0.7796
2015-04-28,0.7837
2015-04-29,0.7875
2015-04-30,0.7974
2015-05-04,0.7967
2015-05-05,0.7946
2015-05-06,0.7993
2015-05-07,0.8015
2015-05-08,0.7979
2015-05-11,0.7933
2015-05-13,0.7959
2015-05-14,0.8039
2015-05-15,0.8
2015-05-18,0.8031
2015-05-19,0.7943
2015-05-20,0.7933
2015-05-21,0.7916
2015-05-22,0.7935
2015-05-26,0.7854
2015-05-27,0.7821
2015-05-28,0.7841
2015-05-29,0.7889
2015-06-01,0.7883
2015-06-02,0.7922
2015-06-03,0.7968
2015-06-04,0.803
2015-06-05,0.8004
2015-06-08,0.7993
2015-06-09,0.8013
2015-06-10,0.8013
2015-06-11,0.7988
2015-06-12,0.7998
2015-06-15,0.7988
2015-06-16,0.7972
2015-06-17,0.8008
2015-06-18,0.8047
2015-06-19,0.8002
2015-06-22,0.8026
2015-06-23,0.796
2015-06-24,0.7973
2015-06-25,0.7971
2015-06-26,0.7964
2015-06-29,0.7934
2015-06-30,0.7956
2015-07-01,0.7916
2015-07-02,0.7908
2015-07-06,0.7875
2015-07-07,0.7836
2015-07-08,0.7898
2015-07-09,0.791
2015-07-10,0.7963
2015-07-13,0.7898
2015-07-14,0.7895
2015-07-15,0.7877
2015-07-16,0.781
2015-07-17,0.7828
2015-07-20,0.7815
2015-07-21,0.7823
2015-07-22,0.7826
2015-07-23,0.7879
2015-07-24,0.7853
2015-07-27,0.7907
2015-07-28,0.789
2015-07-29,0.7884
2015-07-30,0.7857
2015-07-31,0.7863
2015-08-03,0.7854
2015-08-04,0.7866
2015-08-05,0.7829
2015-08-06,0.7824
2015-08-07,0.7863
2015-08-10,0.7878
2015-08-11,0.7916
2015-08-12,0.7958
2015-08-13,0.7931
2015-08-14,0.7959
2015-08-17,0.7931
2015-08-18,0.7902
2015-08-19,0.7897
2015-08-20,0.7965
2015-08-21,0.7998
2015-08-24,0.8089
2015-08-25,0.809
2015-08-26,0.8042
2015-08-27,0.8005
2015-08-28,0.8002
2015-08-31,0.7989
2015-09-01,0.7981
2015-09-02,0.7999
2015-09-03,0.7992
2015-09-04,0.7946
2015-09-08,0.7954
2015-09-09,0.7942
2015-09-10,0.7967
2015-09-11,0.8002
2015-09-14,0.8014
2015-09-15,0.8026
2015-09-16,0.7984
2015-09-17,0.8014
2015-09-18,0.8051
2015-09-21,0.7978
2015-09-22,0.7943
2015-09-23,0.7949
2015-09-24,0.7997
2015-09-25,0.7956
2015-09-28,0.7966
2015-09-29,0.7976
2015-09-30,0.7981
2015-10-01,0.7965
2015-10-02,0.7966
2015-10-05,0.7998
2015-10-06,0.7998
2015-10-07,0.8008
2015-10-08,0.7987
2015-10-09,0.805
2015-10-13,0.8057
2015-10-14,0.8068
2015-10-15,0.8067
2015-10-16,0.804
2015-10-19,0.8025
2015-10-20,0.8041
2015-10-21,0.8036
2015-10-22,0.8015
2015-10-23,0.7915
2015-10-26,0.7884
2015-10-27,0.7908
2015-10-28,0.7927
2015-10-29,0.7846
2015-10-30,0.7887
2015-11-02,0.7892
2015-11-03,0.7867
2015-11-04,0.7848
2015-11-05,0.783
2015-11-06,0.7831
2015-11-09,0.7799
2015-11-10,0.7763
2015-11-11,0.7766
2015-11-12,0.7772
2015-11-13,0.7777
2015-11-16,0.7763
2015-11-17,0.7743
2015-11-18,0.774
2015-11-19,0.7739
2015-11-20,0.7746
2015-11-23,0.7728
2015-11-24,0.7736
2015-11-25,0.7707
2015-11-30,0.771
2015-12-01,0.7715
2015-12-02,0.7727
2015-12-03,0.779
2015-12-04,0.7862
2015-12-07,0.7819
2015-12-08,0.7857
2015-12-09,0.7882
2015-12-10,0.7865
2015-12-11,0.7866
2015-12-14,0.7889
2015-12-15,0.7885
2015-12-16,0.7876
2015-12-17,0.7839
2015-12-18,0.7832
2015-12-21,0.785
2015-12-22,0.7891
2015-12-23,0.7866
2015-12-24,0.788
2015-12-28,0.7884
2015-12-29,0.7885
2015-12-30,0.7878
2015-12-31,0.7857
2016-01-04,0.7854
2016-01-05,0.7789
2016-01-06,0.7786
2016-01-07,0.7851
2016-01-08,0.7846
2016-01-11,0.7858
2016-01-12,0.784
2016-01-13,0.7838
2016-01-14,0.7865
2016-01-15,0.7888
2016-01-19,0.7871
2016-01-20,0.789
2016-01-21,0.7884
2016-01-22,0.7836
2016-01-25,0.785
2016-01-26,0.7864
2016-01-27,0.7883
2016-01-28,0.7887
2016-01-29,0.791
2016-02-01,0.7899
2016-02-02,0.7899
2016-02-03,0.7898
2016-02-04,0.8019
2016-02-05,0.8011
2016-02-08,0.7962
2016-02-09,0.8028
2016-02-11,0.8057
2016-02-12,0.802
2016-02-16,0.7987
2016-02-17,0.7975
2016-02-18,0.7944
2016-02-19,0.7951
2016-02-22,0.7931
2016-02-23,0.7918
2016-02-24,0.7923
2016-02-25,0.7937
2016-02-26,0.7927
2016-02-29,0.7882
2016-03-01,0.7866
2016-03-02,0.7865
2016-03-03,0.7885
2016-03-07,0.7898
2016-03-08,0.7929
2016-03-09,0.7897
2016-03-10,0.782
2016-03-11,0.7951
2016-03-14,0.7968
2016-03-15,0.7971
2016-03-16,0.7947
2016-03-17,0.8035
2016-03-18,0.8021
2016-03-21,0.8021
2016-03-22,0.8
2016-03-23,0.799
2016-03-24,0.7991
2016-03-29,0.8003
2016-03-30,0.8051
2016-03-31,0.8081
2016-04-01,0.8113
2016-04-04,0.8088
2016-04-05,0.8074
2016-04-06,0.8063
2016-04-07,0.8065
2016-04-08,0.8068
2016-04-11,0.8068
2016-04-12,0.8064
2016-04-13,0.803
2016-04-14,0.8014
2016-04-15,0.8028
2016-04-18,0.8033
2016-04-19,0.8047
2016-04-20,0.8063
2016-04-21,0.8063
2016-04-22,0.8013
2016-04-25,0.8014
2016-04-26,0.8016
2016-04-27,0.802
2016-04-28,0.8036
2016-04-29,0.8045
2016-05-02,0.8075
2016-05-03,0.8107
2016-05-04,0.8103
2016-05-05,0.8075
2016-05-06,0.8062
2016-05-09,0.8058
2016-05-10,0.8058
2016-05-11,0.8072
2016-05-12,0.806
2016-05-13,0.8043
2016-05-16,0.8034
2016-05-17,0.8027
2016-05-18,0.801
2016-05-19,0.7961
2016-05-20,0.798
2016-05-23,0.7981
2016-05-24,0.7946
2016-05-25,0.7939
2016-05-26,0.7943
2016-05-27,0.7944
2016-05-31,0.7951
2016-06-01,0.7966
2016-06-02,0.7963
2016-06-06,0.8037
2016-06-07,0.8021
2016-06-08,0.8036
2016-06-09,0.8022
2016-06-10,0.8009
2016-06-13,0.8003
2016-06-14,0.7983
2016-06-15,0.7986
2016-06-16,0.7941
2016-06-17,0.7978
2016-06-20,0.7996
2016-06-21,0.7976
2016-06-22,0.7967
2016-06-23,0.801
2016-06-24,0.7915
2016-06-27,0.7903
2016-06-28,0.7935
2016-06-29,0.7945
2016-06-30,0.7937
2016-07-01,0.7977
2016-07-05,0.7979
