date,exchange_rate
2023-10-28,655.901591
2023-10-30,659.437213
2023-10-31,656.963553
2023-11-01,652.4851
2023-11-02,653.678331
2023-11-03,656.014713
2023-11-04,656.014713
2023-11-05,655.52953
2023-11-06,654.479118
2023-11-07,653.096193
2023-11-08,657.031195
2023-11-09,653.322031
2023-11-10,656.274408
2023-11-12,655.903207
2023-11-13,655.944889
2023-11-14,667.051274
2023-11-15,663.979093
2023-11-16,664.203268
2023-11-17,668.085861
2023-11-18,655.772561
2023-11-19,655.343458
2023-11-20,657.973853
2023-11-21,653.608407
2023-11-22,654.707546
2023-11-23,655.812494
2023-11-24,657.506734
2023-11-25,655.882452
2023-11-26,655.609029
2023-11-27,657.826658
2023-11-28,658.099791
2023-11-29,656.714233
2023-11-30,654.462512
2023-12-01,654.648503
2023-12-02,655.488487
2023-12-03,655.653044
2023-12-04,651.176503
2023-12-05,654.820655
2023-12-06,654.008215
2023-12-07,656.910267
2023-12-08,654.907038
2023-12-09,655.956545
2023-12-10,655.63442
2023-12-11,655.438388
2023-12-12,657.381435
2023-12-13,661.138751
2023-12-14,665.642574
2023-12-15,656.357454
2023-12-16,655.834071
2023-12-17,655.56496
2023-12-18,656.493909
2023-12-19,659.953389
2023-12-20,654.703144
2023-12-21,658.646058
2023-12-22,655.75414
2023-12-23,655.793151
2023-12-24,655.793407
2023-12-25,656.044027
2023-12-26,658.058117
2023-12-27,659.125023
2023-12-28,656.087289
2023-12-29,653.757579
2023-12-30,655.901203
2023-12-31,655.902847
2024-01-01,656.026471
2024-01-02,645.079336
2024-01-03,649.219181
2024-01-04,655.76463
2024-01-05,655.739549
2024-01-06,655.729376
2024-01-07,655.729611
2024-01-08,655.625465
2024-01-09,655.420302
2024-01-10,656.937881
2024-01-11,656.462999
2024-01-12,653.99251
2024-01-13,655.77508
2024-01-14,655.777202
2024-01-15,655.600394
2024-01-16,649.018857
2024-01-17,651.891902
2024-01-18,651.267741
2024-01-19,655.13247
2024-01-20,655.902828
2024-01-21,655.904015
2024-01-22,656.252013
2024-01-23,648.013371
2024-01-24,655.989769
2024-01-25,651.300234
2024-01-26,658.566581
2024-01-27,655.903422
2024-01-28,655.903077
2024-01-29,656.197521
2024-01-30,657.774856
2024-01-31,658.746935
2024-02-01,660.523458
2024-02-02,649.799297
2024-02-03,650.564716
2024-02-04,650.56502
2024-02-05,653.462881
2024-02-06,655.309257
2024-02-07,655.559917
2024-02-08,655.686892
2024-02-09,656.376413
2024-02-10,656.143976
2024-02-11,656.144156
2024-02-12,654.462669
2024-02-13,650.921646
2024-02-14,656.016181
2024-02-15,657.43613
2024-02-16,657.622031
2024-02-17,657.433914
2024-02-18,655.963604
2024-02-19,655.956987
2024-02-20,659.359504
2024-02-21,658.123669
2024-02-22,654.232333
2024-02-23,654.196174
2024-02-24,655.784145
2024-02-25,655.784476
2024-02-26,655.457245
2024-02-27,656.890504
2024-02-28,655.829063
2024-02-29,653.735487
2024-03-01,657.563097
2024-03-02,655.724102
2024-03-03,655.727465
2024-03-04,656.21759
2024-03-05,656.272045
2024-03-06,657.440185
2024-03-07,659.271974
2024-03-08,657.81593
2024-03-09,655.894802
2024-03-10,655.899193
2024-03-11,654.25892
2024-03-12,654.76574
2024-03-13,656.543566
2024-03-14,652.698987
2024-03-15,655.765489
2024-03-16,656.443896
2024-03-17,656.443956
2024-03-18,654.836561
2024-03-19,654.035697
2024-03-20,656.279656
2024-03-21,652.913341
2024-03-22,652.231541
2024-03-23,655.903424
2024-03-24,655.904697
2024-03-25,654.999474
2024-03-26,654.734923
2024-03-27,655.128037
2024-03-28,652.624996
2024-03-29,656.023912
2024-03-30,655.848559
2024-03-31,655.848673
2024-04-01,653.603568
2024-04-02,655.719696
2024-04-03,658.863225
2024-04-04,660.313532
2024-04-05,655.969222
2024-04-06,655.851007
2024-04-07,655.851226
2024-04-08,656.236816
2024-04-09,657.146447
2024-04-10,648.333291
2024-04-11,655.210352
2024-04-12,655.576215
2024-04-13,654.647945
2024-04-14,655.843116
2024-04-15,652.448572
2024-04-16,655.449686
2024-04-17,656.270182
2024-04-18,657.322825
2024-04-19,655.562165
2024-04-20,655.718481
2024-04-21,655.718481
2024-04-22,655.486607
2024-04-23,658.011288
2024-04-24,655.991326
2024-04-25,657.638016
2024-04-26,653.351351
2024-04-27,656.025817
2024-04-28,656.025817
2024-04-29,655.519548
2024-04-30,651.951868
2024-05-01,656.442456
2024-05-02,656.24839
2024-05-03,657.127185
2024-05-04,655.853163
2024-05-05,655.853163
2024-05-06,655.973216
2024-05-07,655.560646
2024-05-08,654.34613
2024-05-09,658.331584
2024-05-10,655.725906
2024-05-11,656.432782
2024-05-12,655.866918
2024-05-13,656.629705
2024-05-14,657.181894
2024-05-15,659.555129
2024-05-16,661.557597
2024-05-17,655.038471
2024-05-18,655.889827
2024-05-19,655.889827
2024-05-20,655.897629
2024-05-21,655.10074
2024-05-22,652.820924
2024-05-23,654.765581
2024-05-24,654.392285
2024-05-25,656.036288
2024-05-26,656.036288
2024-05-27,655.767176
2024-05-28,655.228282
2024-05-29,654.392746
2024-05-30,655.58609
2024-05-31,655.834818
2024-06-01,655.89877
2024-06-02,655.89877
2024-06-03,658.739146
2024-06-04,657.571787
2024-06-05,656.061636
2024-06-06,656.687983
2024-06-07,651.011299
2024-06-08,655.761148
2024-06-09,655.761148
2024-06-10,656.118723
2024-06-11,654.579932
2024-06-12,661.171256
2024-06-13,655.514109
2024-06-14,655.822565
2024-06-15,655.732644
2024-06-16,655.732644
2024-06-17,656.562438
2024-06-18,657.198268
2024-06-19,655.707711
2024-06-20,654.938385
2024-06-21,656.16364
2024-06-22,655.973442
2024-06-23,655.973442
2024-06-24,655.900862
2024-06-25,654.836592
2024-06-26,655.984865
2024-06-27,656.94989
2024-06-28,655.858603
2024-06-29,656.638902
2024-06-30,655.977332
2024-07-01,655.255355
2024-07-02,656.654723
2024-07-03,659.01675
2024-07-04,656.462174
2024-07-05,655.557349
2024-07-06,656.025528
2024-07-07,656.025528
2024-07-08,656.480853
2024-07-09,655.876541
2024-07-10,656.017444
2024-07-11,657.360747
2024-07-12,656.332582
2024-07-13,655.900438
2024-07-14,655.900438
2024-07-15,656.129583
2024-07-16,655.078282
2024-07-17,656.048878
2024-07-18,654.502367
2024-07-19,655.725747
2024-07-20,656.026137
2024-07-21,656.026137
2024-07-22,655.321495
2024-07-23,655.190183
2024-07-24,657.496905
2024-07-25,655.549795
2024-07-26,656.442353
2024-07-27,655.957891
2024-07-28,655.957891
2024-07-29,654.905355
2024-07-30,654.707779
2024-07-31,656.196222
2024-08-01,656.637354
2024-08-02,660.294896
2024-08-03,655.900438
2024-08-04,655.900438
2024-08-05,657.63689
2024-08-06,657.043864
2024-08-07,656.109785
2024-08-08,653.913631
2024-08-09,656.50761
2024-08-10,655.89353
2024-08-11,655.65034
2024-08-12,656.016717
2024-08-13,658.022533
2024-08-14,656.903538
2024-08-15,652.644124
2024-08-16,656.427583
2024-08-17,655.896232
2024-08-18,655.896232
2024-08-19,655.798728
2024-08-20,657.126788
2024-08-21,656.196381
2024-08-22,656.016627
2024-08-23,655.488863
2024-08-24,655.905261
2024-08-25,655.905261
2024-08-26,654.998422
2024-08-27,655.188947
2024-08-28,655.085846
2024-08-29,655.284235
2024-08-30,655.014469
2024-08-31,663.091334
2024-09-01,655.789397
2024-09-02,656.133197
2024-09-03,657.165296
2024-09-04,656.345911
2024-09-05,655.9584
2024-09-06,654.289887
2024-09-07,655.843063
2024-09-08,655.843063
2024-09-09,656.169416
2024-09-10,654.941679
2024-09-11,653.989035
2024-09-12,657.104342
2024-09-13,656.218185
2024-09-14,655.78697
2024-09-15,655.78697
2024-09-16,656.612667
2024-09-17,656.55304
2024-09-18,655.871541
2024-09-19,656.193395
2024-09-20,656.504624
2024-09-21,655.832674
2024-09-22,655.832674
2024-09-23,653.305749
2024-09-24,657.218653
2024-09-25,655.306914
2024-09-26,656.738171
2024-09-27,655.729253
2024-09-28,657.249161
2024-09-29,657.249161
2024-09-30,656.744399
2024-10-01,652.893857
2024-10-02,656.139181
2024-10-03,649.378394
2024-10-04,655.689341
2024-10-05,655.910459
2024-10-06,655.910459
2024-10-07,655.741532
2024-10-08,656.248851
2024-10-09,655.409161
2024-10-10,652.265815
2024-10-11,655.614488
2024-10-12,655.909092
2024-10-13,655.909092
2024-10-14,656.298063
2024-10-15,655.729843
2024-10-16,655.312277
2024-10-17,655.911951
2024-10-18,656.910103
2024-10-19,655.820981
2024-10-20,655.820981
2024-10-21,654.928594
2024-10-22,656.603169
2024-10-23,654.739287
2024-10-24,656.524018
2024-10-25,656.276566
2024-10-26,655.854631
2024-10-27,655.854631
2024-10-28,656.909279
2024-10-29,656.131214
2024-10-30,656.927215
2024-10-31,657.417591
2024-11-01,654.537626
2024-11-02,655.571864
2024-11-03,655.914554
2024-11-04,655.947468
2024-11-05,654.078994
2024-11-06,647.855051
2024-11-07,657.84607
2024-11-08,655.320516
2024-11-09,655.905833
2024-11-10,655.905833
2024-11-11,653.459818
2024-11-12,654.343395
2024-11-13,655.878195
2024-11-14,653.727319
2024-11-15,657.827803
2024-11-16,655.902604
2024-11-17,655.902604
2024-11-18,657.299276
2024-11-19,652.76015
2024-11-20,653.539934
2024-11-21,654.332507
2024-11-22,652.065954
2024-11-23,655.880824
2024-11-24,655.880824
2024-11-25,655.944046
2024-11-26,659.188492
2024-11-27,657.731641
2024-11-28,655.332314
2024-11-29,656.032637
2024-11-30,655.752894
2024-12-01,655.752894
2024-12-02,655.665717
2024-12-03,658.138436
2024-12-04,656.115447
2024-12-05,656.77706
2024-12-06,658.930257
2024-12-07,655.978749
2024-12-08,655.978749
2024-12-09,657.811249
2024-12-10,654.551219
2024-12-11,653.423091
2024-12-12,655.909444
2024-12-13,656.203045
2024-12-14,655.785249
2024-12-15,655.785249
2024-12-16,654.272297
2024-12-17,654.222262
2024-12-18,655.650038
2024-12-19,657.808659
2024-12-20,657.161962
2024-12-21,658.209448
2024-12-22,655.752242
2024-12-23,653.36751
2024-12-24,655.544186
2024-12-25,656.144446
2024-12-26,655.392739
2024-12-27,656.590409
2024-12-28,656.087323
2024-12-29,656.087323
2024-12-30,657.380006
2024-12-31,656.337107
2025-01-01,652.874153
2025-01-02,647.373745
2025-01-03,657.965094
2025-01-04,655.892623
2025-01-05,655.892623
2025-01-06,660.914894
2025-01-07,658.860848
2025-01-08,653.83687
2025-01-09,653.359222
2025-01-10,654.671303
2025-01-11,655.850079
2025-01-12,655.850079
2025-01-13,655.490752
2025-01-14,656.538019
2025-01-15,657.815185
2025-01-16,656.051935
2025-01-17,656.152462
2025-01-18,656.569495
2025-01-19,656.569495
2025-01-20,656.959842
2025-01-21,654.321213
2025-01-22,658.75403
2025-01-23,656.307298
2025-01-24,660.546597
2025-01-25,655.8412
2025-01-26,655.8412
2025-01-27,659.079745
2025-01-28,655.349918
2025-01-29,654.238588
2025-01-30,654.758978
2025-01-31,653.97511
2025-02-01,654.83232
2025-02-02,655.935029
2025-02-03,656.699956
2025-02-04,656.591368
2025-02-05,659.272635
2025-02-06,652.115355
2025-02-07,655.643638
2025-02-08,655.745981
2025-02-09,655.745981
2025-02-10,657.159057
2025-02-11,656.821558
2025-02-12,659.113958
2025-02-13,658.072026
2025-02-14,657.367942
2025-02-15,655.89704
2025-02-16,655.89704
2025-02-17,654.617899
2025-02-18,655.701053
2025-02-19,653.925387
2025-02-20,656.585778
2025-02-21,654.851492
2025-02-22,656.602993
2025-02-23,656.269732
2025-02-24,652.905255
2025-02-25,655.493122
2025-02-26,654.759807
2025-02-27,653.588804
2025-02-28,654.670418
2025-03-01,654.522097
2025-03-02,654.354545
2025-03-03,657.345504
2025-03-04,657.510075
2025-03-05,665.56066
2025-03-06,654.255469
2025-03-07,658.897837
2025-03-08,655.959187
2025-03-09,655.959187
2025-03-10,657.515654
2025-03-11,658.354431
2025-03-12,656.745207
2025-03-13,654.922051
2025-03-14,656.728531
2025-03-15,655.950477
2025-03-16,655.950477
2025-03-17,657.347111
2025-03-18,657.552181
2025-03-19,653.448431
2025-03-20,653.935253
2025-03-21,654.930603
2025-03-22,660.079051
2025-03-23,655.94164
2025-03-24,656.578543
2025-03-25,656.074052
2025-03-26,656.270922
2025-03-27,655.205897
2025-03-28,654.367729
2025-03-29,655.838528
2025-03-30,658.225103
2025-03-31,655.92835
2025-04-01,654.386162
2025-04-02,657.027488
2025-04-03,664.388023
2025-04-04,651.940739
2025-04-05,655.777467
2025-04-06,656.006063
2025-04-07,656.644946
2025-04-08,654.551096
2025-04-09,657.207053
2025-04-10,659.39862
2025-04-11,661.582472
2025-04-12,655.91143
2025-04-13,655.91143
2025-04-14,658.743653
2025-04-15,654.709986
2025-04-16,660.363214
2025-04-17,655.310814
2025-04-18,653.910815
2025-04-19,653.911048
2025-04-20,653.911048
2025-04-21,653.910858
2025-04-22,661.300143
2025-04-23,658.132291
2025-04-24,658.18175
2025-04-25,656.002969
2025-04-26,656.140581
2025-04-27,654.945838
2025-04-28,655.456848
2025-04-29,655.535318
2025-04-30,655.317955
2025-05-01,655.673602
2025-05-02,657.064829
2025-05-03,655.773937
2025-05-04,655.773937
2025-05-05,657.852223
2025-05-06,651.476439
2025-05-07,654.579121
2025-05-08,650.036159
2025-05-09,653.340154
2025-05-10,647.649041
2025-05-11,655.904864
2025-05-12,648.420921
2025-05-13,655.877947
2025-05-14,647.540308
2025-05-15,645.519478
2025-05-16,646.368588
2025-05-17,655.936725
2025-05-18,655.936725
2025-05-19,660.648332
2025-05-20,657.571924
2025-05-21,657.425667
2025-05-22,654.481262
2025-05-23,658.311623
2025-05-24,656.046065
2025-05-25,656.046065
2025-05-26,655.12631
2025-05-27,653.020742
2025-05-28,656.046984
2025-05-29,653.278035
2025-05-30,658.749856
2025-05-31,656.74017
2025-06-01,655.846154
2025-06-02,659.567176
2025-06-03,654.277582
2025-06-04,656.532889
2025-06-05,655.490865
2025-06-06,653.908381
2025-06-07,656.011859
2025-06-08,656.011859
2025-06-09,657.850164
2025-06-10,653.205708
2025-06-11,655.846189
2025-06-12,657.469236
2025-06-13,655.925142
2025-06-14,655.945383
2025-06-15,655.945383
