date,exchange_rate
2014-11-24,267.23
2014-11-25,267.96
2014-11-26,268.64
2014-11-27,267.85
2014-11-28,267.68
2014-12-01,267.86
2014-12-02,265.95
2014-12-03,264.37
2014-12-04,265.89
2014-12-05,263.77
2014-12-08,264.52
2014-12-09,265.72
2014-12-10,267.35
2014-12-11,266.27
2014-12-12,267.82
2014-12-15,267.25
2014-12-16,268.69
2014-12-17,264.91
2014-12-18,263.84
2014-12-19,262.61
2014-12-22,262.64
2014-12-23,261.45
2014-12-24,261.98
2014-12-25,262.55
2014-12-26,261.63
2014-12-29,261.17
2014-12-30,261.12
2014-12-31,259.86
2015-01-01,259.94
2015-01-02,257.74
2015-01-05,256.19
2015-01-06,254.89
2015-01-07,254.17
2015-01-08,253.21
2015-01-09,254.13
2015-01-12,254.17
2015-01-13,252.76
2015-01-14,253.23
2015-01-15,249.64
2015-01-16,248.34
2015-01-19,249.36
2015-01-20,248.19
2015-01-21,249.51
2015-01-22,243.37
2015-01-23,240.72
2015-01-26,241.5
2015-01-27,244.28
2015-01-28,242.16
2015-01-29,243.29
2015-01-30,242.43
2015-02-02,243.45
2015-02-03,246.34
2015-02-04,243.64
2015-02-05,246.45
2015-02-06,243.0
2015-02-09,243.26
2015-02-10,242.99
2015-02-11,243.36
2015-02-12,244.84
2015-02-13,244.46
2015-02-16,243.76
2015-02-17,245.11
2015-02-18,244.91
2015-02-19,244.11
2015-02-20,244.38
2015-02-23,243.55
2015-02-24,243.55
2015-02-25,244.27
2015-02-26,240.47
2015-02-27,240.6
2015-03-02,240.18
2015-03-03,240.09
2015-03-04,238.0
2015-03-05,236.96
2015-03-06,233.03
2015-03-09,232.95
2015-03-10,229.61
2015-03-11,226.65
2015-03-12,228.15
2015-03-13,225.59
2015-03-16,227.0
2015-03-17,227.48
2015-03-18,232.61
2015-03-19,229.14
2015-03-20,232.29
2015-03-23,235.41
2015-03-24,234.31
2015-03-25,235.51
2015-03-26,233.55
2015-03-27,234.06
2015-03-30,232.58
2015-03-31,230.65
2015-04-01,231.34
2015-04-02,233.66
2015-04-03,235.77
2015-04-06,234.84
2015-04-07,232.47
2015-04-08,231.63
2015-04-09,229.08
2015-04-10,227.68
2015-04-13,227.06
2015-04-14,228.85
2015-04-15,229.33
2015-04-16,231.1
2015-04-17,232.1
2015-04-20,230.54
2015-04-21,230.64
2015-04-22,230.21
2015-04-23,232.32
2015-04-24,233.29
2015-04-27,233.58
2015-04-28,235.64
2015-04-29,238.64
2015-04-30,241.08
2015-05-01,240.45
2015-05-04,239.4
2015-05-05,240.15
2015-05-06,243.52
2015-05-07,241.8
2015-05-08,240.37
2015-05-11,239.49
2015-05-12,240.79
2015-05-13,243.85
2015-05-14,244.98
2015-05-15,245.96
2015-05-18,243.04
2015-05-19,239.4
2015-05-20,238.35
2015-05-21,238.58
2015-05-22,236.43
2015-05-25,235.67
2015-05-26,233.84
2015-05-27,234.17
2015-05-28,235.62
2015-05-29,236.03
2015-06-01,234.68
2015-06-02,239.48
2015-06-03,242.07
2015-06-04,240.54
2015-06-05,238.53
2015-06-08,242.34
2015-06-09,242.19
2015-06-10,243.23
2015-06-11,241.47
2015-06-12,241.71
2015-06-15,242.25
2015-06-16,241.57
2015-06-17,243.47
2015-06-18,244.25
2015-06-19,243.87
2015-06-22,243.64
2015-06-23,239.91
2015-06-24,240.78
2015-06-25,240.61
2015-06-26,239.77
2015-06-29,240.89
2015-06-30,239.14
2015-07-01,237.4
2015-07-02,238.04
2015-07-03,238.79
2015-07-06,237.44
2015-07-07,236.34
2015-07-08,237.84
2015-07-09,237.48
2015-07-10,239.54
2015-07-13,236.4
2015-07-14,236.49
2015-07-15,235.23
2015-07-16,233.63
2015-07-17,232.9
2015-07-20,232.48
2015-07-21,234.88
2015-07-22,234.65
2015-07-23,235.9
2015-07-24,235.71
2015-07-27,238.09
2015-07-28,237.56
2015-07-29,235.91
2015-07-30,234.8
2015-07-31,235.85
2015-08-03,235.2
2015-08-04,233.9
2015-08-05,234.08
2015-08-06,234.68
2015-08-07,235.32
2015-08-10,236.88
2015-08-11,237.47
2015-08-12,239.62
2015-08-13,239.46
2015-08-14,238.58
2015-08-17,237.92
2015-08-18,236.78
2015-08-19,238.7
2015-08-20,241.3
2015-08-21,244.69
2015-08-24,248.73
2015-08-25,247.77
2015-08-26,243.38
2015-08-27,241.45
2015-08-28,240.13
2015-08-31,240.78
2015-09-01,242.78
2015-09-02,240.93
2015-09-03,238.88
2015-09-04,239.5
2015-09-07,240.07
2015-09-08,240.69
2015-09-09,240.98
2015-09-10,242.48
2015-09-11,243.57
2015-09-14,242.89
2015-09-15,242.1
2015-09-16,242.51
2015-09-17,245.55
2015-09-18,242.89
2015-09-21,240.27
2015-09-22,238.97
2015-09-23,240.27
2015-09-24,240.03
2015-09-25,240.4
2015-09-28,241.25
2015-09-29,241.45
2015-09-30,239.92
2015-10-01,240.37
2015-10-02,240.78
2015-10-05,240.29
2015-10-06,242.02
2015-10-07,241.36
2015-10-08,242.16
2015-10-09,243.9
2015-10-12,243.92
2015-10-13,244.5
2015-10-14,246.4
2015-10-15,244.29
2015-10-16,243.7
2015-10-19,243.21
2015-10-20,243.79
2015-10-21,243.54
2015-10-22,238.42
2015-10-23,236.65
2015-10-26,237.5
2015-10-27,237.12
2015-10-28,234.74
2015-10-29,235.96
2015-10-30,236.45
2015-11-02,236.55
2015-11-03,235.43
2015-11-04,233.34
2015-11-05,233.6
2015-11-06,230.57
2015-11-09,230.98
2015-11-10,230.37
2015-11-11,230.85
2015-11-12,232.13
2015-11-13,231.35
2015-11-16,227.24
2015-11-17,228.88
2015-11-18,228.87
2015-11-19,230.48
2015-11-20,228.63
2015-11-23,228.43
2015-11-24,228.61
2015-11-25,228.15
2015-11-26,227.81
2015-11-27,227.46
2015-11-30,226.98
2015-12-01,228.21
2015-12-02,227.85
2015-12-03,234.74
2015-12-04,233.39
2015-12-07,232.62
2015-12-08,234.01
2015-12-09,236.67
2015-12-10,234.97
2015-12-11,236.04
2015-12-14,236.23
2015-12-15,234.82
2015-12-16,234.29
2015-12-17,232.72
2015-12-18,233.34
2015-12-21,234.7
2015-12-22,235.48
2015-12-23,234.25
2015-12-24,235.77
2015-12-25,235.75
2015-12-28,233.34
2015-12-29,234.59
2015-12-30,234.93
2015-12-31,233.24
2016-01-01,230.84
2016-01-04,232.55
2016-01-05,230.87
2016-01-06,231.43
2016-01-07,234.57
2016-01-08,234.6
2016-01-11,233.19
2016-01-12,232.88
2016-01-13,233.5
2016-01-14,233.46
2016-01-15,234.46
2016-01-18,234.16
2016-01-19,234.36
2016-01-20,233.8
2016-01-21,233.56
2016-01-22,231.77
2016-01-25,232.93
2016-01-26,233.33
2016-01-27,233.99
2016-01-28,234.73
2016-01-29,232.32
2016-02-01,233.64
2016-02-02,234.59
2016-02-03,237.81
2016-02-04,240.57
2016-02-05,239.75
2016-02-08,240.55
2016-02-09,242.49
2016-02-10,242.22
2016-02-11,242.49
2016-02-12,241.5
2016-02-15,239.74
2016-02-16,239.04
2016-02-17,238.77
2016-02-18,238.31
2016-02-19,238.81
2016-02-22,236.75
2016-02-23,236.49
2016-02-24,236.4
2016-02-25,236.77
2016-02-26,234.85
2016-02-29,233.55
2016-03-01,233.41
2016-03-02,233.41
