date,exchange_rate
2014-11-24,13.6934
2014-11-25,13.6522
2014-11-26,13.6935
2014-11-27,13.663
2014-11-28,13.7157
2014-12-01,13.7093
2014-12-02,13.7674
2014-12-03,13.7991
2014-12-04,13.86
2014-12-05,13.9131
2014-12-08,14.2002
2014-12-09,14.1482
2014-12-10,14.3536
2014-12-11,14.41
2014-12-12,14.429
2014-12-15,14.5577
2014-12-16,14.5667
2014-12-17,14.3483
2014-12-18,14.1902
2014-12-19,14.1434
2014-12-22,14.1341
2014-12-23,14.1694
2014-12-24,14.1979
2014-12-25,14.1987
2014-12-26,14.2034
2014-12-29,14.1153
2014-12-30,14.0544
2014-12-31,13.9933
2015-01-01,13.9731
2015-01-02,14.0479
2015-01-05,13.9666
2015-01-06,13.9107
2015-01-07,13.8183
2015-01-08,13.6473
2015-01-09,13.6012
2015-01-12,13.6232
2015-01-13,13.5605
2015-01-14,13.4946
2015-01-15,13.417
2015-01-16,13.3647
2015-01-19,13.4881
2015-01-20,13.3827
2015-01-21,13.3723
2015-01-22,12.96
2015-01-23,12.7803
2015-01-26,12.8672
2015-01-27,13.1604
2015-01-28,13.0509
2015-01-29,13.0822
2015-01-30,13.1531
2015-02-02,13.0251
2015-02-03,13.0347
2015-02-04,12.9925
2015-02-05,12.933
2015-02-06,12.9865
2015-02-09,13.1172
2015-02-10,13.2131
2015-02-11,13.3882
2015-02-12,13.3449
2015-02-13,13.2602
2015-02-16,13.2081
2015-02-17,13.3125
2015-02-18,13.2155
2015-02-19,13.2574
2015-02-20,13.2361
2015-02-23,13.172
2015-02-24,13.0174
2015-02-25,13.0031
2015-02-26,12.9005
2015-02-27,13.0452
2015-03-02,13.1507
2015-03-03,13.1384
2015-03-04,13.0528
2015-03-05,13.052
2015-03-06,13.0571
2015-03-09,13.1158
2015-03-10,13.1967
2015-03-11,12.9269
2015-03-12,13.04
2015-03-13,13.1021
2015-03-16,13.0929
2015-03-17,13.0813
2015-03-18,13.082
2015-03-19,13.1148
2015-03-20,12.9895
2015-03-23,13.0227
2015-03-24,12.888
2015-03-25,12.983
2015-03-26,13.0477
2015-03-27,13.1209
2015-03-30,13.1402
2015-03-31,13.0121
2015-04-01,12.9042
2015-04-02,12.9793
2015-04-03,12.9368
2015-04-06,12.8943
2015-04-07,12.8435
2015-04-08,12.7314
2015-04-09,12.7187
2015-04-10,12.7127
2015-04-13,12.818
2015-04-14,12.7703
2015-04-15,12.8663
2015-04-16,12.8492
2015-04-17,13.0071
2015-04-20,13.0225
2015-04-21,13.0081
2015-04-22,13.0922
2015-04-23,13.1347
2015-04-24,13.1644
2015-04-27,13.0381
2015-04-28,13.0051
2015-04-29,13.1112
2015-04-30,13.3249
2015-05-01,13.4897
2015-05-04,13.4406
2015-05-05,13.3861
2015-05-06,13.624
2015-05-07,13.5074
2015-05-08,13.355
2015-05-11,13.4669
2015-05-12,13.4951
2015-05-13,13.4814
2015-05-14,13.4495
2015-05-15,13.4859
2015-05-18,13.4426
2015-05-19,13.2542
2015-05-20,13.1435
2015-05-21,13.1592
2015-05-22,13.0866
2015-05-25,13.093
2015-05-26,13.1353
2015-05-27,13.1133
2015-05-28,13.3002
2015-05-29,13.3044
2015-06-01,13.396
2015-06-02,13.5862
2015-06-03,13.8535
2015-06-04,13.8609
2015-06-05,13.9363
2015-06-08,14.0742
2015-06-09,14.004
2015-06-10,13.9325
2015-06-11,13.8784
2015-06-12,13.9302
2015-06-15,13.9849
2015-06-16,13.9017
2015-06-17,13.9328
2015-06-18,13.9121
2015-06-19,13.7956
2015-06-22,13.7171
2015-06-23,13.5804
2015-06-24,13.61
2015-06-25,13.5515
2015-06-26,13.6172
2015-06-29,13.7319
2015-06-30,13.5361
2015-07-01,13.5265
2015-07-02,13.5679
2015-07-03,13.6419
2015-07-06,13.6738
2015-07-07,13.6854
2015-07-08,13.916
2015-07-09,13.814
2015-07-10,13.8801
2015-07-13,13.6981
2015-07-14,13.569
2015-07-15,13.5902
2015-07-16,13.4695
2015-07-17,13.3741
2015-07-20,13.4589
2015-07-21,13.4729
2015-07-22,13.5457
2015-07-23,13.658
2015-07-24,13.8232
2015-07-27,13.9958
2015-07-28,13.8885
2015-07-29,13.7661
2015-07-30,13.8725
2015-07-31,13.8676
2015-08-03,13.8885
2015-08-04,13.862
2015-08-05,13.9261
2015-08-06,13.8918
2015-08-07,13.8325
2015-08-10,13.926
2015-08-11,14.1108
2015-08-12,14.2251
2015-08-13,14.2786
2015-08-14,14.2396
2015-08-17,14.2873
2015-08-18,14.2147
2015-08-19,14.3152
2015-08-20,14.5229
2015-08-21,14.7538
2015-08-24,15.3285
2015-08-25,15.1578
2015-08-26,14.8746
2015-08-27,14.7515
2015-08-28,14.8732
2015-08-31,14.8752
2015-09-01,15.1455
