date,exchange_rate
2023-10-28,9522.018935
2023-10-30,9506.214249
2023-10-31,9535.221225
2023-11-01,9526.589618
2023-11-02,9554.908447
2023-11-03,9663.642223
2023-11-04,9663.642223
2023-11-05,9656.491366
2023-11-06,9649.648514
2023-11-07,9629.272502
2023-11-08,9639.839165
2023-11-09,9601.231832
2023-11-10,9644.448727
2023-11-12,9644.448727
2023-11-13,9619.132757
2023-11-14,9794.888523
2023-11-15,9765.711492
2023-11-16,9768.997701
2023-11-17,9826.100628
2023-11-18,9826.100628
2023-11-19,9819.662959
2023-11-20,9847.124031
2023-11-21,9821.807912
2023-11-22,9799.360846
2023-11-23,9816.026004
2023-11-24,9855.647794
2023-11-25,9855.647794
2023-11-26,9851.551558
2023-11-27,9860.57067
2023-11-28,9897.415637
2023-11-29,9876.800516
2023-11-30,9802.559348
2023-12-01,9804.694177
2023-12-02,9799.35713
2023-12-03,9801.822377
2023-12-04,9752.698954
2023-12-05,9717.945954
2023-12-06,9690.428677
2023-12-07,9717.371757
2023-12-08,9687.619899
2023-12-09,9697.439969
2023-12-10,9684.812067
2023-12-11,9687.582649
2023-12-12,9716.310071
2023-12-13,9787.898922
2023-12-14,9895.235088
2023-12-15,9805.762284
2023-12-16,9818.02278
2023-12-17,9813.987853
2023-12-18,9831.95215
2023-12-19,9884.14924
2023-12-20,9846.416766
2023-12-21,9905.755572
2023-12-22,9911.309594
2023-12-23,9923.597861
2023-12-24,9923.59539
2023-12-25,9908.301016
2023-12-26,9938.722899
2023-12-27,9996.557015
2023-12-28,9960.364838
2023-12-29,9936.03549
2023-12-30,9950.43416
2023-12-31,9950.454439
2024-01-01,9943.328047
2024-01-02,9849.207898
2024-01-03,9829.696906
2024-01-04,9852.615168
2024-01-05,9845.5542
2024-01-06,9860.546054
2024-01-07,9860.553246
2024-01-08,9860.381886
2024-01-09,9835.378616
2024-01-10,9868.16585
2024-01-11,9873.026807
2024-01-12,9860.496564
2024-01-13,9867.532428
2024-01-14,9867.561827
2024-01-15,9856.801129
2024-01-16,9785.508005
2024-01-17,9787.802591
2024-01-18,9778.554201
2024-01-19,9803.733079
2024-01-20,9824.452366
2024-01-21,9824.522352
2024-01-22,9796.103931
2024-01-23,9762.159153
2024-01-24,9800.264776
2024-01-25,9746.355312
2024-01-26,9773.877475
2024-01-27,9778.558877
2024-01-28,9778.546399
2024-01-29,9738.716554
2024-01-30,9762.166964
2024-01-31,9776.663945
2024-02-01,9786.785782
2024-02-02,9715.90122
2024-02-03,9727.345892
2024-02-04,9727.350739
2024-02-05,9666.344991
2024-02-06,9677.710661
2024-02-07,9697.24004
2024-02-08,9699.061859
2024-02-09,9709.355429
2024-02-10,9707.41389
2024-02-11,9707.41307
2024-02-12,9697.164191
2024-02-13,9636.633918
2024-02-14,9656.593186
2024-02-15,9693.253013
2024-02-16,9703.912406
2024-02-17,9701.136531
2024-02-18,9701.138091
2024-02-19,9702.388594
2024-02-20,9729.552074
2024-02-21,9735.185419
2024-02-22,9741.770809
2024-02-23,9741.137973
2024-02-24,9751.58389
2024-02-25,9751.584711
2024-02-26,9762.304547
2024-02-27,9765.281565
2024-02-28,9753.359037
2024-02-29,9726.298061
2024-03-01,9758.984665
2024-03-02,9766.88747
2024-03-03,9766.939749
2024-03-04,9772.381143
2024-03-05,9768.518876
2024-03-06,9812.333663
2024-03-07,9849.54556
2024-03-08,9843.889773
2024-03-09,9851.333201
2024-03-10,9851.393003
2024-03-11,9831.577808
2024-03-12,9831.03739
2024-03-13,9859.893182
2024-03-14,9799.93895
2024-03-15,9802.238412
2024-03-16,9810.037039
2024-03-17,9810.035132
2024-03-18,9783.135697
2024-03-19,9779.238133
2024-03-20,9788.387144
2024-03-21,9774.858714
2024-03-22,9727.976656
2024-03-23,9778.558901
2024-03-24,9778.57003
2024-03-25,9753.117031
2024-03-26,9749.260972
2024-03-27,9738.92118
2024-03-28,9717.884772
2024-03-29,9711.032378
2024-03-30,9721.042737
2024-03-31,9721.043954
2024-04-01,9668.365304
2024-04-02,9691.733743
2024-04-03,9748.675279
2024-04-04,9775.676342
2024-04-05,9752.841814
2024-04-06,9764.277816
2024-04-07,9764.278944
2024-04-08,9772.334052
2024-04-09,9768.995
2024-04-10,9670.361434
2024-04-11,9647.739523
2024-04-12,9582.777053
2024-04-13,9604.865359
2024-04-14,9604.8678
2024-04-15,9572.797975
2024-04-16,9561.913572
2024-04-17,9588.650945
2024-04-18,9589.466559
2024-04-19,9586.974514
2024-04-20,9601.241809
2024-04-21,9601.241809
2024-04-22,9585.979845
2024-04-23,9630.721951
2024-04-24,9619.549008
2024-04-25,9648.764662
2024-04-26,9623.555677
2024-04-27,9633.648589
2024-04-28,9633.648589
2024-04-29,9649.189065
2024-04-30,9612.402974
2024-05-01,9611.840065
2024-05-02,9636.246499
2024-05-03,9691.162333
2024-05-04,9695.911599
2024-05-05,9695.911599
2024-05-06,9696.017042
2024-05-07,9697.220654
2024-05-08,9678.913229
2024-05-09,9695.600067
2024-05-10,9699.139245
2024-05-11,9709.614898
2024-05-12,9709.614898
2024-05-13,9719.100801
2024-05-14,9737.247966
2024-05-15,9772.44099
2024-05-16,9785.935047
2024-05-17,9786.05043
2024-05-18,9806.257059
2024-05-19,9806.257059
2024-05-20,9777.571139
2024-05-21,9770.90099
2024-05-22,9753.490755
2024-05-23,9743.972985
2024-05-24,9768.362296
2024-05-25,9770.63718
2024-05-26,9770.63718
2024-05-27,9774.456127
2024-05-28,9789.121706
2024-05-29,9730.086036
2024-05-30,9761.839898
2024-05-31,9768.304685
2024-06-01,9772.189224
2024-06-02,9772.189224
2024-06-03,9802.350528
2024-06-04,9791.373639
2024-06-05,9780.197572
2024-06-06,9795.839164
2024-06-07,9725.874276
2024-06-08,9734.14475
2024-06-09,9734.14475
2024-06-10,9673.766593
2024-06-11,9659.031175
2024-06-12,9764.377849
2024-06-13,9687.564259
2024-06-14,9629.623082
2024-06-15,9649.139253
2024-06-16,9649.139253
2024-06-17,9651.211677
2024-06-18,9664.525073
2024-06-19,9669.151104
2024-06-20,9643.607725
2024-06-21,9618.878403
2024-06-22,9634.679752
2024-06-23,9634.679752
2024-06-24,9657.011991
2024-06-25,9631.10587
2024-06-26,9615.850397
2024-06-27,9644.687336
2024-06-28,9637.667924
2024-06-29,9649.139253
2024-06-30,9649.139253
2024-07-01,9664.362424
2024-07-02,9657.519317
2024-07-03,9731.558485
2024-07-04,9727.336067
2024-07-05,9736.614758
2024-07-06,9769.57671
2024-07-07,9769.57671
2024-07-08,9756.353113
2024-07-09,9736.071034
2024-07-10,9745.144351
2024-07-11,9788.064949
2024-07-12,9808.009714
2024-07-13,9829.816816
2024-07-14,9829.816816
2024-07-15,9824.915919
2024-07-16,9794.69524
2024-07-17,9842.979044
2024-07-18,9817.529445
2024-07-19,9797.001319
2024-07-20,9804.694175
2024-07-21,9804.694175
2024-07-22,9789.394723
2024-07-23,9769.907363
2024-07-24,9780.296059
2024-07-25,9759.834102
2024-07-26,9780.190782
2024-07-27,9786.571889
2024-07-28,9786.571889
2024-07-29,9735.170925
2024-07-30,9729.243234
2024-07-31,9757.9308
2024-08-01,9725.926181
2024-08-02,9812.17981
2024-08-03,9829.816816
2024-08-04,9829.816816
2024-08-05,9885.574343
2024-08-06,9832.116891
2024-08-07,9831.467088
2024-08-08,9804.475204
2024-08-09,9832.999537
2024-08-10,9831.466852
2024-08-11,9831.466852
2024-08-12,9834.254249
2024-08-13,9865.951474
2024-08-14,9935.755772
2024-08-15,9861.846908
2024-08-16,9901.443894
2024-08-17,9932.357996
2024-08-18,9932.357996
2024-08-19,9931.369734
2024-08-20,9994.954327
2024-08-21,10009.560042
2024-08-22,10025.725808
2024-08-23,9998.276843
2024-08-24,10088.203271
2024-08-25,10088.203271
2024-08-26,10040.366901
2024-08-27,10041.217259
2024-08-28,10003.611868
2024-08-29,9977.446025
2024-08-30,9958.730852
2024-08-31,9955.937109
2024-09-01,9955.937109
2024-09-02,9964.080044
2024-09-03,9954.051214
2024-09-04,9949.340624
2024-09-05,9994.501359
2024-09-06,9970.924719
2024-09-07,9984.650719
2024-09-08,9984.650719
2024-09-09,9942.340347
2024-09-10,9918.706241
2024-09-11,9917.70089
2024-09-12,9933.786587
2024-09-13,9985.855192
2024-09-14,9977.497551
2024-09-15,9977.497551
2024-09-16,10016.138425
2024-09-17,10028.750133
2024-09-18,10014.2449
2024-09-19,10043.782174
2024-09-20,10049.851716
2024-09-21,10058.288435
2024-09-22,10058.288435
2024-09-23,10002.928377
2024-09-24,10015.827474
2024-09-25,10065.64622
2024-09-26,10036.808244
2024-09-27,10050.130376
2024-09-28,10052.671816
2024-09-29,10052.671816
2024-09-30,10067.214661
2024-10-01,9979.203869
2024-10-02,9963.584132
2024-10-03,9932.358853
2024-10-04,9928.410157
2024-10-05,9884.870451
2024-10-06,9884.870451
2024-10-07,9871.52438
2024-10-08,9889.20259
2024-10-09,9870.389282
2024-10-10,9842.811886
2024-10-11,9840.011489
2024-10-12,9855.148044
2024-10-13,9855.148044
2024-10-14,9834.693974
2024-10-15,9816.457414
2024-10-16,9806.566521
2024-10-17,9777.512573
2024-10-18,9761.468522
2024-10-19,9788.129001
2024-10-20,9788.129001
2024-10-21,9764.377528
2024-10-22,9745.514822
2024-10-23,9704.013244
2024-10-24,9719.795188
2024-10-25,9745.622239
2024-10-26,9721.042737
2024-10-27,9721.042737
2024-10-28,9737.663513
2024-10-29,9738.236054
2024-10-30,9754.964489
2024-10-31,9783.223523
2024-11-01,9772.074219
2024-11-02,9794.025888
2024-11-03,9794.025888
2024-11-04,9808.024305
2024-11-05,9804.323232
2024-11-06,9678.760788
2024-11-07,9675.225425
2024-11-08,9700.350717
2024-11-09,9651.687743
2024-11-10,9651.687743
2024-11-11,9612.507754
2024-11-12,9560.996583
2024-11-13,9565.414697
2024-11-14,9465.328172
2024-11-15,9506.922562
2024-11-16,9491.432086
2024-11-17,9491.432086
2024-11-18,9508.529322
2024-11-19,9488.629633
2024-11-20,9506.104552
2024-11-21,9469.06236
2024-11-22,9370.098632
2024-11-23,9377.71492
2024-11-24,9377.71492
2024-11-25,9430.819596
2024-11-26,9456.469074
2024-11-27,9464.687751
2024-11-28,9494.682872
2024-11-29,9506.277489
2024-11-30,9522.559752
2024-12-01,9522.559752
2024-12-02,9474.097056
2024-12-03,9472.303873
2024-12-04,9459.033738
2024-12-05,9473.804575
2024-12-06,9527.998008
2024-12-07,9519.538477
2024-12-08,9519.538477
2024-12-09,9524.781359
2024-12-10,9478.784854
2024-12-11,9445.85837
2024-12-12,9456.333572
2024-12-13,9443.389103
2024-12-14,9455.538246
2024-12-15,9455.538246
2024-12-16,9444.180385
2024-12-17,9445.565227
2024-12-18,9449.092821
2024-12-19,9368.493126
2024-12-20,9345.436211
2024-12-21,9388.474223
2024-12-22,9388.474223
2024-12-23,9356.658911
2024-12-24,9357.875703
2024-12-25,9374.30946
2024-12-26,9363.539983
2024-12-27,9380.650955
2024-12-28,9386.969522
2024-12-29,9386.969522
2024-12-30,9404.562069
2024-12-31,9377.47822
2025-01-01,9366.349063
2025-01-02,9287.432192
2025-01-03,9270.35991
2025-01-04,9283.38026
2025-01-05,9283.38026
2025-01-06,9352.281744
2025-01-07,9385.786064
2025-01-08,9288.734583
2025-01-09,9276.046812
2025-01-10,9272.808752
2025-01-11,9230.579631
2025-01-12,9230.579631
2025-01-13,9176.271066
2025-01-14,9233.858787
2025-01-15,9273.465106
2025-01-16,9263.295705
2025-01-17,9279.492845
2025-01-18,9284.851931
2025-01-19,9284.851931
2025-01-20,9277.388856
2025-01-21,9311.512514
2025-01-22,9409.527313
2025-01-23,9369.809494
2025-01-24,9441.702353
2025-01-25,9454.54507
2025-01-26,9454.54507
2025-01-27,9463.235481
2025-01-28,9386.695496
2025-01-29,9364.640485
2025-01-30,9361.677481
2025-01-31,9343.739361
2025-02-01,9327.184796
2025-02-02,9327.184796
2025-02-03,9225.370292
2025-02-04,9299.705497
2025-02-05,9384.361333
2025-02-06,9324.672674
2025-02-07,9342.377806
2025-02-08,9300.201166
2025-02-09,9300.201166
2025-02-10,9299.81017
2025-02-11,9285.321638
2025-02-12,9335.707387
2025-02-13,9383.770227
2025-02-14,9434.375907
2025-02-15,9449.04978
2025-02-16,9449.04978
2025-02-17,9436.948081
2025-02-18,9417.204088
2025-02-19,9382.601771
2025-02-20,9398.430781
2025-02-21,9423.521063
2025-02-22,9419.385666
2025-02-23,9419.385666
2025-02-24,9423.422447
2025-02-25,9424.781231
2025-02-26,9447.850658
2025-02-27,9429.918384
2025-02-28,9355.345206
2025-03-01,9341.704822
2025-03-02,9341.704822
2025-03-03,9398.970457
2025-03-04,9463.440713
2025-03-05,9620.521074
2025-03-06,9709.769894
2025-03-07,9781.0974
2025-03-08,9754.186788
2025-03-09,9754.186788
2025-03-10,9773.660506
2025-03-11,9809.437802
2025-03-12,9828.731885
2025-03-13,9785.990662
2025-03-14,9786.150106
2025-03-15,9831.466852
2025-03-16,9831.466852
2025-03-17,9814.261846
2025-03-18,9842.706229
2025-03-19,9807.101215
2025-03-20,9760.446222
2025-03-21,9753.218916
2025-03-22,9790.829927
2025-03-23,9790.829927
2025-03-24,9754.064156
2025-03-25,9718.680257
2025-03-26,9720.411399
2025-03-27,9693.351881
2025-03-28,9696.905264
2025-03-29,9798.290415
2025-03-30,9798.290415
2025-03-31,9746.303182
2025-04-01,9720.156568
2025-04-02,9720.410432
2025-04-03,9928.277245
2025-04-04,9887.029704
2025-04-05,9864.868719
2025-04-06,9864.868719
2025-04-07,9877.917314
2025-04-08,9826.476918
2025-04-09,9934.166391
2025-04-10,9940.40869
2025-04-11,10260.58196
2025-04-12,10225.106937
2025-04-13,10225.106937
2025-04-14,10251.587479
2025-04-15,10204.635869
2025-04-16,10227.70348
2025-04-17,10235.510068
2025-04-18,10236.480631
2025-04-19,10236.492294
2025-04-20,10236.492294
2025-04-21,10236.482522
2025-04-22,10352.159696
2025-04-23,10294.669496
2025-04-24,10245.052129
2025-04-25,10214.239245
2025-04-26,10262.411907
2025-04-27,10243.725458
2025-04-28,10222.020164
2025-04-29,10254.094508
2025-04-30,10235.493709
2025-05-01,10191.743626
2025-05-02,10213.374077
2025-05-03,10172.570869
2025-05-04,10172.570869
2025-05-05,10204.838039
2025-05-06,10180.69279
2025-05-07,10229.17021
2025-05-08,10158.185734
2025-05-09,10129.924212
2025-05-10,10129.599402
2025-05-11,10129.599402
2025-05-12,10014.005589
2025-05-13,10002.275346
2025-05-14,10127.923847
2025-05-15,10087.575842
2025-05-16,10083.339857
2025-05-17,10048.183034
2025-05-18,10048.183034
2025-05-19,10140.256929
2025-05-20,10133.054221
2025-05-21,10191.285217
2025-05-22,10173.035593
2025-05-23,10212.383954
2025-05-24,10234.40773
2025-05-25,10234.40773
2025-05-26,10245.62838
2025-05-27,10215.507788
2025-05-28,10203.763553
2025-05-29,10150.163109
2025-05-30,10197.981401
2025-05-31,10214.189682
2025-06-01,10214.189682
2025-06-02,10289.76741
2025-06-03,10273.706497
2025-06-04,10253.574247
2025-06-05,10279.10155
2025-06-06,10272.176569
2025-06-07,10265.38096
2025-06-08,10265.38096
2025-06-09,10294.142529
2025-06-10,10270.066063
2025-06-11,10293.617515
2025-06-12,10393.153574
2025-06-13,10376.139528
2025-06-14,10401.156591
