date,exchange_rate
2023-10-28,23.195041
2023-10-30,23.36208
2023-10-31,23.295609
2023-11-01,23.376948
2023-11-02,23.443951
2023-11-03,23.665082
2023-11-04,23.665082
2023-11-05,23.647579
2023-11-06,23.769208
2023-11-07,24.025039
2023-11-08,24.137917
2023-11-09,24.265519
2023-11-10,24.450488
2023-11-12,24.368001
2023-11-13,24.36955
2023-11-14,24.935
2023-11-15,24.999701
2023-11-16,25.112217
2023-11-17,25.359961
2023-11-18,25.229904
2023-11-19,25.213395
2023-11-20,25.425753
2023-11-21,25.411538
2023-11-22,25.378102
2023-11-23,25.50738
2023-11-24,25.769146
2023-11-25,25.700079
2023-11-26,25.689365
2023-11-27,25.829905
2023-11-28,25.97001
2023-11-29,26.052876
2023-11-30,25.839469
2023-12-01,25.878907
2023-12-02,25.863514
2023-12-03,25.870007
2023-12-04,25.827259
2023-12-05,25.881854
2023-12-06,25.904972
2023-12-07,26.227035
2023-12-08,25.96808
2023-12-09,26.012982
2023-12-10,26.000208
2023-12-11,26.203444
2023-12-12,26.329582
2023-12-13,26.615853
2023-12-14,27.033419
2023-12-15,27.121266
2023-12-16,27.278887
2023-12-17,27.267693
2023-12-18,27.304831
2023-12-19,27.594255
2023-12-20,27.67606
2023-12-21,27.858677
2023-12-22,27.991341
2023-12-23,27.993006
2023-12-24,27.993017
2023-12-25,28.003715
2023-12-26,28.089688
2023-12-27,28.345547
2023-12-28,28.567673
2023-12-29,28.408653
2023-12-30,28.502575
2023-12-31,28.502647
2024-01-01,28.508019
2024-01-02,28.156001
2024-01-03,28.121125
2024-01-04,28.209467
2024-01-05,28.21741
2024-01-06,28.149229
2024-01-07,28.149239
2024-01-08,28.418075
2024-01-09,28.372286
2024-01-10,28.529858
2024-01-11,28.65874
2024-01-12,28.60215
2024-01-13,28.599066
2024-01-14,28.599159
2024-01-15,28.623431
2024-01-16,28.541771
2024-01-17,28.570414
2024-01-18,28.642301
2024-01-19,28.797975
2024-01-20,28.767624
2024-01-21,28.767676
2024-01-22,28.82548
2024-01-23,28.8082
