date,exchange_rate
2014-11-24,401.2124
2014-11-25,402.3089
2014-11-26,403.3264
2014-11-27,402.1509
2014-11-28,401.6043
2014-12-01,402.2476
2014-12-02,399.3887
2014-12-03,396.9296
2014-12-04,399.2081
2014-12-05,396.1137
2014-12-08,397.1457
2014-12-09,399.1339
2014-12-10,401.4011
2014-12-11,399.9643
2014-12-12,401.8945
2014-12-15,401.2511
2014-12-16,403.5054
2014-12-17,397.7359
2014-12-18,396.2185
2014-12-19,394.3738
2014-12-22,394.3238
2014-12-23,392.5468
2014-12-24,393.4305
2014-12-25,394.2787
2014-12-26,392.8968
2014-12-29,392.1163
2014-12-30,392.0421
2014-12-31,390.1539
2015-01-01,390.2813
2015-01-02,386.9708
2015-01-05,384.8246
2015-01-06,382.8751
2015-01-07,381.6995
2015-01-08,380.1806
2015-01-09,381.8237
2015-01-12,381.6205
2015-01-13,379.771
2015-01-14,380.2112
2015-01-15,375.0819
2015-01-16,373.1259
2015-01-19,374.3949
2015-01-20,372.6051
2015-01-21,374.6158
2015-01-22,365.4101
2015-01-23,361.3837
2015-01-26,362.5946
2015-01-27,366.7726
2015-01-28,363.588
2015-01-29,365.2875
2015-01-30,363.9991
2015-02-02,365.5246
2015-02-03,371.0172
2015-02-04,366.954
2015-02-05,371.1757
2015-02-06,365.9786
2015-02-09,366.3798
2015-02-10,365.9625
2015-02-11,366.5205
2015-02-12,368.7591
2015-02-13,368.1784
2015-02-16,367.2144
2015-02-17,369.1635
2015-02-18,368.861
2015-02-19,367.6592
2015-02-20,368.2367
2015-02-23,366.8117
2015-02-24,366.8068
2015-02-25,367.5395
2015-02-26,362.1807
2015-02-27,362.1128
2015-03-02,361.744
2015-03-03,361.6082
2015-03-04,358.4621
2015-03-05,356.8964
2015-03-06,350.9682
2015-03-09,350.8599
2015-03-10,344.7636
2015-03-11,340.0713
2015-03-12,342.569
2015-03-13,338.7248
2015-03-16,340.8453
2015-03-17,341.6338
2015-03-18,349.2625
2015-03-19,344.0557
2015-03-20,348.7868
2015-03-23,353.4598
2015-03-24,351.8941
2015-03-25,353.6179
2015-03-26,350.667
2015-03-27,351.4313
2015-03-30,349.219
2015-03-31,346.3245
2015-04-01,347.3517
2015-04-02,350.7508
2015-04-03,353.9968
2015-04-06,352.6084
2015-04-07,349.0497
2015-04-08,347.7951
2015-04-09,343.9671
2015-04-10,341.8627
2015-04-13,340.9372
2015-04-14,343.6107
2015-04-15,344.3347
2015-04-16,346.9937
2015-04-17,348.4885
2015-04-20,346.3116
2015-04-21,346.302
2015-04-22,345.744
2015-04-23,348.9868
2015-04-24,351.3678
2015-04-27,351.8918
2015-04-28,355.0751
2015-04-29,359.5863
2015-04-30,363.2629
2015-05-01,362.3085
2015-05-04,360.5568
2015-05-05,361.689
2015-05-06,366.9411
2015-05-07,364.1816
2015-05-08,362.1856
2015-05-11,359.4926
2015-05-12,363.0125
2015-05-13,365.5011
2015-05-14,366.6051
2015-05-15,366.1983
2015-05-18,366.0482
2015-05-19,360.5584
2015-05-20,358.983
2015-05-21,359.3242
2015-05-22,356.2591
2015-05-25,355.1123
2015-05-26,352.1895
2015-05-27,352.7669
2015-05-28,354.868
2015-05-29,355.5797
2015-06-01,353.4527
